customer_id,total_sales,avg_total_sales
CC-12430,2870.05,2865.282093
AR-10825,4523.33,2865.282093
SR-20740,4345.88,2865.282093
EH-14125,3013.14,2865.282093
RP-19390,5142.12,2865.282093
DJ-13630,3356.40,2865.282093
GT-14635,9351.20,2865.282093
MC-17845,3805.71,2865.282093
NP-18325,5529.62,2865.282093
TH-21550,4229.56,2865.282093
AP-10915,3323.55,2865.282093
RS-19765,3831.93,2865.282093
SV-20365,11420.64,2865.282093
CK-12325,2939.60,2865.282093
YC-21895,5454.35,2865.282093
CP-12340,5888.30,2865.282093
AJ-10795,4391.49,2865.282093
LT-17110,2936.26,2865.282093
JK-15730,4769.91,2865.282093
ES-14020,3510.46,2865.282093
RH-19495,3621.38,2865.282093
HW-14935,9300.25,2865.282093
GM-14440,3582.82,2865.282093
BW-11110,4750.36,2865.282093
PG-18820,3086.90,2865.282093
BM-11650,7283.81,2865.282093
SJ-20125,3777.88,2865.282093
AJ-10780,4867.34,2865.282093
PM-19135,4115.66,2865.282093
HL-15040,12873.30,2865.282093
MS-17365,6848.30,2865.282093
BE-11335,4204.68,2865.282093
SC-20050,4624.57,2865.282093
RW-19630,3273.65,2865.282093
SE-20110,12209.44,2865.282093
AH-10075,3250.35,2865.282093
KH-16360,3100.60,2865.282093
JA-15970,6475.48,2865.282093
DL-12925,3272.20,2865.282093
LW-16990,3230.30,2865.282093
RW-19690,3495.64,2865.282093
SL-20155,3053.01,2865.282093
MW-18235,5253.88,2865.282093
RD-19585,2912.90,2865.282093
MT-17815,2890.14,2865.282093
JS-15880,3868.01,2865.282093
NS-18640,2964.82,2865.282093
DG-13300,3195.82,2865.282093
MG-17650,3785.28,2865.282093
CY-12745,2900.02,2865.282093
PS-19045,6843.63,2865.282093
PV-18985,2876.05,2865.282093
DL-13495,3539.32,2865.282093
CS-12355,3202.16,2865.282093
FH-14275,4190.71,2865.282093
AA-10315,5563.56,2865.282093
HR-14830,5248.80,2865.282093
SP-20620,5440.32,2865.282093
BF-11170,5907.97,2865.282093
KT-16480,4642.10,2865.282093
GM-14680,3163.63,2865.282093
NP-18700,7903.18,2865.282093
MH-18115,5503.09,2865.282093
SM-20950,5563.40,2865.282093
CC-12220,3902.53,2865.282093
DC-12850,3336.17,2865.282093
QJ-19255,6108.34,2865.282093
HG-14965,3184.18,2865.282093
LP-17095,3653.40,2865.282093
CP-12085,5164.10,2865.282093
AS-10045,3035.03,2865.282093
ND-18370,4281.39,2865.282093
KT-16465,3057.10,2865.282093
HM-14860,8148.84,2865.282093
SZ-20035,3592.44,2865.282093
JK-16120,2932.49,2865.282093
PP-18955,7075.92,2865.282093
YS-21880,6654.50,2865.282093
KM-16375,5609.74,2865.282093
AB-10105,14355.61,2865.282093
RW-19540,7397.40,2865.282093
DK-12835,3253.53,2865.282093
MM-17920,3794.07,2865.282093
PW-19030,3454.91,2865.282093
MC-17425,4432.14,2865.282093
ME-17320,10635.92,2865.282093
KD-16495,8181.24,2865.282093
CS-12505,5690.07,2865.282093
MS-17770,3138.57,2865.282093
CM-12655,6339.56,2865.282093
TS-21370,11885.87,2865.282093
JW-15220,7721.71,2865.282093
AR-10540,6608.45,2865.282093
AI-10855,4375.79,2865.282093
TB-21400,9012.74,2865.282093
GH-14425,3925.74,2865.282093
MP-18175,5087.93,2865.282093
DB-13270,4621.66,2865.282093
TT-21460,5364.80,2865.282093
MY-18295,4134.40,2865.282093
RD-19480,3743.04,2865.282093
DP-13390,5480.73,2865.282093
JG-15160,6366.40,2865.282093
NW-18400,7234.02,2865.282093
BS-11380,3379.12,2865.282093
SW-20455,2921.54,2865.282093
JK-15205,4278.17,2865.282093
ED-13885,3484.91,2865.282093
JE-15610,7754.97,2865.282093
TB-21175,3579.02,2865.282093
JF-15565,4198.32,2865.282093
BT-11680,3196.75,2865.282093
ND-18460,2893.46,2865.282093
KH-16330,3312.87,2865.282093
AS-10090,3255.30,2865.282093
AC-10450,5527.85,2865.282093
EH-13765,10005.97,2865.282093
SC-20230,4371.96,2865.282093
JE-15715,8672.18,2865.282093
LW-17215,5420.52,2865.282093
AM-10705,5653.86,2865.282093
RH-19510,6962.14,2865.282093
CT-11995,3241.90,2865.282093
TC-20980,19017.85,2865.282093
BS-11665,3288.12,2865.282093
RF-19345,3309.14,2865.282093
WB-21850,6024.81,2865.282093
KF-16285,10604.26,2865.282093
IL-15100,5040.74,2865.282093
ML-17410,2921.51,2865.282093
DB-13555,3908.80,2865.282093
DK-13375,3318.49,2865.282093
TG-21310,3058.38,2865.282093
MW-18220,5341.90,2865.282093
SM-20320,25043.07,2865.282093
TP-21415,5328.98,2865.282093
JK-15625,3760.03,2865.282093
RS-19420,3221.29,2865.282093
BC-11125,2933.67,2865.282093
SC-20260,3729.80,2865.282093
BF-11020,2865.78,2865.282093
SG-20605,3116.98,2865.282093
TM-21010,2953.99,2865.282093
PW-19240,3878.31,2865.282093
SC-20380,5894.18,2865.282093
GM-14695,6049.96,2865.282093
JM-15865,7625.07,2865.282093
TA-21385,14595.62,2865.282093
HG-15025,3690.28,2865.282093
RR-19525,3302.26,2865.282093
TC-21295,4261.85,2865.282093
SV-20785,4105.32,2865.282093
EB-13750,3166.89,2865.282093
GA-14515,3919.77,2865.282093
Dp-13240,7198.77,2865.282093
MH-18025,2984.95,2865.282093
DR-12940,8350.87,2865.282093
DM-13015,6247.36,2865.282093
CA-11965,3789.72,2865.282093
DM-13345,4074.47,2865.282093
CC-12370,12129.08,2865.282093
EM-14140,4438.33,2865.282093
GB-14575,4594.34,2865.282093
SR-20425,3233.48,2865.282093
EB-14110,3071.14,2865.282093
LB-16795,4704.31,2865.282093
DH-13075,4932.87,2865.282093
JO-15145,3254.95,2865.282093
AH-10690,7888.30,2865.282093
SC-20020,3362.96,2865.282093
FC-14335,3865.84,2865.282093
NC-18535,8241.74,2865.282093
PF-19120,8980.49,2865.282093
SP-20920,3990.67,2865.282093
DK-12895,3943.02,2865.282093
AA-10645,4455.90,2865.282093
BS-11365,10501.65,2865.282093
SS-20410,3056.81,2865.282093
FC-14245,3414.68,2865.282093
TH-21115,2942.78,2865.282093
JK-16090,3747.66,2865.282093
SB-20185,6411.00,2865.282093
TS-21655,3368.08,2865.282093
VP-21760,3193.62,2865.282093
CM-12715,3984.45,2865.282093
LC-16960,3246.63,2865.282093
