order_id,order_date,ship_date,ship_mode,customer_id,sales,quantity,discount,profit
CA-2016-142958,12/13/2016,12/20/2016,"Standard Class",RW-19630,1114.27,4,0.20,41.79
US-2017-110576,11/28/2017,12/2/2017,"Standard Class",RB-19795,2065.32,12,0.40,-619.60
CA-2017-136539,12/28/2017,1/1/2018,"Standard Class",GH-14665,78.85,2,0.32,-11.60
CA-2017-135279,4/9/2017,4/11/2017,"First Class",BS-11800,501.81,3,0.00,0.00
CA-2017-159366,1/7/2017,1/10/2017,"First Class",BW-11110,3059.98,2,0.10,680.00
CA-2014-163419,11/11/2014,11/14/2014,"Second Class",TZ-21580,603.92,5,0.20,75.49
CA-2017-100314,9/29/2017,10/5/2017,"Standard Class",AS-10630,336.51,3,0.40,44.87
CA-2014-117639,5/21/2014,5/25/2014,"Standard Class",MW-18235,2715.93,7,0.00,1276.49
CA-2015-124891,7/31/2015,7/31/2015,"Same Day",RH-19495,2309.65,7,0.00,762.18
US-2015-126214,12/21/2015,12/24/2015,"Second Class",JS-15880,1618.37,13,0.00,356.04
CA-2015-108665,7/6/2015,7/10/2015,"Standard Class",KM-16225,601.65,5,0.00,156.43
CA-2016-113061,4/22/2016,4/26/2016,"Standard Class",EL-13735,86.62,2,0.00,8.66
CA-2016-102981,9/6/2016,9/9/2016,"Second Class",MO-17500,722.35,3,0.20,90.29
CA-2017-132521,9/23/2017,9/25/2017,"Second Class",DW-13540,119.96,2,0.00,33.59
CA-2015-110016,11/29/2015,12/4/2015,"Standard Class",BT-11395,1106.91,9,0.00,121.76
US-2016-143819,3/1/2016,3/5/2016,"Standard Class",KD-16270,4899.93,7,0.00,2400.97
CA-2015-165085,12/27/2015,12/31/2015,"Standard Class",BT-11485,355.96,2,0.00,103.23
US-2016-110156,11/19/2016,11/24/2016,"Standard Class",EH-13945,100.70,6,0.20,-16.36
CA-2015-142755,9/4/2015,9/8/2015,"Standard Class",CS-12355,619.95,5,0.00,111.59
CA-2014-128146,6/21/2014,6/25/2014,"Standard Class",DB-13060,1322.93,7,0.00,357.19
CA-2017-117212,2/26/2017,2/28/2017,"Second Class",BT-11530,892.22,3,0.20,89.22
CA-2016-114727,7/18/2016,7/24/2016,"Standard Class",LS-16945,854.35,3,0.20,10.68
CA-2017-133235,8/1/2017,8/4/2017,"First Class",LH-16750,271.96,5,0.20,17.00
CA-2016-137050,7/14/2016,7/18/2016,"Second Class",SW-20755,579.14,4,0.20,21.72
US-2017-118087,9/9/2017,9/13/2017,"Standard Class",SP-20620,1931.96,7,0.40,-386.39
CA-2014-168494,12/12/2014,12/14/2014,"Second Class",NP-18700,3610.85,12,0.20,135.41
CA-2017-115602,12/18/2017,12/24/2017,"Standard Class",DJ-13630,1704.56,13,0.00,511.37
CA-2017-117079,10/23/2017,10/27/2017,"Standard Class",JR-15700,863.88,3,0.20,107.99
US-2014-167738,12/24/2014,12/29/2014,"Standard Class",JC-16105,292.27,6,0.20,18.27
CA-2016-160815,9/5/2016,9/6/2016,"First Class",TR-21325,278.40,3,0.00,80.74
CA-2015-138898,5/25/2015,5/29/2015,"Standard Class",JH-16180,845.73,13,0.20,84.57
US-2017-126179,7/3/2017,7/7/2017,"Standard Class",CS-12460,287.97,3,0.00,77.75
CA-2014-160773,7/1/2014,7/5/2014,"Standard Class",LW-16825,575.92,2,0.20,71.99
CA-2017-167703,2/3/2017,2/8/2017,"Standard Class",MC-17575,285.55,2,0.20,35.69
CA-2017-100524,3/31/2017,4/2/2017,"Second Class",CM-12115,677.58,3,0.00,176.17
US-2017-155425,11/10/2017,11/11/2017,"First Class",AB-10600,899.14,4,0.20,-146.11
US-2015-103471,12/24/2015,12/28/2015,"Standard Class",JR-15670,590.06,7,0.70,-786.74
CA-2015-120362,9/14/2015,9/19/2015,"Standard Class",CA-12265,912.75,5,0.00,118.66
US-2017-117247,10/9/2017,10/14/2017,"Standard Class",CK-12760,652.45,5,0.50,-430.62
CA-2015-126697,9/21/2015,9/24/2015,"First Class",SV-20815,946.34,7,0.20,118.29
CA-2014-120768,12/19/2014,12/21/2014,"Second Class",IM-15070,1819.86,14,0.00,163.79
CA-2015-139731,10/15/2015,10/15/2015,"Same Day",JE-15745,2453.43,5,0.30,-350.49
CA-2016-133711,11/26/2016,11/29/2016,"First Class",MC-17425,3040.00,8,0.00,1459.20
CA-2017-139199,12/9/2017,12/13/2017,"Standard Class",DK-12835,872.94,3,0.00,226.96
CA-2017-130386,11/12/2017,11/18/2017,"Standard Class",NG-18430,540.05,3,0.20,-47.25
CA-2015-153388,8/1/2015,8/7/2015,"Standard Class",PC-19000,1004.98,6,0.20,-175.87
CA-2017-148446,12/10/2017,12/14/2017,"Second Class",MC-17845,1669.60,4,0.00,116.87
CA-2017-121888,9/15/2017,9/17/2017,"Second Class",CL-11890,782.94,3,0.00,203.56
CA-2014-150245,12/31/2014,1/4/2015,"Second Class",PC-18745,1573.49,7,0.20,196.69
CA-2017-158386,10/16/2017,10/21/2017,"Standard Class",BO-11425,124.75,5,0.00,57.39
US-2017-102890,6/30/2017,6/30/2017,"Same Day",SG-20470,1044.63,5,0.40,-295.98
CA-2015-132101,3/19/2015,3/25/2015,"Standard Class",JO-15550,453.58,3,0.20,39.69
CA-2014-101602,12/15/2014,12/18/2014,"First Class",MC-18100,763.28,5,0.30,-21.81
CA-2015-131338,8/9/2015,8/12/2015,"First Class",NP-18325,1217.57,2,0.20,456.59
US-2016-113509,3/15/2016,3/19/2016,"Standard Class",PL-18925,83.98,3,0.20,-13.65
CA-2017-108560,7/8/2017,7/15/2017,"Standard Class",JC-15385,786.48,8,0.00,385.38
CA-2015-157084,12/19/2015,12/24/2015,"Standard Class",JG-15160,1265.85,3,0.00,556.97
CA-2015-111829,3/19/2015,3/20/2015,"First Class",FH-14365,3149.93,7,0.00,1480.47
CA-2014-135699,8/29/2014,8/29/2014,"Same Day",HH-15010,109.92,2,0.00,53.86
US-2017-132444,11/18/2017,11/21/2017,"First Class",CD-12280,169.68,6,0.00,45.81
CA-2016-107615,3/22/2016,3/25/2016,"First Class",RB-19645,58.58,2,0.00,19.33
CA-2017-143798,12/10/2017,12/12/2017,"First Class",AW-10840,310.88,2,0.20,23.32
CA-2015-114069,7/13/2015,7/15/2015,"Second Class",ND-18370,1931.04,9,0.10,321.84
US-2017-124968,9/8/2017,9/13/2017,"Second Class",MM-18055,765.63,7,0.50,-566.56
CA-2016-169943,5/19/2016,5/24/2016,"Standard Class",BN-11515,454.90,5,0.00,0.00
US-2017-164056,4/29/2017,5/4/2017,"Second Class",FM-14215,1048.35,5,0.40,-69.89
US-2016-131149,7/10/2016,7/14/2016,"Standard Class",LH-17155,338.04,3,0.20,-33.80
CA-2015-105347,11/24/2015,11/28/2015,"Standard Class",DP-13000,368.91,9,0.00,180.77
CA-2015-154326,2/15/2015,2/19/2015,"Standard Class",RP-19855,699.98,2,0.00,195.99
CA-2014-120474,12/1/2014,12/3/2014,"First Class",RP-19390,2807.84,8,0.00,673.88
US-2017-139465,8/27/2017,8/30/2017,"First Class",MR-17545,347.97,3,0.00,100.91
CA-2017-158379,9/22/2017,9/26/2017,"Second Class",JA-15970,4663.74,7,0.20,-1049.34
US-2016-116729,12/25/2016,12/28/2016,"First Class",GK-14620,2575.94,7,0.20,257.59
CA-2016-164938,2/11/2016,2/13/2016,"First Class",PB-19210,69.93,7,0.00,0.70
CA-2014-132612,6/9/2014,6/11/2014,"Second Class",FO-14305,1441.30,7,0.00,245.02
CA-2016-109344,2/8/2016,2/11/2016,"Second Class",CH-12070,1127.98,3,0.20,126.90
CA-2014-103373,5/18/2014,5/24/2014,"Standard Class",BS-11755,779.80,2,0.40,-168.96
CA-2017-145884,10/21/2017,10/21/2017,"Same Day",SL-20155,1439.92,8,0.00,374.38
CA-2017-162691,8/1/2017,8/7/2017,"Standard Class",AS-10045,1439.98,3,0.40,-264.00
CA-2017-122693,2/19/2017,2/21/2017,"Second Class",NH-18610,1245.86,7,0.00,361.30
US-2017-158512,1/12/2017,1/17/2017,"Second Class",DA-13450,40.08,6,0.00,19.24
CA-2015-160472,7/20/2015,7/25/2015,"Second Class",RK-19300,831.20,5,0.00,124.68
US-2016-100839,10/13/2016,10/17/2016,"Standard Class",NC-18625,727.45,5,0.50,-465.57
CA-2014-116932,7/21/2014,7/25/2014,"Standard Class",ME-18010,801.57,2,0.20,50.10
CA-2014-140165,5/13/2014,5/15/2014,"First Class",EH-14005,398.35,8,0.70,-331.96
CA-2017-141789,10/3/2017,10/6/2017,"First Class",AC-10450,1793.98,2,0.00,843.17
CA-2014-169775,8/29/2014,9/2/2014,"Second Class",RA-19945,505.18,4,0.70,-336.78
CA-2017-154410,10/21/2017,10/24/2017,"First Class",MD-17860,909.12,8,0.00,9.09
CA-2017-157987,9/2/2017,9/6/2017,"Standard Class",AC-10615,1282.41,5,0.10,213.74
CA-2014-110408,10/18/2014,10/20/2014,"Second Class",AS-10225,1394.95,5,0.00,362.69
CA-2016-147417,7/25/2016,7/27/2016,"First Class",CB-12415,1439.98,4,0.40,192.00
CA-2015-127509,11/9/2015,11/13/2015,"Standard Class",AS-10090,1024.38,7,0.00,215.12
CA-2017-163510,12/25/2017,12/28/2017,"Second Class",JW-15955,304.45,5,0.00,76.11
CA-2015-155761,12/11/2015,12/11/2015,"Same Day",SC-20800,159.98,2,0.20,36.00
CA-2015-117961,11/26/2015,11/30/2015,"Standard Class",GP-14740,104.90,5,0.00,25.18
CA-2017-120376,12/22/2017,12/25/2017,"First Class",TP-21130,1586.69,7,0.00,412.54
CA-2017-140676,9/12/2017,9/15/2017,"First Class",BF-11080,94.85,5,0.00,45.53
CA-2015-164882,10/31/2015,10/31/2015,"Same Day",SG-20080,1295.84,4,0.20,145.78
US-2017-168690,1/7/2017,1/13/2017,"Standard Class",TS-21085,2.81,3,0.70,-1.97
US-2016-152051,6/25/2016,6/29/2016,"Standard Class",TS-21160,422.06,3,0.30,-18.09
CA-2016-128818,5/7/2016,5/11/2016,"Standard Class",CJ-12010,3999.95,5,0.00,1159.99
CA-2017-143063,8/10/2017,8/15/2017,"Standard Class",IL-15100,1454.49,9,0.00,378.17
US-2014-165659,6/1/2014,6/6/2014,"Standard Class",LT-17110,881.93,7,0.00,229.30
CA-2014-125556,11/14/2014,11/16/2014,"Second Class",ML-17410,832.93,7,0.00,233.22
CA-2017-130841,7/28/2017,8/1/2017,"Standard Class",MH-17620,1145.60,4,0.20,100.24
CA-2017-157091,6/26/2017,7/1/2017,"Standard Class",DB-13405,526.45,5,0.00,31.59
CA-2017-132122,7/9/2017,7/14/2017,"Standard Class",JH-15820,228.92,5,0.20,14.31
CA-2016-146633,11/15/2016,11/17/2016,"Second Class",TG-21310,1016.79,1,0.20,381.30
CA-2017-103380,11/21/2017,11/25/2017,"Standard Class",BF-11005,659.98,3,0.20,49.50
CA-2017-105214,6/16/2017,6/19/2017,"First Class",TS-21610,1212.96,7,0.20,90.97
CA-2015-117611,11/8/2015,11/10/2015,"Second Class",MZ-17335,371.97,3,0.00,66.95
CA-2016-131065,11/14/2016,11/16/2016,"Second Class",AA-10375,499.98,2,0.00,115.00
CA-2015-142944,3/6/2015,3/11/2015,"Standard Class",JL-15850,1119.98,2,0.20,377.99
CA-2015-113145,11/1/2015,11/5/2015,"Standard Class",VD-21670,1399.93,7,0.00,601.97
CA-2017-157931,9/17/2017,9/22/2017,"Second Class",MO-17800,723.92,4,0.00,188.22
CA-2015-111514,8/31/2015,9/2/2015,"First Class",SC-20260,1552.83,7,0.15,200.95
US-2014-148838,3/17/2014,3/21/2014,"Standard Class",CP-12340,1579.75,7,0.40,-447.59
US-2015-127040,12/6/2015,12/10/2015,"Standard Class",SG-20605,1619.91,9,0.00,97.19
CA-2017-108574,10/7/2017,10/11/2017,"Standard Class",MG-18145,1115.91,9,0.00,200.86
CA-2016-156300,12/29/2016,1/2/2017,"Standard Class",TB-21595,754.45,5,0.00,60.36
CA-2017-168655,10/12/2017,10/18/2017,"Standard Class",ML-18040,595.00,5,0.00,95.20
CA-2016-107202,5/21/2016,5/28/2016,"Standard Class",LC-16930,2396.40,10,0.20,179.73
CA-2015-154746,11/14/2015,11/17/2015,"First Class",PJ-18835,826.11,3,0.00,322.18
CA-2016-146934,5/22/2016,5/27/2016,"Standard Class",AF-10870,662.84,4,0.00,172.34
CA-2017-128755,5/4/2017,5/8/2017,"Standard Class",MK-18160,571.44,4,0.00,165.72
US-2016-135923,1/22/2016,1/28/2016,"Standard Class",CM-11935,451.14,4,0.20,-67.67
CA-2016-114972,11/3/2016,11/6/2016,"First Class",PF-19225,1101.48,4,0.00,429.58
CA-2017-126067,8/28/2017,9/3/2017,"Standard Class",KN-16705,1137.75,5,0.00,250.31
CA-2015-141040,10/9/2015,10/13/2015,"Second Class",TB-21250,631.96,4,0.00,303.34
CA-2014-144624,11/19/2014,11/23/2014,"Standard Class",JM-15865,4548.81,7,0.00,1228.18
CA-2014-136644,6/16/2014,6/22/2014,"Standard Class",SC-20575,647.84,8,0.00,32.39
CA-2014-143917,7/25/2014,7/27/2014,"Second Class",KL-16645,8187.65,5,0.00,327.51
CA-2016-136812,11/18/2016,11/23/2016,"Standard Class",AW-10930,1117.92,4,0.00,55.90
CA-2015-102722,4/18/2015,4/19/2015,"First Class",KW-16570,106.50,6,0.00,41.54
CA-2014-128888,11/15/2014,11/22/2014,"Standard Class",PB-19105,604.66,9,0.20,204.07
CA-2016-124352,10/15/2016,10/21/2016,"Standard Class",CD-12790,868.59,3,0.00,251.89
US-2017-117723,8/15/2017,8/18/2017,"Second Class",DL-13495,1801.63,6,0.20,-337.81
CA-2015-113404,7/16/2015,7/16/2015,"Same Day",EM-13810,1348.70,6,0.20,-219.16
CA-2014-164385,9/26/2014,10/1/2014,"Second Class",NB-18580,143.95,3,0.20,14.40
CA-2016-118626,8/15/2016,8/20/2016,"Standard Class",JC-15775,705.54,7,0.20,70.55
CA-2015-147788,5/31/2015,6/4/2015,"Standard Class",TM-21010,1406.86,7,0.00,140.69
CA-2017-123967,11/1/2017,11/3/2017,"Second Class",SF-20200,2665.62,9,0.00,239.91
CA-2016-155845,8/12/2016,8/15/2016,"Second Class",CM-12235,1399.94,7,0.20,52.50
CA-2016-165848,6/4/2016,6/4/2016,"Same Day",EN-13780,1349.85,3,0.00,364.46
CA-2014-127446,11/25/2014,11/30/2014,"Standard Class",MC-17590,1218.74,5,0.30,-121.87
CA-2014-147298,4/26/2014,5/3/2014,"Standard Class",AG-10300,230.28,3,0.20,23.03
CA-2017-127180,10/22/2017,10/24/2017,"First Class",TA-21385,11199.97,4,0.20,3919.99
US-2017-110604,5/15/2017,5/20/2017,"Standard Class",JF-15295,220.96,1,0.20,24.86
CA-2015-162369,8/15/2015,8/19/2015,"Standard Class",TT-21265,323.10,2,0.00,61.39
CA-2017-108441,6/12/2017,6/18/2017,"Standard Class",SB-20170,858.24,4,0.10,143.04
US-2016-146794,9/26/2016,10/1/2016,"Standard Class",SH-19975,424.96,5,0.15,20.00
CA-2017-123372,11/28/2017,12/2/2017,"Standard Class",DG-13300,1979.89,11,0.00,494.97
CA-2014-126403,9/9/2014,9/12/2014,"Second Class",RR-19525,1325.85,5,0.00,238.65
CA-2014-145317,3/18/2014,3/23/2014,"Standard Class",SM-20320,22638.48,6,0.50,-1811.08
CA-2017-156818,7/11/2017,7/13/2017,"Second Class",JD-16015,132.60,6,0.00,17.24
CA-2015-121797,1/30/2015,2/6/2015,"Standard Class",CC-12145,1919.98,3,0.20,216.00
CA-2017-119193,12/22/2017,12/24/2017,"First Class",SK-19990,629.96,7,0.40,94.49
CA-2017-104801,2/13/2017,2/19/2017,"Standard Class",FH-14350,799.96,4,0.00,343.98
US-2014-141257,6/8/2014,6/14/2014,"Standard Class",CS-11950,585.55,3,0.20,73.19
CA-2015-155306,4/17/2015,4/21/2015,"Standard Class",GA-14515,1447.65,5,0.00,419.82
CA-2016-146171,3/11/2016,3/15/2016,"Standard Class",JP-16135,481.32,4,0.00,125.14
CA-2017-167752,1/15/2017,1/18/2017,"First Class",RW-19690,1924.16,8,0.20,312.68
US-2015-122140,4/2/2015,4/7/2015,"Standard Class",MO-17950,50.12,7,0.20,-0.63
CA-2014-154599,4/12/2014,4/17/2014,"Standard Class",KN-16450,1075.09,14,0.20,94.07
CA-2016-153318,10/25/2016,10/28/2016,"First Class",JS-15595,783.96,5,0.20,78.40
US-2014-125521,3/14/2014,3/19/2014,"Standard Class",CK-12325,1139.92,4,0.00,284.98
US-2016-162852,12/27/2016,12/31/2016,"Standard Class",BG-11695,845.49,8,0.30,-12.08
CA-2017-152093,9/10/2017,9/15/2017,"Standard Class",SN-20560,762.59,3,0.80,-1143.89
CA-2017-157854,4/8/2017,4/15/2017,"Standard Class",DM-13345,2690.97,3,0.00,1264.76
CA-2016-128594,8/26/2016,8/29/2016,"First Class",DJ-13510,1603.14,4,0.20,100.20
US-2016-167339,1/21/2016,1/23/2016,"Second Class",TD-20995,1013.49,7,0.20,76.01
US-2016-164630,1/4/2016,1/9/2016,"Standard Class",EB-13975,959.97,4,0.20,120.00
US-2017-120390,10/19/2017,10/26/2017,"Standard Class",TH-21550,1633.19,4,0.70,-1306.55
CA-2017-137428,12/16/2017,12/21/2017,"Second Class",AY-10555,97.18,2,0.20,6.07
US-2014-112872,12/6/2014,12/11/2014,"Second Class",RC-19960,275.49,1,0.50,-170.80
CA-2016-139269,5/25/2016,5/30/2016,"Standard Class",JB-16045,1267.65,9,0.00,152.12
CA-2016-139010,2/21/2016,2/26/2016,"Second Class",MC-17635,449.15,5,0.00,8.98
CA-2017-116519,10/13/2017,10/15/2017,"First Class",CR-12730,904.90,5,0.00,253.37
CA-2017-134845,4/17/2017,4/23/2017,"Standard Class",SR-20425,2549.99,5,0.70,-3399.98
CA-2017-124674,11/17/2017,11/23/2017,"Standard Class",JB-16000,327.73,2,0.32,-14.46
CA-2015-135174,4/30/2015,5/2/2015,"Second Class",BP-11230,1022.97,5,0.40,-255.74
CA-2017-121419,4/2/2017,4/4/2017,"First Class",TC-21475,411.80,2,0.00,70.01
CA-2016-128517,4/9/2016,4/14/2016,"Second Class",SW-20350,517.90,2,0.00,134.65
US-2017-120089,11/30/2017,11/30/2017,"Same Day",ML-17755,663.94,4,0.20,82.99
CA-2014-119375,11/17/2014,11/22/2014,"Standard Class",YC-21895,2934.33,7,0.00,792.27
CA-2017-119578,12/22/2017,12/27/2017,"Second Class",JG-15310,695.16,6,0.00,34.76
CA-2016-150350,8/23/2016,8/30/2016,"Standard Class",MS-17770,837.60,3,0.20,62.82
CA-2014-136399,12/16/2014,12/17/2014,"First Class",CC-12100,627.17,4,0.20,70.56
CA-2017-131828,2/11/2017,2/13/2017,"Second Class",CS-11845,963.14,4,0.20,108.35
CA-2015-147830,12/15/2015,12/18/2015,"First Class",NF-18385,2025.36,6,0.20,607.61
CA-2016-138695,5/28/2016,6/3/2016,"Standard Class",KC-16675,390.27,8,0.20,-24.39
CA-2017-152912,11/9/2017,11/12/2017,"Second Class",BM-11650,1633.14,9,0.00,473.61
CA-2017-104640,11/10/2017,11/16/2017,"Standard Class",FH-14275,931.18,3,0.20,314.27
US-2016-127971,11/20/2016,11/27/2016,"Standard Class",DW-13195,318.43,5,0.30,-77.33
CA-2017-113355,12/1/2017,12/5/2017,"Standard Class",SJ-20215,317.06,3,0.30,-18.12
