order_id,order_date,ship_date,ship_mode,customer_id,sales,quantity,discount,profit,avg_sales
CA-2016-147375,6/12/2016,6/14/2016,"Second Class",PO-19180,313.49,7,0.20,113.64,234.413360
CA-2016-115756,9/5/2016,9/7/2016,"Second Class",PK-19075,242.94,3,0.00,29.15,234.413360
CA-2016-166674,4/1/2016,4/3/2016,"Second Class",RB-19360,263.88,6,0.00,71.25,234.413360
CA-2017-147277,10/20/2017,10/24/2017,"Standard Class",EB-13705,284.36,2,0.40,-75.83,234.413360
CA-2017-147277,10/20/2017,10/24/2017,"Standard Class",EB-13705,665.41,2,0.20,66.54,234.413360
US-2016-157945,9/26/2016,10/1/2016,"Standard Class",NF-18385,747.56,3,0.30,-96.11,234.413360
CA-2015-109638,12/15/2015,12/22/2015,"Standard Class",JH-15985,899.91,9,0.00,377.96,234.413360
CA-2016-109869,4/22/2016,4/29/2016,"Standard Class",TN-21040,1272.63,6,0.50,-814.48,234.413360
US-2015-101399,1/17/2015,1/24/2015,"Standard Class",JS-15940,254.74,7,0.60,-312.06,234.413360
CA-2014-144666,11/9/2014,11/11/2014,"Second Class",JP-15520,340.92,3,0.00,3.41,234.413360
CA-2014-144666,11/9/2014,11/11/2014,"Second Class",JP-15520,703.97,4,0.20,88.00,234.413360
CA-2016-100790,6/26/2016,7/2/2016,"Standard Class",JG-15805,704.25,5,0.00,84.51,234.413360
CA-2017-140963,6/10/2017,6/13/2017,"First Class",MT-18070,514.17,5,0.15,-30.25,234.413360
CA-2017-140963,6/10/2017,6/13/2017,"First Class",MT-18070,279.96,5,0.20,17.50,234.413360
CA-2014-154627,10/29/2014,10/31/2014,"First Class",SA-20830,2735.95,6,0.20,341.99,234.413360
CA-2014-113362,9/14/2014,9/19/2014,"Standard Class",AJ-10960,449.15,5,0.00,8.98,234.413360
CA-2016-126158,7/25/2016,7/31/2016,"Standard Class",SC-20095,255.76,4,0.00,81.84,234.413360
CA-2016-126158,7/25/2016,7/31/2016,"Standard Class",SC-20095,241.57,2,0.20,18.12,234.413360
US-2016-105578,5/30/2016,6/4/2016,"Standard Class",MY-17380,801.57,2,0.20,50.10,234.413360
CA-2015-145352,3/16/2015,3/22/2015,"Standard Class",CM-12385,6354.95,5,0.00,3177.48,234.413360
CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,2999.95,5,0.00,1379.98,234.413360
CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,1126.02,3,0.00,56.30,234.413360
CA-2017-113558,10/21/2017,10/26/2017,"Standard Class",PH-18790,683.95,3,0.20,42.75,234.413360
US-2015-138303,9/3/2015,9/7/2015,"Standard Class",MG-18145,666.25,1,0.20,-149.91,234.413360
CA-2016-168753,5/29/2016,6/1/2016,"Second Class",RL-19615,979.95,5,0.00,274.39,234.413360
CA-2015-134894,12/7/2015,12/11/2015,"Standard Class",DK-12985,283.92,4,0.00,70.98,234.413360
CA-2014-140795,2/1/2014,2/3/2014,"First Class",BD-11500,468.90,6,0.00,206.32,234.413360
CA-2016-136924,7/14/2016,7/17/2016,"First Class",ES-14080,380.86,8,0.20,38.09,234.413360
US-2015-120161,12/18/2015,12/23/2015,"Standard Class",LM-17065,646.78,9,0.20,-145.52,234.413360
CA-2015-113173,11/15/2015,11/17/2015,"Second Class",DK-13225,250.27,9,0.20,15.64,234.413360
CA-2016-136406,4/15/2016,4/17/2016,"Second Class",BD-11320,1121.57,2,0.20,0.00,234.413360
CA-2017-100650,6/29/2017,7/3/2017,"Second Class",DK-13225,1295.78,2,0.00,310.99,234.413360
CA-2016-113243,6/10/2016,6/15/2016,"Standard Class",OT-18730,1335.68,4,0.20,-217.05,234.413360
CA-2017-137099,12/7/2017,12/10/2017,"First Class",FP-14320,374.38,3,0.20,46.80,234.413360
CA-2017-156951,10/1/2017,10/8/2017,"Standard Class",EB-13840,451.15,3,0.20,0.00,234.413360
CA-2017-145233,12/1/2017,12/5/2017,"Standard Class",DV-13465,470.38,3,0.20,52.92,234.413360
CA-2017-145233,12/1/2017,12/5/2017,"Standard Class",DV-13465,406.37,4,0.20,30.48,234.413360
CA-2015-128139,7/3/2015,7/9/2015,"Standard Class",BD-11725,294.93,3,0.00,144.52,234.413360
CA-2014-131450,8/8/2014,8/15/2014,"Standard Class",LR-16915,1199.98,3,0.20,434.99,234.413360
CA-2014-131450,8/8/2014,8/15/2014,"Standard Class",LR-16915,445.96,5,0.20,55.75,234.413360
CA-2014-131450,8/8/2014,8/15/2014,"Standard Class",LR-16915,327.76,8,0.00,91.77,234.413360
US-2016-100720,7/16/2016,7/21/2016,"Standard Class",CK-12205,494.38,4,0.40,-115.35,234.413360
CA-2016-161816,4/28/2016,5/1/2016,"First Class",NB-18655,369.58,3,0.20,41.58,234.413360
CA-2016-121223,9/11/2016,9/13/2016,"Second Class",GD-14590,728.95,9,0.40,-157.94,234.413360
CA-2015-138009,11/29/2015,12/3/2015,"Standard Class",SF-20965,301.96,2,0.00,87.57,234.413360
CA-2015-138009,11/29/2015,12/3/2015,"Standard Class",SF-20965,555.21,5,0.10,178.90,234.413360
CA-2015-138009,11/29/2015,12/3/2015,"Standard Class",SF-20965,523.48,4,0.00,130.87,234.413360
US-2016-135720,12/11/2016,12/13/2016,"Second Class",FM-14380,243.38,3,0.20,-51.72,234.413360
US-2016-135720,12/11/2016,12/13/2016,"Second Class",FM-14380,300.77,4,0.20,30.08,234.413360
CA-2017-144694,9/24/2017,9/26/2017,"Second Class",BD-11605,235.94,3,0.20,85.53,234.413360
CA-2015-168004,10/4/2015,10/9/2015,"Second Class",DJ-13420,392.94,3,0.00,43.22,234.413360
CA-2016-115917,5/20/2016,5/25/2016,"Standard Class",RB-19465,1049.20,5,0.00,272.79,234.413360
CA-2017-167913,7/30/2017,8/3/2017,"Second Class",JL-15835,330.40,2,0.00,85.90,234.413360
CA-2016-160745,12/11/2016,12/16/2016,"Second Class",AR-10825,302.38,3,0.20,22.68,234.413360
CA-2016-160745,12/11/2016,12/16/2016,"Second Class",AR-10825,316.00,4,0.00,31.60,234.413360
CA-2016-132661,10/23/2016,10/29/2016,"Standard Class",SR-20740,379.40,10,0.00,178.32,234.413360
US-2016-156097,9/19/2016,9/19/2016,"Same Day",EH-14125,701.37,2,0.30,-50.10,234.413360
CA-2015-146563,8/24/2015,8/28/2015,"Standard Class",CB-12025,999.43,7,0.20,124.93,234.413360
CA-2015-146563,8/24/2015,8/28/2015,"Standard Class",CB-12025,724.08,14,0.20,-135.77,234.413360
CA-2015-146563,8/24/2015,8/28/2015,"Standard Class",CB-12025,918.79,5,0.30,-118.13,234.413360
CA-2016-123666,3/26/2016,3/30/2016,"Standard Class",SP-20545,459.95,5,0.00,18.40,234.413360
CA-2017-132682,6/8/2017,6/10/2017,"Second Class",TH-21235,381.58,3,0.20,28.62,234.413360
US-2017-168116,11/4/2017,11/4/2017,"Same Day",GT-14635,7999.98,4,0.50,-3839.99,234.413360
CA-2014-157784,7/5/2014,7/8/2014,"First Class",MC-17845,479.97,3,0.00,163.19,234.413360
US-2014-117135,6/21/2014,6/23/2014,"Second Class",NP-18325,284.82,1,0.00,74.05,234.413360
CA-2015-142027,4/9/2015,4/14/2015,"Standard Class",JK-15370,369.91,3,0.20,-13.87,234.413360
CA-2014-112158,12/2/2014,12/4/2014,"First Class",DP-13165,883.92,5,0.20,-110.49,234.413360
US-2017-100048,5/19/2017,5/24/2017,"Standard Class",RS-19765,281.34,6,0.00,109.72,234.413360
US-2017-100048,5/19/2017,5/24/2017,"Standard Class",RS-19765,307.98,2,0.00,89.31,234.413360
US-2017-100048,5/19/2017,5/24/2017,"Standard Class",RS-19765,299.97,3,0.00,113.99,234.413360
CA-2016-142335,12/15/2016,12/19/2016,"Standard Class",MP-17965,1652.94,3,0.00,231.41,234.413360
CA-2016-142335,12/15/2016,12/19/2016,"Standard Class",MP-17965,296.37,3,0.00,80.02,234.413360
US-2016-150861,12/3/2016,12/6/2016,"First Class",EG-13900,400.03,2,0.40,-153.35,234.413360
US-2016-150861,12/3/2016,12/6/2016,"First Class",EG-13900,542.65,3,0.10,102.50,234.413360
CA-2017-131954,1/21/2017,1/25/2017,"Standard Class",DS-13030,242.94,3,0.00,9.72,234.413360
CA-2014-112326,1/4/2014,1/8/2014,"Standard Class",PO-19195,272.74,3,0.20,-64.77,234.413360
CA-2014-124429,5/27/2014,5/27/2014,"Same Day",MH-17785,567.12,10,0.20,-28.36,234.413360
CA-2014-124429,5/27/2014,5/27/2014,"Same Day",MH-17785,359.32,4,0.00,7.19,234.413360
CA-2016-110499,4/7/2016,4/9/2016,"First Class",YC-21895,1199.98,3,0.20,374.99,234.413360
CA-2016-140928,9/18/2016,9/22/2016,"Standard Class",NB-18655,383.44,4,0.45,-167.32,234.413360
CA-2014-162775,1/13/2014,1/15/2014,"Second Class",CS-12250,646.74,6,0.00,258.70,234.413360
CA-2014-162775,1/13/2014,1/15/2014,"Second Class",CS-12250,572.58,6,0.00,34.35,234.413360
CA-2014-106810,5/14/2014,5/20/2014,"Standard Class",AJ-10795,310.88,2,0.20,23.32,234.413360
CA-2016-157245,5/19/2016,5/24/2016,"Standard Class",LE-16810,641.96,2,0.00,179.75,234.413360
CA-2015-144267,8/21/2015,8/23/2015,"First Class",NZ-18565,544.01,3,0.20,40.80,234.413360
CA-2015-154620,12/12/2015,12/16/2015,"Standard Class",LT-17110,348.93,2,0.20,34.89,234.413360
CA-2015-115938,6/26/2015,6/30/2015,"Standard Class",SA-20830,332.94,3,0.00,79.91,234.413360
CA-2016-105256,5/20/2016,5/20/2016,"Same Day",JK-15730,1363.96,5,0.20,85.25,234.413360
CA-2015-101910,11/27/2015,12/3/2015,"Standard Class",CD-11920,283.92,5,0.20,17.75,234.413360
CA-2016-136133,8/18/2016,8/23/2016,"Second Class",HW-14935,355.32,9,0.00,99.49,234.413360
CA-2014-134313,11/1/2014,11/7/2014,"Standard Class",RA-19915,1983.97,4,0.20,248.00,234.413360
CA-2014-151995,10/13/2014,10/15/2014,"First Class",ZC-21910,1298.55,5,0.00,311.65,234.413360
CA-2017-143686,5/14/2017,5/14/2017,"Same Day",PJ-19015,1399.93,7,0.00,601.97,234.413360
CA-2014-140858,6/28/2014,7/2/2014,"Standard Class",CA-12775,1228.47,5,0.30,0.00,234.413360
CA-2014-140858,6/28/2014,7/2/2014,"Standard Class",CA-12775,335.52,4,0.20,117.43,234.413360
CA-2017-101434,6/20/2017,6/27/2017,"Standard Class",TR-21325,239.97,3,0.00,71.99,234.413360
CA-2017-129462,6/16/2017,6/21/2017,"Second Class",JE-15745,301.96,2,0.00,90.59,234.413360
CA-2016-165316,7/23/2016,7/27/2016,"Standard Class",JB-15400,265.48,1,0.50,-111.50,234.413360
CA-2015-114300,10/13/2015,10/17/2015,"Standard Class",AF-10885,287.94,3,0.00,77.74,234.413360
CA-2016-123274,2/19/2016,2/24/2016,"Standard Class",GT-14710,242.94,3,0.00,9.72,234.413360
CA-2016-158099,9/3/2016,9/5/2016,"First Class",PK-18910,1141.47,5,0.70,-760.98,234.413360
CA-2016-158099,9/3/2016,9/5/2016,"First Class",PK-18910,280.78,3,0.40,-46.80,234.413360
CA-2016-116736,1/17/2016,1/21/2016,"Standard Class",CC-12430,322.59,3,0.00,64.52,234.413360
CA-2016-116736,1/17/2016,1/21/2016,"Standard Class",CC-12430,371.97,3,0.00,66.95,234.413360
CA-2017-111689,11/30/2017,12/2/2017,"Second Class",HP-14815,1242.90,5,0.10,262.39,234.413360
CA-2017-133256,6/26/2017,6/27/2017,"First Class",TH-21550,543.92,8,0.00,135.98,234.413360
CA-2017-132353,9/15/2017,9/17/2017,"First Class",DB-13060,323.98,3,0.20,20.25,234.413360
CA-2017-143259,12/30/2017,1/3/2018,"Standard Class",PO-18865,323.14,4,0.20,12.12,234.413360
CA-2017-137596,9/2/2017,9/7/2017,"Standard Class",BE-11335,1199.80,4,0.00,323.95,234.413360
CA-2017-137596,9/2/2017,9/7/2017,"Standard Class",BE-11335,1928.78,7,0.00,829.38,234.413360
CA-2017-137596,9/2/2017,9/7/2017,"Standard Class",BE-11335,352.38,2,0.00,81.05,234.413360
US-2014-141215,6/15/2014,6/21/2014,"Standard Class",KL-16555,797.94,4,0.30,-57.00,234.413360
CA-2015-111164,4/11/2015,4/15/2015,"Standard Class",SE-20110,406.60,5,0.00,113.85,234.413360
CA-2016-149797,9/15/2016,9/20/2016,"Standard Class",AH-10075,841.57,2,0.20,294.55,234.413360
CA-2014-132962,9/13/2014,9/16/2014,"First Class",JM-15535,252.00,5,0.20,53.55,234.413360
CA-2016-140081,6/20/2016,6/24/2016,"Standard Class",CG-12040,447.70,2,0.20,33.58,234.413360
CA-2016-142958,12/13/2016,12/20/2016,"Standard Class",RW-19630,1114.27,4,0.20,41.79,234.413360
CA-2015-120880,5/29/2015,6/3/2015,"Standard Class",JL-15850,540.57,3,0.00,140.55,234.413360
US-2015-140200,7/26/2015,7/28/2015,"First Class",CA-12775,393.17,3,0.50,-204.45,234.413360
US-2017-110576,11/28/2017,12/2/2017,"Standard Class",RB-19795,516.49,7,0.20,-12.91,234.413360
US-2017-110576,11/28/2017,12/2/2017,"Standard Class",RB-19795,1007.23,6,0.20,75.54,234.413360
US-2017-110576,11/28/2017,12/2/2017,"Standard Class",RB-19795,2065.32,12,0.40,-619.60,234.413360
CA-2017-152142,11/14/2017,11/19/2017,"Standard Class",LW-16990,321.57,2,0.20,28.14,234.413360
CA-2017-135279,4/9/2017,4/11/2017,"First Class",BS-11800,501.81,3,0.00,0.00,234.413360
CA-2017-159366,1/7/2017,1/10/2017,"First Class",BW-11110,3059.98,2,0.10,680.00,234.413360
CA-2016-144939,10/3/2016,10/8/2016,"Standard Class",EB-13870,599.29,6,0.10,93.22,234.413360
CA-2014-163419,11/11/2014,11/14/2014,"Second Class",TZ-21580,559.98,2,0.20,56.00,234.413360
CA-2014-163419,11/11/2014,11/14/2014,"Second Class",TZ-21580,603.92,5,0.20,75.49,234.413360
CA-2017-100314,9/29/2017,10/5/2017,"Standard Class",AS-10630,336.51,3,0.40,44.87,234.413360
CA-2017-167899,5/21/2017,5/26/2017,"Standard Class",JG-15805,520.05,5,0.00,72.81,234.413360
CA-2015-153549,3/29/2015,3/31/2015,"Second Class",SL-20155,1166.92,5,0.20,131.28,234.413360
CA-2014-117639,5/21/2014,5/25/2014,"Standard Class",MW-18235,2715.93,7,0.00,1276.49,234.413360
CA-2014-117639,5/21/2014,5/25/2014,"Standard Class",MW-18235,617.97,3,0.00,173.03,234.413360
CA-2015-124891,7/31/2015,7/31/2015,"Same Day",RH-19495,2309.65,7,0.00,762.18,234.413360
CA-2015-124891,7/31/2015,7/31/2015,"Same Day",RH-19495,1090.78,7,0.40,-290.88,234.413360
CA-2015-126445,8/27/2015,8/31/2015,"Standard Class",RA-19945,484.65,3,0.00,92.08,234.413360
US-2015-126214,12/21/2015,12/24/2015,"Second Class",JS-15880,1618.37,13,0.00,356.04,234.413360
CA-2015-108665,7/6/2015,7/10/2015,"Standard Class",KM-16225,601.65,5,0.00,156.43,234.413360
CA-2015-124450,4/27/2015,5/3/2015,"Standard Class",GT-14710,1267.53,3,0.00,316.88,234.413360
CA-2015-124450,4/27/2015,5/3/2015,"Standard Class",GT-14710,1379.92,8,0.00,648.56,234.413360
CA-2014-163552,7/11/2014,7/15/2014,"Standard Class",LA-16780,854.94,3,0.00,213.74,234.413360
CA-2016-127670,3/20/2016,3/24/2016,"Standard Class",RD-19660,697.16,4,0.00,146.40,234.413360
CA-2016-102981,9/6/2016,9/9/2016,"Second Class",MO-17500,722.35,3,0.20,90.29,234.413360
CA-2017-152702,10/12/2017,10/16/2017,"Standard Class",SN-20710,254.60,14,0.30,-18.19,234.413360
CA-2016-169103,3/8/2016,3/13/2016,"Standard Class",ZC-21910,1363.96,5,0.20,85.25,234.413360
CA-2014-139192,5/27/2014,6/1/2014,"Second Class",LC-16885,1113.50,12,0.20,125.27,234.413360
US-2015-153500,7/3/2015,7/5/2015,"First Class",DG-13300,282.89,9,0.20,56.58,234.413360
CA-2015-110016,11/29/2015,12/4/2015,"Standard Class",BT-11395,1106.91,9,0.00,121.76,234.413360
US-2016-143819,3/1/2016,3/5/2016,"Standard Class",KD-16270,836.59,8,0.40,-264.92,234.413360
