customer_id,total_value,quartile,quartile_label
C0500,1007433.53,1,Platinum
C0235,997777.00,1,Platinum
C0120,991209.76,1,Platinum
C0185,986765.68,1,Platinum
C0076,965098.06,1,Platinum
C0469,952824.47,1,Platinum
C0020,944363.05,1,Platinum
C0208,932438.49,1,Platinum
C0458,931170.91,1,Platinum
C0191,929848.89,1,Platinum
C0377,914966.15,1,Platinum
C0252,899524.03,1,Platinum
C0318,886221.98,1,Platinum
C0082,884513.97,1,Platinum
C0033,880561.65,1,Platinum
C0170,872738.88,1,Platinum
C0465,871601.64,1,Platinum
C0032,868990.43,1,Platinum
C0213,865216.67,1,Platinum
C0326,865147.10,1,Platinum
C0288,863270.01,1,Platinum
C0019,860077.33,1,Platinum
C0226,850848.62,1,Platinum
C0192,839257.58,1,Platinum
C0127,837018.62,1,Platinum
C0441,829560.06,1,Platinum
C0327,826165.86,1,Platinum
C0315,816776.18,1,Platinum
C0034,809482.88,1,Platinum
C0431,807151.49,1,Platinum
C0216,783152.46,1,Platinum
C0484,763208.36,1,Platinum
C0249,762783.68,1,Platinum
C0118,757764.52,1,Platinum
C0036,750199.83,1,Platinum
C0178,749958.48,1,Platinum
C0355,745681.98,1,Platinum
C0343,742963.57,1,Platinum
C0443,742296.53,1,Platinum
C0210,741398.33,1,Platinum
C0412,739320.60,1,Platinum
C0058,738117.36,2,Gold
C0162,734678.71,2,Gold
C0006,725505.05,2,Gold
C0483,719925.71,2,Gold
C0274,718584.11,2,Gold
C0476,713576.65,2,Gold
C0493,706306.92,2,Gold
C0351,702873.25,2,Gold
C0303,701201.35,2,Gold
C0103,699260.91,2,Gold
C0361,696356.96,2,Gold
C0225,693362.25,2,Gold
C0078,684416.73,2,Gold
C0434,683933.88,2,Gold
C0202,677012.71,2,Gold
C0052,676800.60,2,Gold
C0338,674205.48,2,Gold
C0357,673155.46,2,Gold
C0138,672880.93,2,Gold
C0207,668727.99,2,Gold
C0429,665873.48,2,Gold
C0048,662808.66,2,Gold
C0183,661333.73,2,Gold
C0371,657711.63,2,Gold
C0239,654472.52,2,Gold
C0455,650801.25,2,Gold
C0237,650510.63,2,Gold
C0272,636962.95,2,Gold
C0353,629577.79,2,Gold
C0277,626254.10,2,Gold
C0231,624340.14,2,Gold
C0457,623131.58,2,Gold
C0312,619751.40,2,Gold
C0101,617449.94,2,Gold
C0177,616448.58,2,Gold
C0466,615468.51,2,Gold
C0471,615176.69,2,Gold
C0126,607608.48,2,Gold
C0040,607106.54,2,Gold
C0321,606170.85,2,Gold
C0279,603923.41,2,Gold
C0410,602168.97,2,Gold
C0494,599917.59,2,Gold
C0284,594441.82,2,Gold
C0363,588383.85,2,Gold
C0097,580033.31,2,Gold
C0125,578834.51,2,Gold
C0470,572190.64,2,Gold
C0498,563188.92,2,Gold
C0304,561081.91,2,Gold
C0293,559699.24,2,Gold
C0290,550962.23,2,Gold
C0061,550494.26,2,Gold
C0041,546425.41,2,Gold
C0448,544170.81,2,Gold
C0497,543493.20,2,Gold
C0260,542163.41,2,Gold
C0147,542130.58,2,Gold
C0445,540725.38,2,Gold
C0243,534811.97,2,Gold
C0374,534597.97,2,Gold
C0446,533427.57,2,Gold
C0417,532764.15,2,Gold
C0112,532189.28,2,Gold
C0294,529579.34,2,Gold
C0263,525628.16,2,Gold
C0329,524305.70,2,Gold
C0391,523385.80,2,Gold
C0295,522647.43,2,Gold
C0378,519471.88,2,Gold
C0451,517579.57,2,Gold
C0073,517324.73,2,Gold
C0232,516471.47,2,Gold
C0051,513376.20,2,Gold
C0228,511001.26,2,Gold
C0331,508119.53,2,Gold
C0182,506353.51,2,Gold
C0165,497318.52,2,Gold
C0459,492635.20,2,Gold
C0376,492544.21,2,Gold
C0298,489198.16,2,Gold
C0030,486278.80,2,Gold
C0142,483597.88,2,Gold
C0259,480208.81,2,Gold
C0215,480153.51,2,Gold
C0300,478677.09,2,Gold
C0148,477952.11,2,Gold
C0422,472952.99,2,Gold
C0283,465380.79,2,Gold
C0184,462049.11,2,Gold
C0071,461947.18,2,Gold
C0491,461636.41,2,Gold
C0282,460333.79,2,Gold
C0072,458473.04,2,Gold
C0392,458406.17,2,Gold
C0474,453564.09,2,Gold
C0171,440497.38,2,Gold
C0201,439194.22,2,Gold
C0485,438788.59,2,Gold
C0186,436614.85,2,Gold
C0031,435177.86,2,Gold
C0075,432131.76,2,Gold
C0437,427990.75,2,Gold
C0203,424187.62,2,Gold
C0238,420068.33,2,Gold
C0024,418694.10,3,Silver
C0428,418348.03,3,Silver
C0460,415982.06,3,Silver
C0161,408287.41,3,Silver
C0206,407032.70,3,Silver
C0004,405641.27,3,Silver
C0416,404744.81,3,Silver
C0077,404506.10,3,Silver
C0221,401357.44,3,Silver
C0270,397390.43,3,Silver
C0341,396082.51,3,Silver
C0092,395465.41,3,Silver
C0330,392629.98,3,Silver
C0188,390834.73,3,Silver
C0478,390264.44,3,Silver
C0255,389344.17,3,Silver
C0487,388777.71,3,Silver
C0382,388494.70,3,Silver
C0010,387709.72,3,Silver
C0233,385327.86,3,Silver
C0302,380844.70,3,Silver
C0059,380787.15,3,Silver
C0094,376203.09,3,Silver
C0164,375201.59,3,Silver
C0463,370070.81,3,Silver
C0079,362186.99,3,Silver
C0115,359620.24,3,Silver
C0046,359567.57,3,Silver
C0053,359206.90,3,Silver
C0322,355446.25,3,Silver
C0066,350793.89,3,Silver
C0011,350434.93,3,Silver
C0155,346400.45,3,Silver
C0306,340819.13,3,Silver
C0117,340796.85,3,Silver
C0122,338998.97,3,Silver
C0345,338382.98,3,Silver
C0135,335932.15,3,Silver
C0062,334675.55,3,Silver
C0245,331434.95,3,Silver
C0264,331170.57,3,Silver
C0278,324782.44,3,Silver
C0267,323095.85,3,Silver
C0234,321630.47,3,Silver
C0229,320896.57,3,Silver
C0253,316042.87,3,Silver
C0271,314971.35,3,Silver
C0176,314604.70,3,Silver
C0347,313462.42,3,Silver
C0223,310407.51,3,Silver
C0370,309552.23,3,Silver
C0479,308664.08,3,Silver
C0158,304582.97,3,Silver
C0473,302244.59,3,Silver
C0218,299317.30,3,Silver
C0146,298076.94,3,Silver
C0432,297170.54,3,Silver
C0421,296439.74,3,Silver
C0418,296109.28,3,Silver
C0350,289884.78,3,Silver
C0256,287225.78,3,Silver
C0333,284749.79,3,Silver
C0397,283426.56,3,Silver
C0083,280696.98,3,Silver
C0440,277003.16,3,Silver
C0230,275791.12,3,Silver
C0411,274458.11,3,Silver
C0137,274097.85,3,Silver
C0354,270840.79,3,Silver
C0450,265032.21,3,Silver
C0196,264104.09,3,Silver
C0180,258304.42,3,Silver
C0287,253498.99,3,Silver
C0105,253358.54,3,Silver
C0057,253009.40,3,Silver
C0384,252266.76,3,Silver
C0121,251803.30,3,Silver
C0250,251053.64,3,Silver
C0405,250278.18,3,Silver
C0475,250173.71,3,Silver
C0001,249642.19,3,Silver
C0088,245950.59,3,Silver
C0286,238998.59,3,Silver
C0342,236535.94,3,Silver
C0346,236119.44,3,Silver
C0365,227487.84,3,Silver
C0211,226674.24,3,Silver
C0317,226650.42,3,Silver
C0352,225417.80,3,Silver
C0248,223502.97,3,Silver
C0266,220882.84,3,Silver
C0106,218092.02,3,Silver
C0297,217449.87,3,Silver
C0281,217130.37,3,Silver
C0055,216806.67,3,Silver
C0482,213428.13,3,Silver
C0085,211893.52,3,Silver
C0395,210747.73,3,Silver
C0081,205586.78,3,Silver
C0119,205180.52,3,Silver
C0337,203411.14,3,Silver
C0200,201292.18,3,Silver
C0254,200894.24,3,Silver
C0398,199244.81,3,Silver
C0009,194621.36,3,Silver
C0464,194125.78,4,Bronze
C0439,193787.87,4,Bronze
C0042,193120.65,4,Bronze
C0044,190287.68,4,Bronze
C0108,189084.24,4,Bronze
C0093,188353.09,4,Bronze
C0214,188053.17,4,Bronze
C0007,187567.45,4,Bronze
C0373,185898.00,4,Bronze
C0240,185242.64,4,Bronze
C0435,181398.70,4,Bronze
C0084,178467.01,4,Bronze
C0168,175682.43,4,Bronze
C0415,172697.61,4,Bronze
C0309,171105.77,4,Bronze
C0402,170803.94,4,Bronze
C0064,169554.58,4,Bronze
C0110,167951.87,4,Bronze
C0396,163459.33,4,Bronze
C0334,163260.88,4,Bronze
C0143,162972.07,4,Bronze
C0067,161327.21,4,Bronze
C0499,158850.28,4,Bronze
C0063,156933.54,4,Bronze
C0123,154366.97,4,Bronze
C0131,153330.25,4,Bronze
C0344,152324.15,4,Bronze
C0172,151739.71,4,Bronze
C0159,151265.36,4,Bronze
C0002,148890.68,4,Bronze
C0111,145643.43,4,Bronze
C0481,145061.94,4,Bronze
C0157,142104.74,4,Bronze
C0149,135248.78,4,Bronze
C0424,134615.47,4,Bronze
C0224,131187.35,4,Bronze
C0380,129648.93,4,Bronze
C0320,129069.30,4,Bronze
C0049,125812.21,4,Bronze
C0400,125509.55,4,Bronze
C0133,121906.58,4,Bronze
C0193,120214.74,4,Bronze
C0319,119963.47,4,Bronze
C0336,117372.09,4,Bronze
C0027,113664.32,4,Bronze
C0150,113050.47,4,Bronze
C0169,111918.06,4,Bronze
C0037,109662.02,4,Bronze
C0003,109463.68,4,Bronze
C0360,107734.01,4,Bronze
C0089,106742.52,4,Bronze
C0387,104134.73,4,Bronze
C0181,103572.06,4,Bronze
C0305,102689.60,4,Bronze
C0017,100247.32,4,Bronze
C0187,98214.14,4,Bronze
C0065,97871.74,4,Bronze
C0047,97420.82,4,Bronze
C0280,88207.11,4,Bronze
C0217,87742.15,4,Bronze
C0080,83735.14,4,Bronze
C0056,82252.25,4,Bronze
C0109,81238.26,4,Bronze
C0388,75821.21,4,Bronze
C0369,74849.23,4,Bronze
C0480,73073.78,4,Bronze
C0496,68826.48,4,Bronze
C0132,68717.66,4,Bronze
C0477,67864.26,4,Bronze
C0310,67292.67,4,Bronze
C0035,65285.01,4,Bronze
C0323,59779.23,4,Bronze
C0394,56608.90,4,Bronze
C0140,55700.09,4,Bronze
C0492,53966.96,4,Bronze
C0124,52575.71,4,Bronze
C0241,47824.39,4,Bronze
C0167,47511.14,4,Bronze
C0356,45786.07,4,Bronze
C0219,35671.12,4,Bronze
C0407,34403.26,4,Bronze
C0438,32524.62,4,Bronze
C0087,30564.24,4,Bronze
C0409,29769.11,4,Bronze
C0153,29113.76,4,Bronze
C0349,25780.52,4,Bronze
C0145,20924.19,4,Bronze
C0014,17897.33,4,Bronze
C0166,15469.43,4,Bronze
C0013,14786.61,4,Bronze
C0156,12601.62,4,Bronze
C0261,12407.71,4,Bronze
C0265,12339.91,4,Bronze
C0205,12305.88,4,Bronze
C0390,8487.74,4,Bronze
C0100,8402.00,4,Bronze
C0151,5598.21,4,Bronze
C0367,5593.36,4,Bronze
C0141,3862.93,4,Bronze
C0444,-29693.37,4,Bronze
C0008,-41926.60,4,Bronze
C0029,-44982.43,4,Bronze
C0174,-45838.40,4,Bronze
C0021,-168871.46,4,Bronze
C0425,-186365.99,4,Bronze
