customer_id,revenue,cumulative_revenue,cumulative_percent
C0019,860077.33,112733420.18,49.21
C0226,850848.62,113584268.80,49.58
C0192,839257.58,114423526.38,49.95
C0127,837018.62,115260545.00,50.31
C0441,829560.06,116090105.07,50.68
C0327,826165.86,116916270.93,51.04
C0315,816776.18,117733047.10,51.39
C0034,809482.88,118542529.98,51.75
C0431,807151.49,119349681.47,52.10
C0216,783152.46,120132833.93,52.44
C0484,763208.36,120896042.29,52.77
C0249,762783.68,121658825.97,53.11
C0118,757764.52,122416590.50,53.44
C0036,750199.83,123166790.32,53.77
C0178,749958.48,123916748.80,54.09
C0355,745681.98,124662430.78,54.42
C0343,742963.57,125405394.35,54.74
C0443,742296.53,126147690.88,55.07
C0210,741398.33,126889089.22,55.39
C0412,739320.60,127628409.82,55.71
C0058,738117.36,128366527.17,56.03
C0162,734678.71,129101205.88,56.36
C0006,725505.05,129826710.93,56.67
C0483,719925.71,130546636.64,56.99
C0274,718584.11,131265220.75,57.30
C0476,713576.65,131978797.40,57.61
C0493,706306.92,132685104.32,57.92
C0351,702873.25,133387977.57,58.23
C0303,701201.35,134089178.92,58.53
C0103,699260.91,134788439.83,58.84
C0361,696356.96,135484796.79,59.14
C0225,693362.25,136178159.03,59.44
C0078,684416.73,136862575.76,59.74
C0434,683933.88,137546509.64,60.04
C0202,677012.71,138223522.36,60.34
C0052,676800.60,138900322.95,60.63
C0338,674205.48,139574528.43,60.93
C0357,673155.46,140247683.90,61.22
C0138,672880.93,140920564.82,61.51
C0207,668727.99,141589292.82,61.81
C0429,665873.48,142255166.29,62.10
C0048,662808.66,142917974.96,62.39
C0183,661333.73,143579308.69,62.68
C0371,657711.63,144237020.32,62.96
C0239,654472.52,144891492.83,63.25
C0455,650801.25,145542294.08,63.53
C0237,650510.63,146192804.71,63.82
C0272,636962.95,146829767.66,64.09
C0353,629577.79,147459345.45,64.37
C0277,626254.10,148085599.55,64.64
C0231,624340.14,148709939.68,64.92
C0457,623131.58,149333071.27,65.19
C0312,619751.40,149952822.66,65.46
C0101,617449.94,150570272.60,65.73
C0177,616448.58,151186721.18,66.00
C0466,615468.51,151802189.69,66.27
C0471,615176.69,152417366.38,66.53
C0126,607608.48,153024974.86,66.80
C0040,607106.54,153632081.40,67.06
C0321,606170.85,154238252.26,67.33
C0279,603923.41,154842175.66,67.59
C0410,602168.97,155444344.64,67.85
C0494,599917.59,156044262.23,68.12
C0284,594441.82,156638704.05,68.38
C0363,588383.85,157227087.90,68.63
C0097,580033.31,157807121.21,68.89
C0125,578834.51,158385955.71,69.14
C0470,572190.64,158958146.35,69.39
C0498,563188.92,159521335.27,69.63
C0304,561081.91,160082417.18,69.88
C0293,559699.24,160642116.42,70.12
C0290,550962.23,161193078.66,70.36
C0061,550494.26,161743572.91,70.60
C0041,546425.41,162289998.33,70.84
C0448,544170.81,162834169.13,71.08
C0497,543493.20,163377662.33,71.32
C0260,542163.41,163919825.74,71.55
C0147,542130.58,164461956.32,71.79
C0445,540725.38,165002681.70,72.03
C0243,534811.97,165537493.67,72.26
C0374,534597.97,166072091.65,72.49
C0446,533427.57,166605519.22,72.73
C0417,532764.15,167138283.37,72.96
C0112,532189.28,167670472.66,73.19
C0294,529579.34,168200052.00,73.42
C0263,525628.16,168725680.16,73.65
C0329,524305.70,169249985.87,73.88
C0391,523385.80,169773371.66,74.11
C0295,522647.43,170296019.09,74.34
C0378,519471.88,170815490.98,74.56
C0451,517579.57,171333070.55,74.79
C0073,517324.73,171850395.28,75.02
C0232,516471.47,172366866.75,75.24
C0051,513376.20,172880242.95,75.47
C0228,511001.26,173391244.21,75.69
C0331,508119.53,173899363.74,75.91
C0182,506353.51,174405717.26,76.13
C0165,497318.52,174903035.78,76.35
C0459,492635.20,175395670.98,76.56
C0376,492544.21,175888215.19,76.78
C0298,489198.16,176377413.35,76.99
C0030,486278.80,176863692.15,77.20
C0142,483597.88,177347290.04,77.42
C0259,480208.81,177827498.85,77.63
C0215,480153.51,178307652.35,77.84
C0300,478677.09,178786329.44,78.04
C0148,477952.11,179264281.56,78.25
C0422,472952.99,179737234.55,78.46
C0283,465380.79,180202615.33,78.66
C0184,462049.11,180664664.44,78.86
C0071,461947.18,181126611.62,79.07
C0491,461636.41,181588248.04,79.27
C0282,460333.79,182048581.83,79.47
C0072,458473.04,182507054.86,79.67
C0392,458406.17,182965461.03,79.87
C0474,453564.09,183419025.12,80.07
C0171,440497.38,183859522.50,80.26
C0201,439194.22,184298716.72,80.45
C0485,438788.59,184737505.31,80.64
C0186,436614.85,185174120.16,80.83
C0031,435177.86,185609298.02,81.02
C0075,432131.76,186041429.78,81.21
C0437,427990.75,186469420.53,81.40
C0203,424187.62,186893608.15,81.58
C0238,420068.33,187313676.47,81.77
C0024,418694.10,187732370.57,81.95
C0428,418348.03,188150718.60,82.13
C0460,415982.06,188566700.65,82.31
C0161,408287.41,188974988.06,82.49
C0206,407032.70,189382020.76,82.67
C0004,405641.27,189787662.03,82.85
C0416,404744.81,190192406.84,83.02
C0077,404506.10,190596912.94,83.20
C0221,401357.44,190998270.38,83.37
C0270,397390.43,191395660.81,83.55
C0341,396082.51,191791743.32,83.72
C0092,395465.41,192187208.72,83.89
C0330,392629.98,192579838.71,84.07
C0188,390834.73,192970673.44,84.24
C0478,390264.44,193360937.88,84.41
C0255,389344.17,193750282.05,84.58
C0487,388777.71,194139059.75,84.75
C0382,388494.70,194527554.45,84.92
C0010,387709.72,194915264.17,85.08
C0233,385327.86,195300592.03,85.25
C0302,380844.70,195681436.72,85.42
C0059,380787.15,196062223.87,85.59
C0094,376203.09,196438426.96,85.75
C0164,375201.59,196813628.55,85.91
C0463,370070.81,197183699.36,86.08
C0079,362186.99,197545886.35,86.23
C0115,359620.24,197905506.59,86.39
C0046,359567.57,198265074.16,86.55
C0053,359206.90,198624281.06,86.70
C0322,355446.25,198979727.30,86.86
C0066,350793.89,199330521.19,87.01
C0011,350434.93,199680956.12,87.17
C0155,346400.45,200027356.57,87.32
C0306,340819.13,200368175.69,87.47
C0117,340796.85,200708972.55,87.61
C0122,338998.97,201047971.52,87.76
C0345,338382.98,201386354.50,87.91
C0135,335932.15,201722286.66,88.06
C0062,334675.55,202056962.21,88.20
C0245,331434.95,202388397.16,88.35
C0264,331170.57,202719567.73,88.49
C0278,324782.44,203044350.17,88.63
C0267,323095.85,203367446.02,88.77
C0234,321630.47,203689076.49,88.91
C0229,320896.57,204009973.05,89.05
C0253,316042.87,204326015.92,89.19
C0271,314971.35,204640987.28,89.33
C0176,314604.70,204955591.98,89.47
C0347,313462.42,205269054.41,89.60
C0223,310407.51,205579461.92,89.74
C0370,309552.23,205889014.14,89.88
C0479,308664.08,206197678.22,90.01
C0158,304582.97,206502261.19,90.14
C0473,302244.59,206804505.78,90.27
C0218,299317.30,207103823.08,90.41
C0146,298076.94,207401900.01,90.54
C0432,297170.54,207699070.56,90.67
C0421,296439.74,207995510.29,90.79
C0418,296109.28,208291619.57,90.92
C0350,289884.78,208581504.35,91.05
C0256,287225.78,208868730.13,91.18
C0333,284749.79,209153479.92,91.30
C0397,283426.56,209436906.48,91.42
C0083,280696.98,209717603.46,91.55
C0440,277003.16,209994606.62,91.67
C0230,275791.12,210270397.74,91.79
C0411,274458.11,210544855.85,91.91
C0137,274097.85,210818953.71,92.03
C0354,270840.79,211089794.49,92.15
C0450,265032.21,211354826.71,92.26
C0196,264104.09,211618930.79,92.38
C0180,258304.42,211877235.21,92.49
C0287,253498.99,212130734.21,92.60
C0105,253358.54,212384092.75,92.71
C0057,253009.40,212637102.14,92.82
C0384,252266.76,212889368.90,92.93
C0121,251803.30,213141172.20,93.04
C0250,251053.64,213392225.84,93.15
C0405,250278.18,213642504.01,93.26
C0475,250173.71,213892677.72,93.37
C0001,249642.19,214142319.91,93.48
C0088,245950.59,214388270.50,93.59
C0286,238998.59,214627269.08,93.69
C0342,236535.94,214863805.03,93.79
C0346,236119.44,215099924.47,93.90
C0365,227487.84,215327412.31,94.00
C0211,226674.24,215554086.55,94.09
C0317,226650.42,215780736.97,94.19
C0352,225417.80,216006154.78,94.29
C0248,223502.97,216229657.74,94.39
C0266,220882.84,216450540.58,94.49
C0106,218092.02,216668632.60,94.58
C0297,217449.87,216886082.47,94.68
C0281,217130.37,217103212.83,94.77
C0055,216806.67,217320019.50,94.87
C0482,213428.13,217533447.64,94.96
C0085,211893.52,217745341.16,95.05
C0395,210747.73,217956088.89,95.14
C0081,205586.78,218161675.66,95.23
C0119,205180.52,218366856.18,95.32
C0337,203411.14,218570267.32,95.41
C0200,201292.18,218771559.51,95.50
C0254,200894.24,218972453.75,95.59
C0398,199244.81,219171698.56,95.67
C0009,194621.36,219366319.92,95.76
C0464,194125.78,219560445.70,95.84
C0439,193787.87,219754233.57,95.93
C0042,193120.65,219947354.22,96.01
C0044,190287.68,220137641.90,96.09
C0108,189084.24,220326726.14,96.18
C0093,188353.09,220515079.23,96.26
C0214,188053.17,220703132.40,96.34
C0007,187567.45,220890699.85,96.42
C0373,185898.00,221076597.85,96.50
C0240,185242.64,221261840.49,96.59
C0435,181398.70,221443239.19,96.66
C0084,178467.01,221621706.20,96.74
C0168,175682.43,221797388.62,96.82
C0415,172697.61,221970086.23,96.89
C0309,171105.77,222141192.01,96.97
C0402,170803.94,222311995.94,97.04
C0064,169554.58,222481550.52,97.12
C0110,167951.87,222649502.39,97.19
C0396,163459.33,222812961.73,97.26
C0334,163260.88,222976222.60,97.33
C0143,162972.07,223139194.67,97.41
C0067,161327.21,223300521.88,97.48
C0499,158850.28,223459372.16,97.54
C0063,156933.54,223616305.70,97.61
C0123,154366.97,223770672.67,97.68
C0131,153330.25,223924002.92,97.75
C0344,152324.15,224076327.07,97.81
C0172,151739.71,224228066.78,97.88
C0159,151265.36,224379332.14,97.95
C0002,148890.68,224528222.83,98.01
C0111,145643.43,224673866.25,98.08
C0481,145061.94,224818928.19,98.14
C0157,142104.74,224961032.93,98.20
C0149,135248.78,225096281.71,98.26
C0424,134615.47,225230897.18,98.32
C0224,131187.35,225362084.52,98.38
C0380,129648.93,225491733.46,98.43
C0320,129069.30,225620802.75,98.49
C0049,125812.21,225746614.96,98.54
C0400,125509.55,225872124.51,98.60
C0133,121906.58,225994031.08,98.65
C0193,120214.74,226114245.82,98.70
C0319,119963.47,226234209.29,98.76
C0336,117372.09,226351581.38,98.81
C0027,113664.32,226465245.70,98.86
C0150,113050.47,226578296.17,98.91
C0169,111918.06,226690214.23,98.96
C0037,109662.02,226799876.26,99.00
C0003,109463.68,226909339.93,99.05
C0360,107734.01,227017073.94,99.10
C0089,106742.52,227123816.46,99.14
C0387,104134.73,227227951.19,99.19
C0181,103572.06,227331523.25,99.24
C0305,102689.60,227434212.84,99.28
C0017,100247.32,227534460.17,99.32
C0187,98214.14,227632674.31,99.37
C0065,97871.74,227730546.05,99.41
C0047,97420.82,227827966.87,99.45
C0280,88207.11,227916173.98,99.49
C0217,87742.15,228003916.13,99.53
C0080,83735.14,228087651.27,99.57
C0056,82252.25,228169903.52,99.60
C0109,81238.26,228251141.78,99.64
C0388,75821.21,228326962.98,99.67
C0369,74849.23,228401812.21,99.70
C0480,73073.78,228474885.99,99.73
C0496,68826.48,228543712.47,99.76
C0132,68717.66,228612430.13,99.79
C0477,67864.26,228680294.39,99.82
C0310,67292.67,228747587.06,99.85
C0035,65285.01,228812872.06,99.88
C0323,59779.23,228872651.30,99.91
C0394,56608.90,228929260.19,99.93
C0140,55700.09,228984960.28,99.96
C0492,53966.96,229038927.24,99.98
C0124,52575.71,229091502.96,100.00
C0241,47824.39,229139327.35,100.02
C0167,47511.14,229186838.49,100.05
C0356,45786.07,229232624.56,100.07
C0219,35671.12,229268295.68,100.08
C0407,34403.26,229302698.94,100.10
C0438,32524.62,229335223.56,100.11
C0087,30564.24,229365787.80,100.12
C0409,29769.11,229395556.91,100.14
C0153,29113.76,229424670.67,100.15
C0349,25780.52,229450451.20,100.16
C0145,20924.19,229471375.38,100.17
C0014,17897.33,229489272.71,100.18
C0166,15469.43,229504742.13,100.18
C0013,14786.61,229519528.74,100.19
C0156,12601.62,229532130.36,100.20
C0261,12407.71,229544538.06,100.20
C0265,12339.91,229556877.97,100.21
C0205,12305.88,229569183.85,100.21
C0390,8487.74,229577671.60,100.22
C0100,8402.00,229586073.59,100.22
C0151,5598.21,229591671.80,100.22
C0367,5593.36,229597265.16,100.22
C0141,3862.93,229601128.08,100.23
C0444,-29693.37,229571434.71,100.21
C0008,-41926.60,229529508.11,100.19
C0029,-44982.43,229484525.68,100.18
C0174,-45838.40,229438687.28,100.16
C0021,-168871.46,229269815.81,100.08
C0425,-186365.99,229083449.82,100.00
