customer_id,first_category,last_category,category_shift
C0085,Clothing,Clothing,No
C0086,Clothing,Books,Yes
C0087,Electronics,Electronics,No
C0088,Home,Home,No
C0089,Home,Clothing,Yes
C0091,Home,Books,Yes
C0092,Electronics,Electronics,No
C0093,Clothing,Home,Yes
C0094,Books,Books,No
C0095,Clothing,Home,Yes
C0096,Electronics,Home,Yes
C0097,Clothing,Electronics,Yes
C0100,Electronics,Electronics,No
C0101,Clothing,Home,Yes
C0102,Books,Home,Yes
C0103,Home,Home,No
C0105,Clothing,Clothing,No
C0106,Clothing,Clothing,No
C0108,Home,Home,No
C0109,Home,Electronics,Yes
C0110,Books,Books,No
C0111,Clothing,Clothing,No
C0112,Books,Books,No
C0113,Books,Electronics,Yes
C0114,Home,Books,Yes
C0115,Clothing,Home,Yes
C0117,Home,Home,No
C0118,Electronics,Electronics,No
C0119,Home,Clothing,Yes
C0120,Electronics,Home,Yes
C0121,Books,Books,No
C0122,Electronics,Books,Yes
C0123,Books,Books,No
C0124,Books,Books,No
C0125,Books,Clothing,Yes
C0126,Electronics,Clothing,Yes
C0127,Electronics,Clothing,Yes
C0129,Clothing,Home,Yes
C0130,Home,Electronics,Yes
C0131,Home,Home,No
C0132,Books,Books,No
C0133,Electronics,Electronics,No
C0134,Books,Home,Yes
C0135,Home,Home,No
C0137,Home,Books,Yes
C0138,Electronics,Home,Yes
C0140,Books,Books,No
C0141,Clothing,Clothing,No
C0142,Electronics,Electronics,No
C0143,Electronics,Electronics,No
C0145,Electronics,Electronics,No
C0146,Home,Home,No
C0147,Books,Electronics,Yes
C0148,Clothing,Books,Yes
C0149,Clothing,Clothing,No
C0150,Clothing,Clothing,No
C0151,Books,Home,Yes
C0152,Books,Books,No
C0153,Books,Books,No
C0154,Books,Books,No
C0155,Books,Electronics,Yes
C0156,Clothing,Clothing,No
C0157,Clothing,Clothing,No
C0158,Electronics,Home,Yes
C0159,Books,Books,No
C0160,Home,Clothing,Yes
C0161,Electronics,Home,Yes
C0162,Electronics,Home,Yes
C0163,Electronics,Clothing,Yes
C0164,Clothing,Clothing,No
C0165,Clothing,Books,Yes
C0166,Home,Home,No
C0167,Electronics,Electronics,No
C0168,Books,Books,No
C0169,Clothing,Clothing,No
C0170,Home,Home,No
C0171,Home,Home,No
C0172,Home,Home,No
C0174,Books,Books,No
C0176,Electronics,Electronics,No
C0177,Electronics,Home,Yes
C0178,Home,Home,No
C0179,Clothing,Home,Yes
C0180,Books,Books,No
C0181,Home,Home,No
C0182,Electronics,Clothing,Yes
C0183,Books,Clothing,Yes
C0184,Clothing,Clothing,No
C0185,Clothing,Clothing,No
C0186,Clothing,Clothing,No
C0187,Clothing,Clothing,No
C0188,Electronics,Home,Yes
C0191,Electronics,Books,Yes
C0192,Books,Clothing,Yes
C0193,Electronics,Electronics,No
C0195,Clothing,Books,Yes
C0196,Clothing,Clothing,No
C0199,Books,Home,Yes
C0200,Clothing,Home,Yes
C0201,Books,Books,No
C0202,Home,Clothing,Yes
C0203,Clothing,Clothing,No
C0204,Home,Home,No
C0205,Electronics,Electronics,No
C0206,Home,Home,No
C0207,Clothing,Home,Yes
C0208,Clothing,Clothing,No
C0210,Clothing,Electronics,Yes
C0211,Books,Electronics,Yes
C0212,Home,Clothing,Yes
C0213,Books,Clothing,Yes
C0214,Electronics,Electronics,No
C0215,Home,Home,No
C0216,Home,Home,No
C0217,Home,Home,No
C0218,Electronics,Electronics,No
C0219,Clothing,Clothing,No
C0221,Home,Clothing,Yes
C0223,Books,Books,No
C0224,Electronics,Electronics,No
C0225,Electronics,Clothing,Yes
C0226,Books,Home,Yes
C0228,Electronics,Electronics,No
C0229,Electronics,Clothing,Yes
C0230,Books,Books,No
C0231,Clothing,Home,Yes
C0232,Clothing,Clothing,No
C0233,Books,Clothing,Yes
C0234,Electronics,Electronics,No
C0235,Clothing,Clothing,No
C0237,Electronics,Home,Yes
C0238,Home,Home,No
C0239,Home,Home,No
C0240,Electronics,Electronics,No
C0241,Home,Home,No
C0243,Home,Books,Yes
C0245,Clothing,Clothing,No
C0246,Electronics,Home,Yes
C0247,Books,Home,Yes
C0248,Clothing,Clothing,No
C0249,Home,Home,No
C0250,Home,Home,No
C0251,Clothing,Clothing,No
C0252,Home,Electronics,Yes
C0253,Clothing,Clothing,No
C0254,Home,Home,No
C0255,Electronics,Home,Yes
C0256,Clothing,Clothing,No
C0258,Clothing,Electronics,Yes
C0259,Home,Home,No
C0260,Clothing,Clothing,No
C0261,Books,Books,No
C0263,Home,Home,No
C0264,Home,Home,No
C0265,Home,Home,No
C0266,Books,Books,No
C0267,Books,Electronics,Yes
C0268,Books,Electronics,Yes
C0269,Books,Electronics,Yes
C0270,Home,Books,Yes
C0271,Electronics,Electronics,No
C0272,Books,Clothing,Yes
C0274,Electronics,Home,Yes
C0277,Clothing,Electronics,Yes
C0278,Clothing,Electronics,Yes
C0279,Books,Home,Yes
C0280,Electronics,Electronics,No
C0281,Home,Clothing,Yes
C0282,Home,Home,No
C0283,Books,Books,No
C0284,Clothing,Clothing,No
C0285,Electronics,Books,Yes
C0286,Home,Home,No
C0287,Books,Home,Yes
C0288,Home,Home,No
C0289,Clothing,Clothing,No
C0290,Electronics,Home,Yes
C0291,Clothing,Electronics,Yes
C0292,Electronics,Books,Yes
C0293,Home,Books,Yes
C0294,Books,Clothing,Yes
C0295,Clothing,Home,Yes
C0296,Home,Home,No
C0297,Electronics,Electronics,No
C0298,Books,Clothing,Yes
C0299,Books,Clothing,Yes
C0300,Clothing,Home,Yes
C0301,Books,Clothing,Yes
C0302,Books,Books,No
C0303,Electronics,Electronics,No
C0304,Clothing,Books,Yes
C0305,Electronics,Electronics,No
C0306,Books,Books,No
C0309,Clothing,Clothing,No
C0310,Electronics,Electronics,No
C0311,Home,Books,Yes
C0312,Electronics,Books,Yes
C0315,Clothing,Books,Yes
C0316,Home,Electronics,Yes
C0317,Electronics,Electronics,No
C0318,Home,Electronics,Yes
C0319,Electronics,Electronics,No
C0320,Clothing,Books,Yes
C0321,Clothing,Clothing,No
C0322,Home,Home,No
C0323,Clothing,Clothing,No
C0326,Books,Clothing,Yes
C0327,Home,Books,Yes
C0328,Clothing,Books,Yes
C0329,Electronics,Home,Yes
C0330,Books,Electronics,Yes
C0331,Clothing,Books,Yes
C0332,Home,Books,Yes
C0333,Electronics,Clothing,Yes
C0334,Electronics,Electronics,No
C0335,Books,Electronics,Yes
C0336,Books,Books,No
C0337,Clothing,Clothing,No
C0338,Home,Books,Yes
C0339,Electronics,Books,Yes
C0341,Home,Home,No
C0342,Electronics,Electronics,No
C0343,Books,Clothing,Yes
C0344,Home,Home,No
C0345,Books,Home,Yes
C0346,Home,Books,Yes
C0347,Clothing,Clothing,No
C0348,Home,Clothing,Yes
C0349,Clothing,Clothing,No
C0350,Electronics,Home,Yes
C0351,Clothing,Books,Yes
C0352,Clothing,Electronics,Yes
C0353,Home,Home,No
C0354,Clothing,Clothing,No
C0355,Home,Electronics,Yes
C0356,Books,Books,No
C0357,Clothing,Clothing,No
C0360,Home,Home,No
C0361,Clothing,Clothing,No
C0363,Home,Home,No
C0364,Home,Books,Yes
C0365,Books,Books,No
C0367,Home,Home,No
C0369,Home,Home,No
C0370,Electronics,Books,Yes
C0371,Electronics,Clothing,Yes
C0372,Clothing,Books,Yes
C0373,Books,Electronics,Yes
C0374,Books,Electronics,Yes
C0376,Electronics,Electronics,No
C0377,Clothing,Books,Yes
C0378,Books,Home,Yes
C0379,Home,Books,Yes
C0380,Clothing,Clothing,No
C0382,Books,Electronics,Yes
C0383,Home,Electronics,Yes
C0384,Clothing,Clothing,No
C0386,Books,Electronics,Yes
C0387,Clothing,Clothing,No
C0388,Home,Clothing,Yes
C0390,Books,Books,No
C0391,Home,Home,No
C0392,Home,Clothing,Yes
C0394,Books,Books,No
C0395,Clothing,Clothing,No
C0396,Books,Books,No
C0397,Books,Books,No
C0398,Books,Books,No
C0399,Books,Home,Yes
C0400,Clothing,Clothing,No
C0402,Books,Clothing,Yes
C0404,Clothing,Electronics,Yes
C0405,Home,Home,No
C0406,Books,Home,Yes
C0407,Clothing,Clothing,No
C0409,Clothing,Clothing,No
C0410,Books,Home,Yes
C0411,Electronics,Books,Yes
C0412,Clothing,Home,Yes
C0415,Books,Books,No
C0416,Home,Home,No
C0417,Home,Clothing,Yes
C0418,Books,Electronics,Yes
C0421,Electronics,Clothing,Yes
C0422,Clothing,Clothing,No
C0423,Home,Clothing,Yes
C0424,Books,Books,No
C0425,Home,Home,No
C0428,Home,Electronics,Yes
C0429,Home,Home,No
C0430,Clothing,Clothing,No
C0431,Home,Books,Yes
C0432,Home,Home,No
C0434,Electronics,Home,Yes
C0435,Books,Clothing,Yes
C0437,Electronics,Clothing,Yes
C0438,Electronics,Electronics,No
C0439,Clothing,Clothing,No
C0440,Clothing,Clothing,No
C0441,Books,Electronics,Yes
C0443,Electronics,Home,Yes
C0444,Electronics,Electronics,No
C0445,Home,Home,No
C0446,Home,Clothing,Yes
C0448,Electronics,Clothing,Yes
C0450,Clothing,Clothing,No
C0451,Home,Books,Yes
C0452,Clothing,Clothing,No
C0455,Home,Home,No
C0456,Clothing,Home,Yes
C0457,Home,Home,No
C0458,Books,Books,No
C0459,Home,Electronics,Yes
C0460,Home,Home,No
C0463,Electronics,Electronics,No
C0464,Clothing,Clothing,No
C0465,Books,Home,Yes
C0466,Home,Home,No
C0468,Home,Clothing,Yes
C0469,Home,Clothing,Yes
C0470,Home,Home,No
C0471,Electronics,Clothing,Yes
C0472,Books,Home,Yes
C0473,Books,Books,No
C0474,Books,Home,Yes
C0475,Clothing,Clothing,No
C0476,Books,Home,Yes
C0477,Books,Books,No
C0478,Home,Home,No
C0479,Books,Books,No
C0480,Home,Home,No
C0481,Electronics,Electronics,No
C0482,Clothing,Clothing,No
C0483,Home,Electronics,Yes
C0484,Clothing,Clothing,No
C0485,Clothing,Clothing,No
C0486,Home,Home,No
C0487,Books,Clothing,Yes
C0488,Electronics,Home,Yes
C0491,Clothing,Home,Yes
C0492,Electronics,Home,Yes
C0493,Clothing,Books,Yes
C0494,Electronics,Clothing,Yes
C0495,Electronics,Home,Yes
C0496,Home,Home,No
C0497,Electronics,Clothing,Yes
C0498,Home,Home,No
C0499,Home,Home,No
C0500,Home,Books,Yes
UNKNOWN,Clothing,Electronics,Yes
