region_code,order_date,daily_revenue,running_total
EAST,2025-01-07,224482.02,12031203.68
EAST,2025-01-13,61104.59,12092308.28
EAST,2025-01-17,354869.83,12447178.11
EAST,2025-01-20,354327.24,12801505.35
EAST,2025-01-24,23000.81,12824506.16
EAST,2025-01-27,268886.53,13093392.69
EAST,2025-02-02,493741.67,13587134.36
EAST,2025-02-05,101461.01,13688595.37
EAST,2025-02-08,251966.51,13940561.87
EAST,2025-02-09,74173.51,14014735.38
EAST,2025-02-12,757919.29,14772654.67
EAST,2025-02-20,273202.62,15045857.29
EAST,2025-02-22,121040.26,15166897.55
EAST,2025-02-24,499496.53,15666394.08
EAST,2025-03-03,57081.81,15723475.89
EAST,2025-03-10,52408.11,15775884.00
EAST,2025-03-14,510020.69,16285904.69
EAST,2025-03-22,414455.12,16700359.81
EAST,2025-03-27,172496.81,16872856.62
EAST,2025-03-30,488580.59,17361437.21
EAST,2025-04-01,333506.32,17694943.53
EAST,2025-04-04,46548.05,17741491.58
EAST,2025-04-07,215123.23,17956614.81
EAST,2025-04-09,271294.83,18227909.64
EAST,2025-04-13,281198.00,18509107.64
EAST,2025-04-21,425410.44,18934518.08
EAST,2025-04-29,151739.71,19086257.79
EAST,2025-04-30,227116.07,19313373.85
EAST,2025-05-12,68257.00,19381630.85
EAST,2025-05-13,293355.61,19674986.46
EAST,2025-05-14,600808.50,20275794.96
EAST,2025-05-26,292321.75,20568116.72
EAST,2025-06-03,393622.89,20961739.61
EAST,2025-06-09,392279.92,21354019.53
EAST,2025-06-26,432071.89,21786091.42
EAST,2025-06-29,402292.86,22188384.28
EAST,2025-07-06,165631.68,22354015.96
EAST,2025-07-07,442677.66,22796693.63
EAST,2025-07-11,674204.03,23470897.65
EAST,2025-07-15,413487.01,23884384.67
EAST,2025-07-16,233499.61,24117884.28
EAST,2025-07-17,414936.56,24532820.83
EAST,2025-07-21,208766.84,24741587.67
EAST,2025-07-31,478599.68,25220187.34
EAST,2025-08-02,377705.77,25597893.11
EAST,2025-08-10,100078.85,25697971.96
EAST,2025-08-20,304003.80,26001975.76
EAST,2025-08-22,109811.22,26111786.98
EAST,2025-08-28,205570.12,26317357.10
EAST,2025-08-29,527620.16,26844977.25
EAST,2025-09-06,258846.30,27103823.55
EAST,2025-09-08,349266.33,27453089.88
EAST,2025-09-09,546809.09,27999898.96
EAST,2025-09-10,213432.91,28213331.87
EAST,2025-09-11,240623.92,28453955.79
EAST,2025-09-14,569376.66,29023332.45
EAST,2025-09-17,315009.59,29338342.04
EAST,2025-09-20,328728.21,29667070.25
EAST,2025-09-23,1578.36,29668648.61
EAST,2025-09-24,65118.85,29733767.46
EAST,2025-09-25,588383.85,30322151.30
EAST,2025-09-26,114783.08,30436934.38
EAST,2025-10-08,762783.68,31199718.06
EAST,2025-10-10,35671.12,31235389.18
EAST,2025-11-02,446142.91,31681532.09
EAST,2025-11-06,-180830.30,31500701.79
EAST,2025-11-08,254303.41,31755005.20
EAST,2025-11-10,207426.56,31962431.76
EAST,2025-11-12,793027.65,32755459.41
EAST,2025-11-21,128101.12,32883560.52
EAST,2025-11-26,627063.41,33510623.93
EAST,2025-11-30,354205.26,33864829.19
EAST,2025-12-01,252266.76,34117095.95
EAST,2025-12-02,78273.95,34195369.90
EAST,2025-12-10,259171.13,34454541.03
EAST,2025-12-14,367340.06,34821881.08
EAST,2025-12-18,341968.97,35163850.05
EAST,2026-01-04,545862.13,35709712.19
EAST,2026-01-05,239528.88,35949241.06
EAST,2026-01-19,154030.29,36103271.36
EAST,2026-01-30,41029.35,36144300.71
EAST,2026-02-03,216017.19,36360317.90
EAST,2026-02-05,170854.38,36531172.28
EAST,2026-02-08,540903.72,37072076.00
EAST,2026-02-19,57380.76,37129456.76
EAST,2026-02-20,78390.66,37207847.42
EAST,2026-02-23,309457.77,37517305.18
EAST,2026-02-25,107734.01,37625039.19
EAST,2026-02-26,249946.20,37874985.39
EAST,2026-02-28,359206.90,38234192.29
EAST,2026-03-04,160700.37,38394892.65
EAST,2026-03-08,-43916.42,38350976.23
EAST,2026-03-09,279887.66,38630863.90
EAST,2026-03-12,128462.75,38759326.64
EAST,2026-03-18,244532.39,39003859.04
EAST,2026-03-28,461947.18,39465806.22
EAST,2026-04-10,504792.80,39970599.02
EAST,2026-04-11,976938.44,40947537.46
EAST,2026-04-18,386612.83,41334150.29
EAST,2026-04-19,236535.94,41570686.23
EAST,2026-04-21,121034.22,41691720.45
EAST,2026-04-30,72528.77,41764249.22
EAST,2026-05-03,53867.31,41818116.53
EAST,2026-05-09,122454.56,41940571.09
EAST,2026-05-14,332583.18,42273154.27
EAST,2026-05-17,260692.81,42533847.08
EAST,2026-05-26,547295.82,43081142.89
EAST,2026-05-27,52446.56,43133589.45
EAST,2026-06-06,153044.64,43286634.09
EAST,2026-06-07,44797.03,43331431.12
EAST,2026-06-08,185666.87,43517097.99
EAST,2026-06-17,253009.40,43770107.39
EAST,2026-06-19,299150.96,44069258.35
EAST,2026-06-21,110117.22,44179375.57
EAST,2026-06-29,496322.30,44675697.87
EAST,2026-07-03,89059.48,44764757.36
EAST,2026-07-07,115595.77,44880353.13
EAST,2026-07-11,843432.56,45723785.68
EAST,2026-07-12,193787.87,45917573.55
NORTH,2024-07-16,358667.69,358667.69
NORTH,2024-07-22,217636.76,576304.46
NORTH,2024-07-30,98390.97,674695.42
NORTH,2024-08-13,281518.38,956213.80
NORTH,2024-08-16,126650.94,1082864.74
NORTH,2024-08-25,208627.02,1291491.76
NORTH,2024-08-28,20924.19,1312415.94
NORTH,2024-09-06,170244.68,1482660.63
NORTH,2024-09-09,563883.31,2046543.93
NORTH,2024-09-12,157243.68,2203787.61
NORTH,2024-09-26,601642.79,2805430.40
NORTH,2024-10-01,166552.51,2971982.92
NORTH,2024-10-05,176359.50,3148342.42
NORTH,2024-10-09,242583.02,3390925.44
NORTH,2024-10-18,426982.17,3817907.61
NORTH,2024-10-19,559136.28,4377043.89
NORTH,2024-10-21,129163.61,4506207.50
NORTH,2024-10-22,363942.50,4870149.99
NORTH,2024-10-26,354775.11,5224925.10
NORTH,2024-10-29,246730.64,5471655.74
NORTH,2024-11-06,484896.61,5956552.35
NORTH,2024-11-14,97435.36,6053987.71
NORTH,2024-11-16,162862.34,6216850.05
NORTH,2024-11-19,215867.74,6432717.79
NORTH,2024-11-23,250060.95,6682778.74
NORTH,2024-11-27,12601.62,6695380.35
NORTH,2024-11-28,292922.52,6988302.87
NORTH,2024-11-29,205586.78,7193889.65
NORTH,2024-12-08,4355.95,7198245.60
NORTH,2024-12-11,440497.38,7638742.97
NORTH,2024-12-14,115978.19,7754721.16
NORTH,2024-12-25,205104.54,7959825.71
NORTH,2024-12-31,1165393.56,9125219.27
NORTH,2025-01-05,98974.53,9224193.80
NORTH,2025-01-06,370820.67,9595014.47
NORTH,2025-01-13,370070.81,9965085.28
NORTH,2025-01-17,434709.57,10399794.85
NORTH,2025-01-22,121906.58,10521701.42
NORTH,2025-01-28,523385.80,11045087.22
NORTH,2025-01-29,38737.21,11083824.43
NORTH,2025-02-02,242789.56,11326613.99
NORTH,2025-02-08,245950.59,11572564.58
NORTH,2025-02-13,220640.48,11793205.06
NORTH,2025-02-15,124406.42,11917611.47
NORTH,2025-02-23,392880.00,12310491.47
NORTH,2025-02-27,299317.30,12609808.77
NORTH,2025-03-04,355289.44,12965098.21
NORTH,2025-03-10,316414.95,13281513.16
NORTH,2025-03-19,127251.07,13408764.22
NORTH,2025-03-23,418694.10,13827458.32
NORTH,2025-03-24,125812.21,13953270.53
NORTH,2025-04-06,54965.97,14008236.50
NORTH,2025-04-10,185242.64,14193479.14
NORTH,2025-04-12,11958.84,14205437.98
NORTH,2025-04-13,291261.55,14496699.53
NORTH,2025-04-14,143291.82,14639991.34
NORTH,2025-04-15,178467.01,14818458.35
NORTH,2025-04-20,32166.00,14850624.35
NORTH,2025-04-21,122117.53,14972741.88
NORTH,2025-04-22,399275.65,15372017.53
NORTH,2025-04-23,569480.73,15941498.26
NORTH,2025-04-29,588397.60,16529895.86
NORTH,2025-04-30,111078.47,16640974.33
NORTH,2025-05-01,100566.25,16741540.58
NORTH,2025-05-02,37542.44,16779083.01
NORTH,2025-05-12,136668.39,16915751.40
NORTH,2025-05-15,68055.43,16983806.83
NORTH,2025-05-16,343496.46,17327303.28
NORTH,2025-05-18,331434.95,17658738.23
NORTH,2025-05-27,-147746.30,17510991.94
NORTH,2025-06-05,139749.33,17650741.27
NORTH,2025-06-06,497055.67,18147796.94
NORTH,2025-06-12,169554.58,18317351.52
NORTH,2025-06-16,732373.00,19049724.52
NORTH,2025-06-17,107866.88,19157591.40
NORTH,2025-06-20,458673.21,19616264.61
NORTH,2025-06-23,147282.20,19763546.81
NORTH,2025-06-24,23846.71,19787393.52
NORTH,2025-07-07,342841.63,20130235.15
NORTH,2025-07-14,186173.32,20316408.47
NORTH,2025-07-17,349066.99,20665475.46
NORTH,2025-07-28,169645.35,20835120.80
NORTH,2025-08-01,461942.52,21297063.32
NORTH,2025-08-13,48213.27,21345276.59
NORTH,2025-08-14,154402.67,21499679.26
NORTH,2025-08-22,290815.78,21790495.05
NORTH,2025-08-25,388937.95,22179432.99
NORTH,2025-08-27,230788.89,22410221.88
NORTH,2025-08-31,417734.69,22827956.57
NORTH,2025-09-03,64122.13,22892078.70
NORTH,2025-09-06,189073.56,23081152.26
NORTH,2025-09-13,234597.53,23315749.79
NORTH,2025-09-17,3862.93,23319612.71
NORTH,2025-09-19,135930.76,23455543.47
NORTH,2025-09-25,21146.58,23476690.05
NORTH,2025-10-03,229980.56,23706670.61
NORTH,2025-10-07,260305.77,23966976.38
NORTH,2025-10-09,699291.00,24666267.38
NORTH,2025-10-10,194676.21,24860943.59
NORTH,2025-10-13,308967.42,25169911.01
NORTH,2025-10-18,482915.21,25652826.22
NORTH,2025-10-19,75796.27,25728622.50
NORTH,2025-10-20,226181.66,25954804.16
NORTH,2025-10-26,672683.92,26627488.08
NORTH,2025-10-29,65285.01,26692773.08
NORTH,2025-11-02,280498.29,26973271.37
NORTH,2025-11-03,214584.94,27187856.31
NORTH,2025-11-09,430573.62,27618429.94
NORTH,2025-11-11,211893.52,27830323.46
NORTH,2025-11-12,1138952.30,28969275.75
NORTH,2025-11-18,621238.98,29590514.74
NORTH,2025-11-30,156739.27,29747254.01
NORTH,2025-12-01,93510.28,29840764.29
NORTH,2025-12-06,429184.57,30269948.85
NORTH,2025-12-07,265587.02,30535535.87
NORTH,2025-12-09,289674.65,30825210.52
NORTH,2025-12-10,264426.69,31089637.21
NORTH,2025-12-12,42135.96,31131773.17
NORTH,2025-12-15,925086.82,32056859.98
NORTH,2025-12-24,195823.91,32252683.89
NORTH,2025-12-26,-30430.62,32222253.27
NORTH,2025-12-28,183548.75,32405802.02
NORTH,2025-12-31,469467.89,32875269.91
NORTH,2026-01-02,94071.72,32969341.63
NORTH,2026-01-03,291736.61,33261078.24
NORTH,2026-01-13,136864.96,33397943.20
NORTH,2026-01-20,342372.72,33740315.92
NORTH,2026-01-23,390264.44,34130580.36
NORTH,2026-02-05,761809.00,34892389.36
NORTH,2026-02-11,238998.59,35131387.94
NORTH,2026-02-12,-58064.33,35073323.61
NORTH,2026-02-19,-147966.25,34925357.36
NORTH,2026-02-24,529366.90,35454724.26
NORTH,2026-02-28,152324.15,35607048.41
NORTH,2026-03-01,357767.04,35964815.45
NORTH,2026-03-02,136976.80,36101792.25
NORTH,2026-03-03,92819.22,36194611.47
NORTH,2026-03-04,584753.19,36779364.66
NORTH,2026-03-07,538729.15,37318093.81
NORTH,2026-03-14,610091.89,37928185.70
NORTH,2026-03-15,649192.10,38577377.80
NORTH,2026-03-27,115710.67,38693088.46
NORTH,2026-03-30,111615.81,38804704.27
NORTH,2026-04-01,496212.77,39300917.04
NORTH,2026-04-04,294864.56,39595781.60
NORTH,2026-04-07,444883.77,40040665.37
NORTH,2026-04-12,279901.25,40320566.62
NORTH,2026-04-19,318105.43,40638672.05
NORTH,2026-04-24,120399.37,40759071.42
NORTH,2026-05-04,159990.14,40919061.56
NORTH,2026-05-11,163900.76,41082962.32
NORTH,2026-05-16,10258.58,41093220.91
NORTH,2026-05-19,47010.42,41140231.33
NORTH,2026-06-28,166361.17,41306592.51
NORTH,2026-07-05,102689.60,41409282.10
NORTH,2026-07-15,66686.95,41475969.05
SOUTH,2024-07-19,846900.36,846900.36
SOUTH,2024-07-29,293748.62,1140648.98
SOUTH,2024-08-01,930482.94,2071131.92
SOUTH,2024-08-04,479005.11,2550137.03
SOUTH,2024-08-11,375201.59,2925338.62
SOUTH,2024-08-12,126477.77,3051816.39
SOUTH,2024-08-15,1013786.76,4065603.15
SOUTH,2024-08-16,50087.84,4115690.98
SOUTH,2024-08-18,45265.40,4160956.38
SOUTH,2024-08-28,228491.41,4389447.79
SOUTH,2024-08-29,45280.96,4434728.75
SOUTH,2024-08-31,503765.72,4938494.47
SOUTH,2024-09-06,551774.29,5490268.76
SOUTH,2024-09-14,145061.94,5635330.70
SOUTH,2024-09-20,187736.80,5823067.50
SOUTH,2024-09-21,428997.97,6252065.47
SOUTH,2024-09-28,138881.36,6390946.82
SOUTH,2024-10-01,419735.83,6810682.65
SOUTH,2024-10-10,265760.79,7076443.44
SOUTH,2024-10-11,147229.19,7223672.63
SOUTH,2024-10-12,150384.96,7374057.59
SOUTH,2024-10-13,10291.82,7384349.40
SOUTH,2024-10-15,125790.70,7510140.10
SOUTH,2024-10-19,354284.28,7864424.39
SOUTH,2024-10-22,389788.41,8254212.79
SOUTH,2024-10-29,449052.48,8703265.28
SOUTH,2024-10-30,250777.27,8954042.55
SOUTH,2024-11-02,693950.67,9647993.22
SOUTH,2024-11-07,427474.42,10075467.64
SOUTH,2024-11-08,77200.32,10152667.95
SOUTH,2024-11-10,32729.53,10185397.48
SOUTH,2024-11-11,209994.30,10395391.78
SOUTH,2024-11-23,330968.35,10726360.13
SOUTH,2024-11-28,32524.62,10758884.75
SOUTH,2024-11-29,34409.49,10793294.24
SOUTH,2024-12-05,269992.78,11063287.02
SOUTH,2024-12-06,504560.13,11567847.15
SOUTH,2024-12-17,15291.56,11583138.71
SOUTH,2024-12-24,634370.48,12217509.19
SOUTH,2024-12-29,62699.25,12280208.44
SOUTH,2025-01-01,300805.72,12581014.16
SOUTH,2025-01-04,153330.25,12734344.40
SOUTH,2025-01-12,181496.83,12915841.23
SOUTH,2025-01-20,484584.07,13400425.30
SOUTH,2025-01-21,444065.25,13844490.55
SOUTH,2025-01-24,25141.88,13869632.43
SOUTH,2025-01-26,414115.50,14283747.93
SOUTH,2025-01-28,269860.33,14553608.26
SOUTH,2025-01-30,253021.51,14806629.77
SOUTH,2025-02-05,45613.17,14852242.94
SOUTH,2025-02-08,690725.85,15542968.79
SOUTH,2025-02-16,469473.60,16012442.38
SOUTH,2025-02-24,149462.81,16161905.19
SOUTH,2025-02-28,350434.93,16512340.12
SOUTH,2025-03-03,200376.28,16712716.40
SOUTH,2025-03-08,433286.06,17146002.46
SOUTH,2025-03-13,315364.14,17461366.60
SOUTH,2025-03-16,344841.64,17806208.24
SOUTH,2025-03-20,597695.60,18403903.83
SOUTH,2025-03-26,251114.78,18655018.61
SOUTH,2025-03-31,191975.39,18846994.01
SOUTH,2025-04-03,138488.98,18985482.98
SOUTH,2025-04-06,132908.20,19118391.18
SOUTH,2025-04-08,9386.49,19127777.67
SOUTH,2025-04-09,513131.06,19640908.74
SOUTH,2025-04-11,463486.83,20104395.57
SOUTH,2025-04-13,15587.98,20119983.54
SOUTH,2025-04-25,30564.24,20150547.79
SOUTH,2025-05-02,358473.14,20509020.93
SOUTH,2025-05-05,443983.68,20953004.60
SOUTH,2025-05-10,498095.81,21451100.41
SOUTH,2025-06-01,376203.09,21827303.50
SOUTH,2025-06-04,418368.66,22245672.16
SOUTH,2025-06-07,34023.94,22279696.11
SOUTH,2025-06-09,45432.53,22325128.64
SOUTH,2025-06-15,480153.51,22805282.15
SOUTH,2025-06-16,679815.73,23485097.88
SOUTH,2025-06-17,134327.06,23619424.93
SOUTH,2025-06-24,10280.06,23629704.99
SOUTH,2025-06-28,404642.84,24034347.83
SOUTH,2025-07-09,615468.51,24649816.34
SOUTH,2025-07-17,382891.43,25032707.78
SOUTH,2025-07-18,325905.97,25358613.74
SOUTH,2025-07-19,257450.83,25616064.57
SOUTH,2025-07-28,297170.54,25913235.11
SOUTH,2025-07-29,302244.59,26215479.70
SOUTH,2025-08-02,1447116.10,27662595.80
SOUTH,2025-08-06,61826.66,27724422.46
SOUTH,2025-08-08,1209001.30,28933423.76
SOUTH,2025-08-12,251421.88,29184845.63
SOUTH,2025-08-13,261686.79,29446532.42
SOUTH,2025-08-14,145643.43,29592175.85
SOUTH,2025-08-15,714624.85,30306800.70
SOUTH,2025-08-16,695136.61,31001937.31
SOUTH,2025-08-17,438521.38,31440458.69
SOUTH,2025-08-20,229097.17,31669555.86
SOUTH,2025-08-22,355018.89,32024574.76
SOUTH,2025-08-24,219486.65,32244061.41
SOUTH,2025-08-25,599497.49,32843558.89
SOUTH,2025-09-02,193120.65,33036679.54
SOUTH,2025-09-28,291916.97,33328596.51
SOUTH,2025-09-30,632048.57,33960645.08
SOUTH,2025-10-06,247857.27,34208502.35
SOUTH,2025-10-10,26334.28,34234836.63
SOUTH,2025-10-15,823525.67,35058362.30
SOUTH,2025-10-16,198214.71,35256577.01
SOUTH,2025-10-21,72759.05,35329336.05
SOUTH,2025-10-29,629787.86,35959123.91
SOUTH,2025-11-04,147216.86,36106340.77
SOUTH,2025-11-05,124537.02,36230877.79
SOUTH,2025-11-07,106688.61,36337566.40
