product_id,product_name,category,subcategory,cost_price
P0117,Keyboard,Electronics,Accessories,35231.49
P0118,Lamp,Home,Decor,10088.9
P0119,Jbl Speaker,Electronics,Audio,44944.08
P0120,Keyboard,Electronics,Accessories,35506.07
P0121,Office Chair,Home,Furniture,35619.27
P0122,Dress,Clothing,Women,6155.99
P0123,Shirt,Clothing,Men,1411.57
P0124,Study Table,Home,Furniture,6575.58
P0125,Laptop Stand,Electronics,Accessories,49979.79
P0126,Computer Networks,Books,Education,3780.16
P0127,Airpods,Electronics,Audio,34037.44
P0128,Shirt,Clothing,Men,25192.9
P0129,Hp Pavilion,Electronics,Laptop,8316.39
P0130,Top,Clothing,Women,42312.09
P0131,Microwave,Home,Kitchen,15210.95
P0132,Jacket,Clothing,Kids,7794.29
P0133,Wall Clock,Home,Decor,41279.29
P0134,Wall Clock,Home,Decor,38371.25
P0135,Sony Headphones,Electronics,Audio,32131.17
P0136,Shorts,Clothing,Kids,14941.95
P0137,Jeans,Clothing,Women,24264.13
P0138,Top,Clothing,Women,36736.57
P0139,The Alchemist,Books,Fiction,25797.51
P0140,Kurti,Clothing,Women,13446.84
P0141,Oneplus 12,Electronics,Mobile,47274.71
P0142,Harry Potter,Books,Fiction,40692.54
P0143,Mixer Grinder,Home,Kitchen,24963.45
P0144,Dbms,Books,Education,1256.5
P0145,Harry Potter,Books,Fiction,29208.87
P0146,Naruto,Books,Comics,33658.78
P0147,Nothing Phone 3,Electronics,Mobile,6783.35
P0148,Dining Table,Home,Furniture,2357.6
P0149,Top,Clothing,Women,3769.23
P0150,Flower Vase,Home,Decor,30591.05
P0151,Sony Headphones,Electronics,Audio,39765.37
P0152,Mixer Grinder,Home,Kitchen,30162.9
P0153,Iphone 15,Electronics,Mobile,6938.12
P0154,Batman,Books,Comics,7532.14
P0155,Top,Clothing,Women,8208.85
P0156,Lamp,Home,Decor,25415.02
P0157,Naruto,Books,Comics,15059.55
P0158,Study Table,Home,Furniture,5569.27
P0159,Flower Vase,Home,Decor,31500.1
P0160,Flower Vase,Home,Decor,28923.96
P0161,The Alchemist,Books,Fiction,7474.01
P0162,Samsung Galaxy S24,Electronics,Mobile,1044.97
P0163,Dress,Clothing,Women,20577.83
P0164,Naruto,Books,Comics,3207.84
P0165,Shorts,Clothing,Kids,49906.33
P0166,Operating Systems,Books,Education,23037.21
P0167,Flower Vase,Home,Decor,34069.22
P0168,Lamp,Home,Decor,9693.98
P0169,Pressure Cooker,Home,Kitchen,38581.6
P0170,Dbms,Books,Education,17505.28
P0171,Office Chair,Home,Furniture,28716.49
P0172,Operating Systems,Books,Education,14593.59
P0173,Laptop Stand,Electronics,Accessories,32833.01
P0174,Hoodie,Clothing,Men,46657.89
P0175,Jeans,Clothing,Men,12198.66
P0176,Kids T-Shirt,Clothing,Kids,2719.31
P0177,Harry Potter,Books,Fiction,358.55
P0178,Jeans,Clothing,Women,23924.68
P0179,Dining Table,Home,Furniture,32330.31
P0180,Dell Inspiron,Electronics,Laptop,45670.16
P0181,Shirt,Clothing,Men,39419.24
P0182,Mixer Grinder,Home,Kitchen,14989.77
P0183,Dining Table,Home,Furniture,49456.06
P0184,The Alchemist,Books,Fiction,13714.57
P0185,Microwave,Home,Kitchen,22999.83
P0186,Hoodie,Clothing,Men,39559.31
P0187,Shirt,Clothing,Men,41366.79
P0188,Boat Earbuds,Electronics,Audio,9320.58
P0189,Mixer Grinder,Home,Kitchen,13113.19
P0190,Dining Table,Home,Furniture,29164.79
P0191,Lamp,Home,Decor,34669.15
P0192,Operating Systems,Books,Education,20330.29
P0193,Wall Clock,Home,Decor,31971.7
P0194,Wall Clock,Home,Decor,11034.52
P0195,Top,Clothing,Women,20850.7
P0196,Naruto,Books,Comics,41297.62
P0197,Sony Headphones,Electronics,Audio,3997.33
P0198,Macbook Air,Electronics,Laptop,8310.4
P0199,Harry Potter,Books,Fiction,35874.21
P0200,The Alchemist,Books,Fiction,6684.02
