item_id,order_id,product_id,quantity,unit_price,discount_percent
I000141,O000009,P0086,4,78471.33,25
I000142,O000611,P0149,3,5728.27,20
I000143,O000743,P0152,4,37660.3,0
I000144,O000591,P0109,1,23717.77,15
I000145,O000507,P0030,3,25227.85,5
I000146,O000744,P0074,3,24962.87,20
I000147,O000348,P0176,4,3901.44,25
I000148,O000983,P0100,3,47499.4,30
I000149,O000637,P0042,1,54239.91,5
I000150,O000621,P0041,4,32395.82,5
I000151,O000571,P0054,1,39104.57,25
I000152,O000179,P0041,5,25407.83,15
I000153,O000633,P0030,5,22903.31,10
I000154,O000788,P0091,5,12478.89,25
I000155,O000619,P0132,1,12083.19,15
I000156,O000114,P0194,5,20818.94,0
I000157,O000043,P0144,2,2383.2,10
I000158,O000746,P0041,4,32471.63,30
I000159,O000158,P0026,3,11818.9,5
I000160,O000993,P0113,1,87707.63,10
I000161,O000518,P0074,3,28036.66,10
I000162,O000681,P0162,5,1444.72,30
I000163,O000424,P0110,4,29402.37,25
I000164,O000967,P0093,2,4031.41,20
I000165,O000087,P0018,4,25001.65,0
I000166,O000778,P0101,2,46970.11,25
I000167,O000819,P0183,5,75937.02,25
I000168,O000567,P0180,3,55092.91,10
I000169,O000626,P0136,4,20382.42,20
I000170,O000808,P0160,4,55248.81,30
I000171,O000415,P0167,3,55531.02,15
I000172,O000737,P0186,2,64585.8,5
I000173,O000524,P0024,5,30020.37,0
I000174,O000912,P0008,5,49166.5,10
I000175,O000433,P0186,1,74105.14,10
I000176,O000520,P0161,1,14597.3,15
I000177,O000587,P0077,4,55670.17,25
I000178,O000580,P0149,5,5228.19,10
I000179,O000683,P0073,5,66686.19,20
I000180,O000254,P0189,5,24367.9,10
I000181,O000101,P0117,4,44587.48,0
I000182,O000910,P0109,2,20637.47,20
I000183,O000603,P0104,4,41453.53,25
I000184,O000451,P0109,4,21163.3,5
I000185,O000518,P0037,4,29052.65,30
I000186,O000121,P0136,4,26853.63,20
I000187,O000944,P0095,5,42370.53,10
I000188,O000297,P0147,2,9794.75,10
I000189,O000302,P0078,2,40256.98,0
I000190,O000911,P0079,2,6818.17,0
I000191,O000358,P0141,1,78402.61,20
I000192,O000922,P0116,4,44404.74,20
I000193,O000781,P0034,4,24678.58,5
I000194,O000334,P0187,5,63196.16,5
I000195,O000348,P0102,4,28605.99,30
I000196,O000725,P0043,3,15902.01,20
I000197,O000198,P0022,5,60155.98,20
I000198,O000194,P0134,5,49737.83,20
I000199,O000986,P0047,2,13070.61,20
I000200,O000087,P0114,5,37186.59,15
I000201,O000349,P0006,-4,1365.23,15
I000202,O000094,P0066,1,59223.76,5
I000203,O000787,P0066,3,72268.89,0
I000204,O000985,P0158,1,8010.95,0
I000205,O000146,P0082,3,97129.51,0
I000206,O000208,P0014,5,30464.09,30
I000207,O000395,P0130,3,66508.63,15
I000208,O000496,P0017,2,25340.2,20
I000209,O000692,P0151,5,51713.16,20
I000210,O000457,P0105,5,42018.72,10
I000211,O000173,P0139,5,50797.4,20
I000212,O999575,P0116,5,49446.16,0
I000213,O000956,P0016,3,42358.93,15
I000214,O000863,P0090,5,20854.84,5
I000215,O000547,P0190,3,51293.38,30
I000216,O000743,P0036,3,20722.95,20
I000217,O000906,P0082,3,98643.7,25
I000218,O000280,P0116,3,39199.58,20
I000219,O000017,P0085,2,27019.08,15
I000220,O999277,P0002,4,21532.79,15
I000221,O000403,P0196,1,79046.03,30
I000222,O000456,P0172,3,21906.45,20
I000223,O000397,P0092,1,40776.01,5
I000224,O000010,P0114,1,38818.35,25
I000225,O000197,P0092,5,50322.86,5
I000226,O000506,P0060,1,5218.82,25
I000227,O999940,P0156,4,36137.06,20
I000228,O000175,P0127,5,57263.84,5
I000229,O000603,P0017,1,40607.18,30
I000230,O000903,P0059,3,79984.18,25
I000231,O000546,P0174,5,56062.44,15
I000232,O000690,P0165,1,72783.36,30
I000233,O000281,P0105,5,31693.46,30
I000234,O000906,P0012,1,8428.77,15
I000235,O000006,P0081,3,34480.65,0
I000236,O000232,P0189,4,25355.61,5
I000237,O000338,P0043,-1,18919.95,0
I000238,O000817,P0152,3,42159.37,15
I000239,O000982,P0062,1,68819.47,5
I000240,O000795,P0019,4,70740.82,20
I000241,O000088,P0032,1,63348.19,25
I000242,O000802,P0017,4,35220.43,15
I000243,O000105,P0017,5,39211.63,15
I000244,O000633,P0025,2,73895.23,20
I000245,O000465,P0003,4,49777.37,10
I000246,O000961,P0167,1,49828.11,5
I000247,O000106,P0028,1,69426.32,20
I000248,O000653,P0033,3,19321.99,15
I000249,O000249,P0048,1,12956.45,15
I000250,O000983,P0132,3,14872.89,30
I000251,O000151,P0038,5,28514.38,0
I000252,O000601,P0133,2,66281.59,30
I000253,O000880,P0144,3,1709.21,5
I000254,O000350,P0018,4,37283.69,20
I000255,O000340,P0178,5,40501.67,15
I000256,O000167,P0085,1,43530.53,25
I000257,O000710,P0058,5,78517.1,30
I000258,O000827,P0085,2,41842.0,0
I000259,O000011,P0093,1,2985.72,15
I000260,O000647,P0050,3,9340.59,5
I000261,O000179,P0073,3,55406.94,20
I000262,O000183,P0063,2,56271.68,0
I000263,O000141,P0174,1,63836.85,15
I000264,O000379,P0062,2,84406.08,20
I000265,O000900,P0112,1,6700.25,30
I000266,O000197,P0049,3,58685.61,25
I000267,O000944,P0063,5,54959.49,10
I000268,O000336,P0039,3,81083.65,20
I000269,O000215,P0126,4,6395.69,5
I000270,O000398,P0131,5,24567.42,5
I000271,O000730,P0083,4,66984.96,10
I000272,O000411,P0149,5,5147.86,5
I000273,O000884,P0116,2,47778.55,20
I000274,O000958,P0041,3,26556.05,0
I000275,O000456,P0076,2,61203.31,20
I000276,O000437,P0087,4,22046.27,10
I000277,O000392,P0070,4,51321.35,10
I000278,O000302,P0022,5,61135.47,10
I000279,O000101,P0059,3,62442.13,5
I000280,O000338,P0173,3,55265.42,5
I000281,O000734,P0193,-3,46025.8,30
I000282,O000802,P0089,4,1661.96,0
I000283,O000670,P0121,2,49228.07,25
I000284,O000215,P0192,5,33384.21,15
I000285,O000834,P0185,1,31056.15,30
I000286,O000428,P0179,4,39574.99,5
I000287,O000895,P0148,1,4071.76,10
I000288,O000231,P0087,4,20955.82,10
I000289,O000602,P0084,1,19070.74,10
I000290,O000645,P0146,5,50915.93,15
I000291,O000972,P0053,5,68289.52,10
I000292,O000986,P0146,3,43199.38,20
I000293,O000033,P0046,5,64654.75,0
I000294,O000291,P0099,3,2871.09,0
I000295,O000531,P0095,3,50277.83,5
I000296,O000133,P0029,4,31810.1,30
I000297,O000134,P0053,3,76412.35,15
I000298,O000619,P0041,3,32537.99,25
I000299,O000283,P0118,2,18761.99,20
I000300,O000539,P0064,5,54813.83,20
I000301,O000755,P0011,4,90341.38,30
I000302,O000401,P0077,2,53857.81,20
I000303,O000443,P0188,2,11897.04,25
I000304,O000246,P0012,2,9341.94,10
I000305,O000939,P0171,2,43908.16,30
I000306,O000125,P0142,1,65251.13,30
I000307,O000420,P0084,3,17813.08,0
I000308,O000655,P0019,4,74755.2,30
I000309,O000407,P0050,3,14759.56,10
I000310,O000767,P0172,4,23915.14,5
I000311,O000973,P0183,4,92643.57,5
I000312,O000622,P0005,3,48517.01,5
I000313,O000688,P0020,3,4597.72,5
I000314,O000036,P0183,5,86913.78,30
I000315,O000831,P0163,1,29769.11,0
I000316,O000005,P0154,4,14635.37,10
I000317,O000205,P0062,-4,51607.92,30
I000318,O000697,P0050,2,9749.2,30
I000319,O000172,P0171,1,36933.63,10
I000320,O000576,P0083,5,68560.21,15
I000321,O000238,P0031,3,9641.12,25
I000322,O000013,P0081,4,35914.28,10
I000323,O000639,P0167,1,52087.66,30
I000324,O000512,P0154,1,13806.47,30
I000325,O000176,P0146,1,66817.15,25
I000326,O000695,P0100,2,44103.83,25
I000327,O000872,P0082,1,83880.53,20
I000328,O000392,P0115,2,57343.43,0
I000329,O000022,P0060,1,4857.24,30
I000330,O000635,P0063,2,41938.31,5
I000331,O000210,P0097,2,82316.52,15
I000332,O000899,P0190,3,53359.22,0
I000333,O000811,P0134,3,53075.42,25
I000334,O000351,P0085,5,43489.6,5
I000335,O000713,P0176,5,4397.61,5
I000336,O999990,P0114,4,30129.36,25
I000337,O000961,P0037,1,27001.03,30
I000338,O000242,P0053,4,62641.95,25
I000339,O000251,P0051,5,4146.29,15
I000340,O000207,P0163,4,40703.86,15
I000341,O000172,P0097,4,87685.85,30
I000342,O000840,P0040,-4,43393.63,30
I000343,O000778,P0022,3,64026.9,25
I000344,O000264,P0045,3,39868.89,20
I000345,O000074,P0124,4,12709.98,0
I000346,O000883,P0004,3,76561.25,15
I000347,O000383,P0191,3,57919.92,15
I000348,O000944,P0010,5,65877.99,10
I000349,O000936,P0198,3,13220.99,25
I000350,O000714,P0095,4,58823.92,5
I000351,O000036,P0123,3,2457.74,25
I000352,O000661,P0171,5,50106.06,10
I000353,O000617,P0064,-2,63503.92,25
I000354,O000939,P0183,5,62526.24,5
I000355,O000170,P0109,3,22087.64,20
I000356,O000908,P0169,3,69522.88,25
I000357,O000112,P0023,3,35974.66,5
I000358,O000408,P0192,1,37674.29,0
I000359,O000072,P0025,4,69600.26,25
I000360,O000175,P0111,2,57662.88,5
I000361,O000972,P0129,5,11214.74,0
I000362,O000188,P0192,2,39071.13,15
I000363,O000642,P0113,1,63284.02,10
I000364,O000387,P0022,1,80794.75,15
I000365,O000689,P0125,1,90035.54,0
I000366,O000597,P0171,1,46459.48,0
I000367,O000618,P0097,3,77418.38,10
I000368,O000440,P0155,3,15214.92,10
I000369,O000409,P0171,1,54517.16,30
I000370,O000004,P0026,4,17389.7,5
I000371,O000617,P0007,5,1561.44,30
I000372,O000378,P0064,4,60407.16,0
I000373,O000981,P0164,-3,4773.79,0
I000374,O000334,P0189,2,19933.78,20
I000375,O000357,P0021,4,38843.78,0
I000376,O000395,P0188,2,17670.77,20
I000377,O000517,P0184,4,19763.77,25
I000378,O000896,P0141,4,74965.15,20
I000379,O000250,P0062,1,84960.12,0
I000380,O000952,P0042,4,57279.01,10
I000381,O000488,P0171,1,55657.98,25
I000382,O000504,P0186,3,76959.63,30
I000383,O000067,P0154,4,13515.48,25
I000384,O000670,P0098,5,55522.09,5
I000385,O000266,P0058,1,72947.32,20
I000386,O000763,P0049,5,71574.88,15
I000387,O999163,P0148,5,4426.85,15
I000388,O000790,P0082,2,83605.41,5
I000389,O999972,P0028,4,68695.76,10
I000390,O000512,P0057,2,33282.14,25
I000391,O000036,P0180,3,79962.97,10
I000392,O000588,P0181,2,69508.43,15
I000393,O000830,P0016,2,44078.02,5
I000394,O000754,P0180,2,81380.41,10
I000395,O000935,P0169,1,56712.18,25
I000396,O000357,P0122,4,10966.3,10
I000397,O000946,P0179,5,42182.02,30
I000398,O000887,P0149,3,5016.68,5
I000399,O000713,P0114,2,41022.32,5
I000400,O999843,P0189,5,23976.15,30
I000401,O000386,P0038,4,25453.55,0
I000402,O000365,P0025,2,52247.23,20
I000403,O000347,P0167,2,51894.07,0
I000404,O000247,P0031,3,15620.3,25
I000405,O000385,P0191,1,65591.14,25
I000406,O000282,P0098,4,46436.53,0
I000407,O000501,P0032,5,55311.12,20
I000408,O000281,P0123,1,1898.39,15
I000409,O000720,P0166,5,33638.55,25
I000410,O000190,P0138,1,68108.51,30
I000411,O000501,P0136,5,27718.24,25
I000412,O000772,P0032,1,55635.86,5
I000413,O000569,P0002,3,15967.73,5
I000414,O000166,P0168,3,11904.25,0
I000415,O000306,P0130,5,83849.13,25
I000416,O000255,P0001,5,46084.63,20
I000417,O000144,P0114,3,44256.26,10
I000418,O000552,P0156,1,31407.59,0
I000419,O000146,P0049,2,63935.24,5
I000420,O000368,P0152,5,49463.5,10
I000421,O000666,P0098,4,70077.31,25
I000422,O000963,P0109,5,23510.96,10
I000423,O000714,P0163,3,35357.18,20
I000424,O000168,P0155,2,15024.06,15
I000425,O000988,P0007,1,1442.31,25
I000426,O000417,P0141,1,69343.2,10
I000427,O000890,P0038,-3,28641.42,5
I000428,O000975,P0097,1,87426.88,10
I000429,O000842,P0151,1,70001.54,30
I000430,O000565,P0073,1,50315.32,30
I000431,O000186,P0100,5,49198.53,15
I000432,O000607,P0123,1,2499.29,25
I000433,O000147,P0033,3,19328.91,10
I000434,O000797,P0182,5,23477.42,15
I000435,O000818,P0091,3,14569.22,25
I000436,O000313,P0059,1,70014.93,10
I000437,O000650,P0024,2,23405.75,0
I000438,O000762,P0022,4,58522.0,15
I000439,O000521,P0174,2,75212.95,25
I000440,O000715,P0137,1,46798.45,25
I000441,O000732,P0002,5,17099.12,25
I000442,O000974,P0170,5,21599.5,15
I000443,O000691,P0044,5,49997.44,10
I000444,O000527,P0035,1,23285.94,10
I000445,O000347,P0029,2,39586.41,30
I000446,O000298,P0031,3,9559.92,25
I000447,O000404,P0146,3,66217.19,20
I000448,O000958,P0010,5,45341.13,0
I000449,O000472,P0158,3,8241.28,25
I000450,O000412,P0048,1,12140.28,20
I000451,O000921,P0132,1,9396.24,30
I000452,O000257,P0169,4,57548.18,5
I000453,O000832,P0138,4,56996.25,5
I000454,O000766,P0091,3,16696.33,0
I000455,O000292,P0049,4,55695.07,0
I000456,O000683,P0042,4,82667.8,0
I000457,O000501,P0108,2,4009.82,15
I000458,O000744,P0129,4,16351.21,30
I000459,O000130,P0006,-5,1470.62,0
I000460,O000850,P0174,5,72201.35,10
I000461,O000498,P0073,4,49765.66,20
I000462,O000256,P0048,1,17838.11,5
I000463,O000841,P0171,4,53066.98,25
I000464,O000515,P0187,2,69204.86,25
I000465,O000235,P0039,4,85873.01,5
I000466,O000019,P0110,1,27421.9,20
I000467,O000717,P0079,2,6603.16,0
I000468,O000438,P0131,3,22677.41,10
I000469,O000429,P0183,1,59368.48,25
I000470,O000330,P0191,4,58425.06,15
I000471,O000259,P0048,3,11525.12,25
I000472,O000700,P0004,2,70741.13,10
I000473,O000798,P0191,5,59637.83,5
I000474,O000394,P0150,1,54882.48,0
I000475,O000601,P0011,2,75036.53,0
I000476,O000965,P0020,3,4885.04,30
I000477,O000547,P0052,1,3033.23,25
I000478,O000913,P0065,5,61712.71,15
I000479,O000735,P0162,4,1604.24,20
I000480,O000171,P0006,2,1653.31,0
I000481,O000195,P0178,4,38900.95,20
I000482,O000170,P0020,5,5640.17,15
I000483,O000279,P0156,1,34926.49,25
I000484,O000901,P0003,5,51856.64,20
I000485,O000311,P0067,3,1657.65,5
I000486,O000047,P0058,3,65332.51,10
I000487,O000277,P0035,1,21673.89,30
I000488,O000548,P0054,3,54903.8,10
I000489,O000970,P0022,5,63283.62,20
I000490,O000333,P0076,1,53543.03,10
I000491,O000263,P0046,5,90770.15,30
I000492,O000109,P0150,4,43007.23,25
I000493,O000619,P0163,4,29118.35,20
I000494,O000828,P0162,4,1447.68,25
I000495,O000378,P0112,4,4647.62,5
I000496,O000194,P0046,2,58305.21,5
I000497,O000838,P0046,5,62999.96,15
I000498,O000466,P0063,4,47311.01,25
I000499,O000828,P0193,1,38895.9,30
I000500,O000782,P0004,1,71650.94,10
I000501,O000962,P0037,1,19891.8,30
I000502,O000556,P0028,3,47009.26,5
I000503,O000778,P0123,4,2041.0,15
I000504,O000250,P0040,3,37435.11,30
I000505,O000106,P0012,1,10256.79,5
I000506,O000935,P0001,2,42332.37,25
I000507,O000232,P0074,4,27539.37,0
I000508,O000174,P0126,2,7426.8,10
I000509,O000631,P0020,3,5987.83,0
I000510,O000155,P0155,5,11041.66,15
I000511,O000915,P0039,3,61618.87,0
I000512,O000939,P0070,3,55277.21,25
I000513,O999252,P0020,2,4678.18,25
I000514,O000835,P0123,5,2514.52,5
I000515,O000331,P0024,2,26041.29,15
I000516,O000493,P0109,4,23588.64,5
I000517,O000944,P0168,4,15810.86,15
I000518,O000550,P0137,4,42994.51,20
I000519,O000796,P0148,2,3272.71,0
I000520,O000872,P0053,5,56491.05,0
I000521,O000934,P0016,2,29768.92,30
I000522,O000996,P0142,4,75779.99,0
I000523,O000142,P0192,2,24824.86,15
I000524,O000056,P0096,5,33060.19,30
I000525,O000031,P0041,2,25625.56,20
I000526,O000154,P0107,4,54261.79,25
I000527,O000482,P0077,3,68777.25,0
I000528,O000114,P0074,1,20809.23,5
I000529,O000406,P0003,4,54716.69,20
I000530,O000314,P0129,4,11788.17,0
I000531,O000387,P0134,2,58336.65,0
I000532,O000402,P0057,5,31893.69,25
I000533,O000489,P0120,4,47289.1,30
I000534,O000663,P0096,3,22316.17,20
I000535,O000867,P0200,2,10916.7,0
I000536,O000612,P0055,3,21978.39,0
I000537,O000276,P0062,5,70320.94,30
I000538,O000047,P0124,1,7935.3,10
I000539,O000290,P0193,5,57596.18,25
I000540,O000998,P0092,1,52243.35,20
I000541,O000515,P0026,-2,16720.45,15
I000542,O000890,P0151,3,69426.33,0
I000543,O000096,P0161,2,13796.88,25
I000544,O000788,P0037,5,29371.52,25
I000545,O000953,P0134,4,56452.42,10
I000546,O000877,P0160,1,52622.52,15
I000547,O000214,P0062,5,56304.8,25
I000548,O000100,P0128,2,36470.09,30
I000549,O000511,P0023,3,36515.33,0
I000550,O000591,P0072,1,32326.04,15
I000551,O000485,P0067,4,1325.09,0
I000552,O000500,P0146,3,63467.02,25
I000553,O000452,P0034,5,21336.0,25
I000554,O000519,P0106,1,27661.8,25
I000555,O000717,P0063,1,37472.41,15
I000556,O000584,P0041,1,38577.44,25
I000557,O000358,P0024,5,27619.06,0
I000558,O000750,P0047,4,10071.16,10
I000559,O000325,P0017,5,36748.09,15
I000560,O000286,P0030,5,25667.43,25
I000561,O000328,P0055,5,20178.95,30
I000562,O000809,P0093,4,3111.32,0
I000563,O000701,P0195,3,26415.19,0
I000564,O000415,P0071,4,65556.28,25
I000565,O000189,P0067,1,1557.79,30
I000566,O000169,P0077,4,65271.1,30
I000567,O000989,P0042,3,68930.11,30
I000568,O000575,P0003,5,52208.26,20
I000569,O000149,P0158,-3,10677.41,5
I000570,O000886,P0128,4,44788.66,15
I000571,O000650,P0033,5,14927.12,5
I000572,O000714,P0108,2,3038.96,5
I000573,O000996,P0049,1,56686.0,10
I000574,O000515,P0079,1,7367.11,15
I000575,O000421,P0106,5,31922.33,10
I000576,O000949,P0030,4,26746.08,5
I000577,O000447,P0139,4,45446.81,30
I000578,O000090,P0026,1,11042.93,15
I000579,O000509,P0027,5,517.89,15
I000580,O000596,P0129,3,11389.27,30
I000581,O000565,P0117,2,69069.26,10
I000582,O000423,P0119,-4,67403.31,5
I000583,O000291,P0130,3,81329.7,15
I000584,O999524,P0173,-1,43428.23,10
I000585,O000840,P0133,3,81209.92,15
I000586,O000570,P0062,2,64513.91,0
I000587,O000440,P0148,4,3156.76,10
I000588,O000163,P0133,1,53707.01,0
I000589,O000591,P0162,3,1386.93,10
I000590,O000096,P0053,-4,78499.68,5
I000591,O000633,P0008,1,32155.15,25
I000592,O000465,P0034,3,24511.21,5
I000593,O000199,P0077,2,73980.01,15
I000594,O000267,P0198,3,10928.31,0
I000595,O000594,P0164,1,5378.64,0
I000596,O000290,P0037,2,26281.45,10
I000597,O000401,P0054,1,44117.2,25
I000598,O000216,P0020,4,5279.35,15
I000599,O000185,P0042,2,70957.62,30
I000600,O000121,P0009,3,43481.82,20
I000601,O000163,P0002,3,16595.42,0
I000602,O000024,P0138,2,54807.75,5
I000603,O000336,P0008,1,51435.26,10
I000604,O000494,P0071,1,66421.37,10
I000605,O000764,P0120,4,53967.58,5
I000606,O000178,P0065,3,41303.79,30
I000607,O000602,P0197,2,6356.82,15
I000608,O000611,P0109,3,23265.07,15
I000609,O000581,P0052,1,3778.39,20
I000610,O000601,P0065,5,55275.42,20
I000611,O000408,P0091,2,14581.47,5
I000612,O000252,P0092,3,49692.85,0
I000613,O000327,P0003,3,48561.58,10
I000614,O000576,P0060,3,4400.04,0
I000615,O000285,P0144,1,2157.43,25
I000616,O000446,P0194,3,13679.8,15
I000617,O000048,P0128,4,39357.06,20
I000618,O000606,P0084,-5,17504.03,30
I000619,O000005,P0148,3,4652.68,0
I000620,O000941,P0137,3,30465.15,0
I000621,O000741,P0107,3,45867.96,20
I000622,O000321,P0199,1,63036.93,15
I000623,O000870,P0127,1,66378.56,0
I000624,O000230,P0008,1,52567.16,30
I000625,O000742,P0177,2,637.96,30
I000626,O000836,P0095,1,62306.28,10
I000627,O000114,P0012,3,8030.46,20
I000628,O000277,P0098,2,46433.7,10
I000629,O000772,P0038,4,33082.67,20
I000630,O000247,P0136,4,21778.33,25
I000631,O000232,P0124,3,9747.69,30
I000632,O000676,P0063,2,36768.53,15
I000633,O000218,P0016,2,34131.04,15
I000634,O000349,P0027,5,652.0,10
I000635,O000968,P0195,4,39162.74,0
I000636,O000225,P0034,4,26963.28,20
I000637,O000799,P0052,1,2631.56,10
I000638,O000664,P0148,4,4234.3,5
I000639,O000916,P0005,-3,46794.88,15
I000640,O000272,P0091,5,14597.24,5
I000641,O000515,P0102,3,23629.38,0
I000642,O000665,P0013,4,21859.29,5
I000643,O000283,P0153,4,8931.77,0
I000644,O000255,P0166,2,44140.37,20
I000645,O000245,P0069,1,80507.07,25
I000646,O000415,P0184,1,25498.88,25
I000647,O000508,P0069,2,60415.52,20
I000648,O999289,P0074,5,26386.33,25
I000649,O000874,P0079,2,7478.63,5
I000650,O000341,P0048,2,15490.75,15
I000651,O000022,P0086,3,55821.81,30
I000652,O000609,P0003,4,46702.19,5
I000653,O000113,P0121,1,70965.36,30
I000654,O000538,P0059,2,58758.19,30
I000655,O000344,P0189,3,18435.46,15
I000656,O000374,P0065,3,47252.24,20
I000657,O000680,P0199,5,50796.09,20
I000658,O000656,P0187,4,71460.86,5
I000659,O000510,P0092,5,53917.12,10
I000660,O000763,P0053,4,85257.5,25
I000661,O000558,P0174,4,88690.78,5
I000662,O000933,P0068,3,14849.15,10
I000663,O000196,P0080,5,77623.77,0
