Txn_ID,Order_Date,Cust_ID,Prod_ID,Store_Code,Quantity,Discount,Payment_Mode,Created_On,Updated_On
TB100023,2024-09-30,CB1225,PB1116,SB117,6,,net banking,2024-10-01,2024-10-22
TB100024,2023-09-05,CB1011,PB1076,SB118,6,0.0,CARD,2023-09-05,2023-09-12
TB100025,2024-03-27,CB1118,PB1009,SB102,1,,cash,2024-03-27,2024-03-29
TB100026,2023-05-26,CB1110,PB1070,SB105,8,10.0,net banking,2023-05-28,2023-06-04
TB100027,2024-05-12,CB1049,PB1013,SB114,4,15.0,cash,2024-05-13,2024-06-07
TB100028,2025-05-17,CB1345,PB1084,SB104,1,,UPI,2025-05-18,2025-06-01
TB100029,2025-04-04,CB1099,PB1025,SB118,4,0.0,net banking,2025-04-06,2025-04-16
TB100030,2023-10-15,CB1128,PB1112,SB103,8,10.0,net banking,2023-10-16,2023-10-21
TB100031,2026-02-01,CB1008,PB1012,SB108,9,,Card,2026-02-01,2026-02-02
TB100032,2025-04-12,CB1031,PB1022,SB113,7,5.0,UPI,2025-04-13,2025-04-28
TB100033,2025-03-10,CB1217,PB1090,SB118,5,15.0,net banking,2025-03-11,2025-04-09
TB100034,2023-11-14,CB1297,PB1095,SB118,1,5.0,UPI,2023-11-14,2023-11-23
TB100035,2024-10-04,CB1258,PB1118,SB117,8,20.0,Card,2024-10-04,2024-10-05
TB100036,2023-04-27,CB1305,PB1009,SB108,2,5.0,Net Banking,2023-04-29,2023-05-01
TB100037,2023-09-03,CB1021,PB1080,SB103,10,20.0,Net Banking,2023-09-05,2023-09-12
TB100038,2026-03-03,CB1343,PB1092,SB111,4,10.0,CARD,2026-03-05,2026-03-15
TB100039,2024-06-27,CB1235,PB1041,SB103,5,,UPI,2024-06-28,2024-07-02
TB100040,2025-07-27,CB1276,PB1028,SB117,2,0.0,Cash,2025-07-29,2025-08-16
TB100041,2023-09-29,CB1190,PB1037,SB106,4,0.0,net banking,2023-09-30,2023-10-28
TB100042,2026-01-17,CB1005,PB1086,SB118,9,20.0,Cash,2026-01-19,2026-01-28
TB100043,2023-08-01,CB1284,PB1020,SB109,2,0.0,Cash,2023-08-01,2023-08-09
TB100044,2024-03-07,CB1259,PB1063,SB109,5,5.0,UPI,2024-03-09,2024-03-19
TB100045,2023-07-09,CB1002,PB1043,SB105,1,10.0,Cash,2023-07-11,2023-07-24
TB100046,2023-11-27,CB1288,PB1002,SB104,7,20.0,upi,2023-11-29,2023-12-13
TB100047,2023-11-02,CB1283,PB1019,SB114,10,10.0,Card,2023-11-04,2023-11-05
TB100048,2023-03-27,CB1108,PB1088,SB108,6,0.0,upi,2023-03-28,2023-04-08
TB100049,2024-12-25,CB1080,PB1119,SB108,10,15.0,Card,2024-12-27,2025-01-24
TB100050,2023-12-29,CB1211,PB1103,SB108,6,5.0,Cash,2023-12-30,2023-12-30
TB100051,2023-11-23,CB1241,PB1029,SB107,1,15.0,net banking,2023-11-25,2023-11-28
TB100052,2024-12-17,CB1013,PB1085,SB107,4,5.0,Net Banking,2024-12-18,2025-01-13
TB100053,2024-11-03,CB1180,PB1083,SB117,5,0.0,Net Banking,2024-11-04,2024-12-01
TB100054,2026-01-03,CB1134,PB1023,SB109,2,0.0,UPI,2026-01-04,2026-02-03
TB100055,2023-08-11,CB1224,PB1078,SB117,6,10.0,upi,2023-08-13,2023-08-26
TB100056,2025-02-27,CB1224,PB1001,SB117,1,10.0,CARD,2025-03-01,2025-03-07
TB100057,2025-01-15,CB1320,PB1041,SB104,6,,Cash,2025-01-16,2025-01-18
TB100058,2025-11-04,CB1207,PB1090,SB110,6,15.0,Card,2025-11-05,2025-11-26
TB100059,2024-01-28,CB1316,PB1073,SB110,3,15.0,Net Banking,2024-01-29,2024-02-19
TB100060,2026-01-27,CB1221,PB1101,SB111,4,10.0,net banking,2026-01-27,2026-02-05
TB100061,2025-06-23,CB1243,PB1102,SB106,9,5.0,upi,2025-06-24,2025-07-15
TB100062,2024-08-04,CB1172,PB1012,SB108,10,,Cash,2024-08-06,2024-08-27
TB100063,2024-04-05,CB1126,PB1061,SB103,1,0.0,net banking,2024-04-05,2024-04-09
TB100064,2025-04-28,CB1254,PB1052,SB108,7,5.0,Card,2025-04-30,2025-05-18
TB100065,2023-01-12,CB1091,PB1103,SB117,4,15.0,net banking,2023-01-12,2023-02-05
TB100066,2023-04-13,CB1069,PB1103,SB115,8,0.0,cash,2023-04-15,2023-04-22
TB100067,2025-06-25,CB1219,PB1107,SB118,9,,net banking,2025-06-27,2025-07-23
TB100068,2023-11-22,CB1133,PB1097,SB108,8,15.0,Cash,2023-11-24,2023-12-21
TB100069,2025-12-03,CB1226,PB1010,SB110,5,5.0,CARD,2025-12-04,2025-12-24
TB100070,2024-07-10,CB1071,PB1020,SB108,2,20.0,Net Banking,2024-07-11,2024-07-21
TB100071,2023-11-09,CB1209,PB1043,SB118,7,0.0,net banking,2023-11-11,2023-11-17
TB100072,2025-05-01,CB1300,PB1090,SB101,7,15.0,Net Banking,2025-05-01,2025-05-07
TB100073,2025-09-03,CB1200,PB1110,SB114,5,10.0,CARD,2025-09-03,2025-10-03
TB100074,2025-09-26,CB1015,PB1050,SB111,8,15.0,Net Banking,2025-09-26,2025-10-04
TB100075,2023-12-05,CB1274,PB1004,SB113,10,5.0,UPI,2023-12-06,2024-01-04
TB100076,2023-06-21,CB1094,PB1007,SB109,8,5.0,Net Banking,2023-06-23,2023-07-06
TB100077,2024-11-01,CB1195,PB1036,SB114,6,10.0,Cash,2024-11-01,2024-11-15
TB100078,2023-06-17,CB1027,PB1045,SB108,9,,upi,2023-06-18,2023-06-18
TB100079,2023-03-24,CB1011,PB1080,SB105,4,5.0,CARD,2023-03-24,2023-04-23
TB100080,2023-09-16,CB1112,PB1060,SB109,10,0.0,cash,2023-09-17,2023-10-08
TB100081,2023-12-10,CB1084,PB1040,SB104,2,,UPI,2023-12-12,2023-12-31
TB100082,2024-09-30,CB1102,PB1010,SB108,7,15.0,upi,2024-10-02,2024-10-23
TB100083,2024-09-09,CB1022,PB1045,SB118,10,0.0,Net Banking,2024-09-11,2024-09-30
TB100084,2025-01-28,CB1007,PB1109,SB114,6,,net banking,2025-01-28,2025-02-13
TB100085,2023-08-05,CB1079,PB1056,SB106,8,10.0,Cash,2023-08-06,2023-09-05
TB100086,2026-01-07,CB1138,PB1042,SB108,10,15.0,upi,2026-01-08,2026-01-22
TB100087,2024-07-25,CB1313,PB1086,SB113,10,15.0,cash,2024-07-26,2024-08-02
TB100088,2023-02-28,CB1250,PB1028,SB112,3,10.0,Cash,2023-03-01,2023-03-28
TB100089,2024-11-28,CB1285,PB1002,SB117,5,20.0,CARD,2024-11-29,2024-12-27
TB100090,2023-06-25,CB1285,PB1098,SB108,8,15.0,net banking,2023-06-25,2023-07-18
TB100091,2025-10-02,CB1151,PB1029,SB113,2,0.0,CARD,2025-10-03,2025-10-28
TB100092,2024-09-19,CB1284,PB1068,SB112,8,10.0,Net Banking,2024-09-21,2024-10-09
TB100093,2026-02-01,CB1139,PB1040,SB109,8,,CARD,2026-02-02,2026-02-13
TB100094,2023-09-05,CB1275,PB1098,SB106,2,10.0,CARD,2023-09-07,2023-09-13
TB100095,2024-03-19,CB1269,PB1077,SB110,10,10.0,upi,2024-03-21,2024-04-05
TB100096,2024-02-02,CB1155,PB1002,SB118,3,10.0,Card,2024-02-03,2024-02-10
TB100097,2024-07-15,CB1065,PB1082,SB116,5,20.0,upi,2024-07-15,2024-07-16
TB100098,2023-01-26,CB1226,PB1044,SB106,8,15.0,UPI,2023-01-28,2023-02-06
TB100099,2024-06-01,CB1252,PB1010,SB102,7,0.0,Card,2024-06-02,2024-06-05
TB100100,2023-11-02,CB1128,PB1016,SB118,2,10.0,Net Banking,2023-11-04,2023-12-04
TB100101,2024-04-07,CB1153,PB1111,SB114,8,15.0,Cash,2024-04-09,2024-04-21
TB100102,2026-03-10,CB1107,PB1081,SB107,2,20.0,Cash,2026-03-12,2026-03-13
TB100103,2023-06-16,CB1039,PB1021,SB101,9,5.0,Net Banking,2023-06-16,2023-06-23
TB100104,2025-07-11,CB1017,PB1030,SB110,5,15.0,Cash,2025-07-13,2025-08-01
TB100105,2025-07-18,CB1321,PB1076,SB107,5,5.0,Net Banking,2025-07-18,2025-08-08
TB100106,2023-08-24,CB1137,PB1106,SB105,3,,upi,2023-08-26,2023-09-02
TB100107,2023-05-03,CB1292,PB1118,SB110,10,10.0,net banking,2023-05-03,2023-05-28
TB100108,2023-09-12,CB1140,PB1065,SB118,7,10.0,net banking,2023-09-13,2023-10-05
TB100109,2025-06-15,CB1166,PB1078,SB109,7,0.0,UPI,2025-06-15,2025-07-04
TB100110,2023-07-07,CB1301,PB1003,SB109,10,,UPI,2023-07-07,2023-08-06
TB100111,2023-12-25,CB1143,PB1024,SB114,8,,net banking,2023-12-26,2024-01-11
TB100112,2023-07-06,CB1165,PB1086,SB104,6,15.0,Card,2023-07-07,2023-07-18
TB100113,2024-11-06,CB1340,PB1052,SB118,5,15.0,UPI,2024-11-07,2024-11-29
TB100114,2025-07-20,CB1060,PB1099,SB113,6,10.0,UPI,2025-07-20,2025-07-30
TB100115,2026-01-16,CB1266,PB1047,SB116,4,0.0,net banking,2026-01-17,2026-01-30
TB100116,2023-04-16,CB1148,PB1057,SB116,3,20.0,upi,2023-04-16,2023-04-24
TB100117,2023-03-01,CB1160,PB1071,SB101,3,5.0,Net Banking,2023-03-03,2023-03-22
TB100118,2023-07-10,CB1061,PB1083,SB105,8,0.0,net banking,2023-07-10,2023-08-05
TB100119,2024-08-20,CB1248,PB1061,SB108,7,10.0,net banking,2024-08-22,2024-09-13
TB100120,2026-02-02,CB1261,PB1096,SB105,10,5.0,upi,2026-02-02,2026-02-14
TB100121,2024-07-19,CB1002,PB1037,SB110,5,20.0,net banking,2024-07-20,2024-07-30
TB100122,2023-11-01,CB1171,PB1071,SB118,6,15.0,Net Banking,2023-11-02,2023-11-19
TB100123,2025-07-21,CB1293,PB1050,SB108,4,5.0,Net Banking,2025-07-22,2025-08-18
TB100124,2023-03-31,CB1198,PB1085,SB105,7,15.0,net banking,2023-04-01,2023-04-24
TB100125,2023-03-17,CB1052,PB1112,SB115,6,20.0,upi,2023-03-17,2023-04-02
TB100126,2025-12-13,CB1210,PB1112,SB105,3,,upi,2025-12-14,2025-12-14
TB100127,2025-08-19,CB1333,PB1011,SB111,7,20.0,Net Banking,2025-08-20,2025-08-30
TB100128,2024-10-10,CB1019,PB1080,SB103,9,15.0,CARD,2024-10-12,2024-11-03
TB100129,2024-08-11,CB1051,PB1098,SB104,7,0.0,net banking,2024-08-11,2024-09-03
TB100130,2023-12-07,CB1167,PB1102,SB102,1,0.0,Cash,2023-12-09,2023-12-18
TB100131,2025-01-04,CB1272,PB1053,SB106,4,5.0,Card,2025-01-05,2025-01-18
TB100132,2023-12-25,CB1350,PB1031,SB116,10,15.0,Card,2023-12-25,2024-01-13
TB100133,2024-04-20,CB1131,PB1086,SB101,8,10.0,net banking,2024-04-21,2024-05-11
TB100134,2024-08-12,CB1227,PB1045,SB110,2,5.0,Net Banking,2024-08-14,2024-08-31
TB100135,2024-05-27,CB1197,PB1110,SB116,4,10.0,upi,2024-05-28,2024-06-24
TB100136,2024-04-30,CB1152,PB1090,SB110,10,10.0,UPI,2024-05-01,2024-05-19
TB100137,2025-03-21,CB1311,PB1096,SB116,1,20.0,Cash,2025-03-22,2025-03-22
TB100138,2024-04-16,CB1326,PB1025,SB109,4,10.0,Card,2024-04-18,2024-05-13
TB100139,2023-07-18,CB1226,PB1005,SB112,5,0.0,Card,2023-07-20,2023-08-09
TB100140,2023-07-04,CB1090,PB1026,SB105,7,,cash,2023-07-05,2023-07-15
TB100141,2025-12-23,CB1132,PB1117,SB116,3,10.0,Cash,2025-12-25,2026-01-23
TB100142,2024-11-24,CB1116,PB1111,SB113,3,0.0,cash,2024-11-24,2024-12-08
TB100143,2023-07-04,CB1064,PB1059,SB112,9,10.0,Cash,2023-07-05,2023-07-05
TB100144,2025-02-19,CB1346,PB1030,SB116,2,10.0,UPI,2025-02-21,2025-03-23
TB100145,2026-02-23,CB1332,PB1009,SB115,4,20.0,Cash,2026-02-24,2026-03-25
TB100146,2025-04-16,CB1156,PB1064,SB104,1,0.0,upi,2025-04-16,2025-04-20
TB100147,2024-04-25,CB1190,PB1086,SB118,8,15.0,Net Banking,2024-04-27,2024-05-01
TB100148,2023-11-13,CB1316,PB1053,SB109,8,0.0,UPI,2023-11-14,2023-12-04
TB100149,2025-01-28,CB1186,PB1013,SB112,4,15.0,cash,2025-01-28,2025-02-11
TB100150,2023-05-05,CB1233,PB1012,SB107,2,5.0,UPI,2023-05-06,2023-05-14
TB100151,2023-04-14,CB1106,PB1009,SB118,10,5.0,CARD,2023-04-15,2023-04-22
TB100152,2024-03-18,CB1002,PB1036,SB105,10,5.0,Card,2024-03-18,2024-03-28
TB100153,2026-01-11,CB1339,PB1111,SB101,2,5.0,Card,2026-01-12,2026-02-06
TB100154,2023-01-31,CB1166,PB1003,SB106,10,5.0,Cash,2023-02-01,2023-02-26
TB100155,2023-04-18,CB1059,PB1096,SB103,9,15.0,net banking,2023-04-18,2023-05-11
TB100156,2025-07-07,CB1232,PB1065,SB108,2,20.0,UPI,2025-07-08,2025-07-24
TB100157,2025-12-03,CB1032,PB1062,SB113,1,,Net Banking,2025-12-04,2025-12-18
TB100158,2023-08-10,CB1042,PB1042,SB105,2,15.0,upi,2023-08-11,2023-09-02
TB100159,2023-09-16,CB1281,PB1092,SB111,10,,Net Banking,2023-09-17,2023-10-06
TB100160,2025-12-22,CB1221,PB1013,SB104,10,20.0,CARD,2025-12-23,2026-01-06
TB100161,2025-05-30,CB1174,PB1106,SB115,7,5.0,Net Banking,2025-05-31,2025-06-28
TB100162,2025-05-01,CB1161,PB1086,SB109,7,10.0,cash,2025-05-03,2025-05-06
TB100163,2023-11-09,CB1047,PB1107,SB103,2,15.0,upi,2023-11-11,2023-12-10
TB100164,2025-06-03,CB1067,PB1072,SB102,6,,cash,2025-06-03,2025-06-26
TB100165,2023-09-08,CB1027,PB1037,SB110,7,,cash,2023-09-09,2023-09-20
TB100166,2023-08-01,CB1337,PB1062,SB108,3,5.0,upi,2023-08-03,2023-08-19
TB100167,2024-12-18,CB1294,PB1029,SB114,5,0.0,UPI,2024-12-20,2024-12-31
TB100168,2024-07-01,CB1174,PB1045,SB101,5,10.0,Card,2024-07-01,2024-07-06
TB100169,2023-10-21,CB1073,PB1095,SB101,2,15.0,upi,2023-10-23,2023-11-13
TB100170,2025-12-22,CB1175,PB1021,SB112,8,15.0,Cash,2025-12-22,2026-01-03
TB100171,2024-10-26,CB1080,PB1021,SB102,1,0.0,upi,2024-10-28,2024-11-16
TB100172,2024-07-11,CB1311,PB1057,SB114,8,15.0,Cash,2024-07-12,2024-08-02
TB100173,2024-03-17,CB1057,PB1037,SB116,7,10.0,Cash,2024-03-19,2024-03-22
TB100174,2023-04-04,CB1004,PB1027,SB110,1,20.0,CARD,2023-04-04,2023-04-16
TB100175,2023-10-09,CB1004,PB1064,SB114,2,10.0,Card,2023-10-10,2023-10-19
TB100176,2023-09-22,CB1257,PB1072,SB112,4,,upi,2023-09-23,2023-10-10
TB100177,2025-03-24,CB1236,PB1118,SB103,1,15.0,cash,2025-03-26,2025-03-27
TB100178,2026-03-25,CB1149,PB1015,SB113,7,15.0,UPI,2026-03-26,2026-04-13
TB100179,2024-10-27,CB1186,PB1012,SB114,8,20.0,upi,2024-10-27,2024-11-21
TB100180,2024-05-13,CB1041,PB1051,SB110,9,15.0,cash,2024-05-14,2024-06-01
TB100181,2024-03-29,CB1262,PB1082,SB104,2,5.0,CARD,2024-03-30,2024-04-23
TB100182,2024-12-16,CB1121,PB1014,SB105,3,,Cash,2024-12-17,2025-01-09
TB100183,2024-02-09,CB1091,PB1099,SB116,2,5.0,net banking,2024-02-09,2024-02-28
TB100184,2026-02-28,CB1330,PB1082,SB111,10,,cash,2026-03-02,2026-03-16
TB100185,2023-11-06,CB1324,PB1039,SB109,8,15.0,UPI,2023-11-07,2023-11-09
TB100186,2024-12-21,CB1232,PB1005,SB102,8,10.0,cash,2024-12-23,2024-12-25
TB100187,2024-08-10,CB1305,PB1065,SB113,10,0.0,net banking,2024-08-10,2024-08-30
TB100188,2026-02-09,CB1293,PB1084,SB107,8,0.0,cash,2026-02-11,2026-03-11
TB100189,2025-09-01,CB1053,PB1104,SB111,8,0.0,upi,2025-09-03,2025-09-07
TB100190,2025-10-30,CB1225,PB1057,SB117,4,0.0,Card,2025-11-01,2025-11-06
TB100191,2025-01-15,CB1210,PB1100,SB111,7,10.0,UPI,2025-01-16,2025-02-14
TB100192,2024-11-16,CB1348,PB1050,SB110,9,0.0,Cash,2024-11-16,2024-11-26
TB100193,2023-11-04,CB1180,PB1040,SB113,3,20.0,Card,2023-11-05,2023-11-07
TB100194,2023-06-23,CB1066,PB1086,SB117,6,15.0,upi,2023-06-24,2023-07-11
TB100195,2025-05-17,CB1159,PB1024,SB107,6,0.0,cash,2025-05-19,2025-05-30
TB100196,2025-09-22,CB1040,PB1038,SB104,3,5.0,UPI,2025-09-22,2025-09-29
TB100197,2024-11-20,CB1079,PB1021,SB106,7,20.0,Card,2024-11-22,2024-11-26
TB100198,2025-06-15,CB1228,PB1079,SB110,4,10.0,net banking,2025-06-15,2025-06-28
TB100199,2024-04-24,CB1100,PB1048,SB115,8,10.0,net banking,2024-04-26,2024-05-03
TB100200,2024-07-31,CB1083,PB1105,SB107,7,20.0,Card,2024-08-01,2024-08-17
TB100201,2024-05-27,CB1284,PB1120,SB104,6,15.0,upi,2024-05-27,2024-06-16
TB100202,2024-08-06,CB1231,PB1116,SB117,5,5.0,Card,2024-08-06,2024-08-30
TB100203,2025-06-14,CB1179,PB1120,SB101,8,5.0,Net Banking,2025-06-14,2025-07-14
TB100204,2023-04-20,CB1198,PB1011,SB112,4,10.0,CARD,2023-04-21,2023-05-07
TB100205,2023-02-27,CB1075,PB1018,SB102,6,0.0,Cash,2023-02-28,2023-03-29
TB100206,2025-08-25,CB1230,PB1079,SB101,8,5.0,upi,2025-08-27,2025-09-22
TB100207,2023-02-08,CB1312,PB1068,SB114,9,5.0,upi,2023-02-09,2023-02-15
TB100208,2024-08-13,CB1123,PB1054,SB115,1,0.0,upi,2024-08-13,2024-08-22
TB100209,2023-08-16,CB1324,PB1066,SB108,1,20.0,Card,2023-08-17,2023-09-05
TB100210,2024-08-19,CB1124,PB1074,SB114,6,20.0,Card,2024-08-20,2024-08-20
TB100211,2023-06-25,CB1279,PB1065,SB117,9,0.0,UPI,2023-06-27,2023-07-08
TB100212,2025-03-10,CB1192,PB1033,SB101,7,,cash,2025-03-11,2025-03-12
TB100213,2023-05-19,CB1298,PB1095,SB111,2,,Card,2023-05-20,2023-05-27
TB100214,2023-04-01,CB1238,PB1090,SB116,3,10.0,Card,2023-04-02,2023-04-19
TB100215,2023-10-04,CB1151,PB1026,SB102,1,15.0,CARD,2023-10-04,2023-10-26
TB100216,2023-03-27,CB1204,PB1105,SB118,9,10.0,net banking,2023-03-28,2023-04-26
TB100217,2024-06-02,CB1147,PB1046,SB102,4,,cash,2024-06-02,2024-06-26
TB100218,2024-07-13,CB1205,PB1096,SB115,7,10.0,Net Banking,2024-07-13,2024-08-07
TB100219,2024-11-25,CB1189,PB1119,SB117,8,,Cash,2024-11-25,2024-12-10
TB100220,2023-06-19,CB1309,PB1106,SB106,7,0.0,Cash,2023-06-21,2023-07-04
TB100221,2024-10-19,CB1157,PB1058,SB114,5,10.0,Card,2024-10-19,2024-10-21
TB100222,2025-06-28,CB1315,PB1056,SB109,6,0.0,UPI,2025-06-29,2025-07-13
TB100223,2023-06-03,CB1263,PB1103,SB106,6,15.0,UPI,2023-06-05,2023-06-25
TB100224,2023-10-20,CB1065,PB1009,SB108,1,15.0,cash,2023-10-22,2023-11-12
TB100225,2025-01-11,CB1310,PB1020,SB115,1,20.0,cash,2025-01-12,2025-02-11
TB100226,2025-01-31,CB1071,PB1068,SB112,10,0.0,Net Banking,2025-02-01,2025-02-25
TB100227,2024-10-05,CB1014,PB1095,SB106,2,5.0,net banking,2024-10-07,2024-10-15
TB100228,2025-11-26,CB1135,PB1100,SB109,2,20.0,net banking,2025-11-27,2025-12-26
TB100229,2024-03-15,CB1103,PB1016,SB105,8,,upi,2024-03-17,2024-03-26
TB100230,2025-07-14,CB1045,PB1104,SB111,8,,cash,2025-07-14,2025-08-11
TB100231,2023-05-13,CB1081,PB1092,SB106,5,10.0,cash,2023-05-15,2023-06-01
TB100232,2025-11-07,CB1122,PB1102,SB116,3,5.0,UPI,2025-11-07,2025-11-10
TB100233,2025-01-09,CB1283,PB1017,SB103,8,10.0,upi,2025-01-11,2025-01-29
TB100234,2024-09-25,CB1270,PB1053,SB114,8,,upi,2024-09-26,2024-10-18
TB100235,2023-09-14,CB1239,PB1088,SB117,8,0.0,cash,2023-09-15,2023-10-05
TB100236,2023-09-20,CB1067,PB1056,SB117,3,20.0,UPI,2023-09-22,2023-10-12
TB100237,2023-09-12,CB1083,PB1042,SB108,3,10.0,cash,2023-09-14,2023-09-18
TB100238,2025-11-28,CB1101,PB1082,SB118,5,0.0,Cash,2025-11-29,2025-12-26
TB100239,2023-09-14,CB1048,PB1065,SB106,9,20.0,Card,2023-09-16,2023-09-25
TB100240,2023-12-17,CB1173,PB1108,SB102,10,,UPI,2023-12-19,2024-01-07
TB100241,2023-06-16,CB1136,PB1084,SB107,10,,Net Banking,2023-06-16,2023-07-16
TB100242,2023-03-04,CB1149,PB1083,SB110,9,,net banking,2023-03-05,2023-04-02
TB100243,2024-05-16,CB1038,PB1089,SB102,8,10.0,Card,2024-05-18,2024-05-30
TB100244,2025-06-19,CB1175,PB1078,SB105,4,15.0,cash,2025-06-20,2025-07-05
TB100245,2024-10-15,CB1067,PB1098,SB112,7,10.0,upi,2024-10-17,2024-11-13
TB100246,2024-10-15,CB1231,PB1032,SB105,5,0.0,upi,2024-10-15,2024-10-29
TB100247,2023-04-14,CB1215,PB1032,SB106,10,15.0,cash,2023-04-15,2023-05-15
TB100248,2026-03-29,CB1256,PB1066,SB115,3,5.0,net banking,2026-03-31,2026-04-10
TB100249,2024-09-23,CB1259,PB1059,SB108,7,0.0,CARD,2024-09-24,2024-09-24
TB100250,2024-12-23,CB1306,PB1113,SB116,8,10.0,Cash,2024-12-23,2024-12-24
TB100251,2026-01-04,CB1069,PB1113,SB109,7,0.0,cash,2026-01-04,2026-01-31
TB100252,2025-04-05,CB1292,PB1072,SB107,1,15.0,cash,2025-04-06,2025-04-07
TB100253,2026-02-07,CB1231,PB1098,SB118,9,15.0,Cash,2026-02-08,2026-02-10
TB100254,2023-09-01,CB1174,PB1072,SB112,6,15.0,Card,2023-09-01,2023-09-04
TB100255,2024-02-12,CB1021,PB1006,SB102,9,15.0,Card,2024-02-14,2024-03-01
TB100256,2024-11-13,CB1311,PB1115,SB117,3,15.0,Card,2024-11-14,2024-11-30
TB100257,2024-11-02,CB1316,PB1095,SB110,7,5.0,cash,2024-11-04,2024-11-14
TB100258,2025-11-04,CB1154,PB1061,SB101,10,15.0,cash,2025-11-06,2025-11-23
TB100259,2024-11-09,CB1158,PB1102,SB101,10,15.0,net banking,2024-11-11,2024-11-14
TB100260,2024-06-27,CB1117,PB1093,SB102,10,20.0,net banking,2024-06-29,2024-07-24
TB100261,2023-12-16,CB1195,PB1019,SB108,10,,UPI,2023-12-18,2024-01-07
TB100262,2026-03-18,CB1226,PB1041,SB114,1,5.0,Card,2026-03-20,2026-03-23
TB100263,2025-04-25,CB1314,PB1118,SB116,9,15.0,UPI,2025-04-27,2025-05-03
TB100264,2023-10-10,CB1340,PB1062,SB117,6,20.0,Net Banking,2023-10-12,2023-10-18
TB100265,2024-10-04,CB1280,PB1046,SB109,6,20.0,net banking,2024-10-04,2024-10-18
TB100266,2024-01-29,CB1116,PB1039,SB110,5,20.0,CARD,2024-01-29,2024-02-06
TB100267,2025-09-28,CB1141,PB1037,SB104,9,10.0,Net Banking,2025-09-29,2025-10-14
TB100268,2025-03-19,CB1022,PB1037,SB103,5,5.0,cash,2025-03-20,2025-04-19
TB100269,2025-06-24,CB1110,PB1026,SB118,8,,Cash,2025-06-26,2025-07-04
TB100270,2026-02-25,CB1316,PB1095,SB108,2,5.0,CARD,2026-02-27,2026-03-07
TB100271,2023-04-14,CB1327,PB1030,SB102,4,20.0,upi,2023-04-16,2023-05-14
TB100272,2025-04-26,CB1349,PB1099,SB105,2,15.0,UPI,2025-04-27,2025-05-19
TB100273,2026-02-01,CB1245,PB1084,SB107,8,,Cash,2026-02-01,2026-02-14
TB100274,2024-10-19,CB1334,PB1074,SB108,2,0.0,UPI,2024-10-20,2024-11-09
TB100275,2023-12-25,CB1204,PB1101,SB116,1,5.0,Card,2023-12-26,2024-01-23
TB100276,2024-08-15,CB1309,PB1014,SB111,10,10.0,Cash,2024-08-15,2024-08-15
TB100277,2025-07-19,CB1069,PB1109,SB117,8,20.0,net banking,2025-07-21,2025-08-07
TB100278,2024-07-12,CB1084,PB1094,SB115,6,0.0,Cash,2024-07-12,2024-08-06
TB100279,2024-01-17,CB1291,PB1087,SB107,5,10.0,Card,2024-01-17,2024-02-09
TB100280,2025-04-10,CB1206,PB1086,SB104,2,10.0,Card,2025-04-11,2025-04-27
TB100281,2023-10-15,CB1134,PB1050,SB108,1,5.0,net banking,2023-10-16,2023-10-26
