cohort_month,order_month,customers
2025-10,-13,1
2025-10,-11,1
2025-10,-10,1
2025-10,-7,1
2025-10,-6,2
2025-10,-4,1
2025-10,-2,2
2025-10,-1,2
2025-10,0,3
2025-10,2,1
2025-10,6,2
2025-10,7,1
2025-10,8,1
2025-11,-15,2
2025-11,-14,1
2025-11,-13,2
2025-11,-12,1
2025-11,-11,1
2025-11,-9,1
2025-11,-8,5
2025-11,-7,2
2025-11,-6,1
2025-11,-5,1
2025-11,-3,1
2025-11,-2,2
2025-11,-1,1
2025-11,0,4
2025-11,1,1
2025-11,2,3
2025-11,3,2
2025-11,4,1
2025-11,5,2
2025-11,6,1
2025-12,-15,1
2025-12,-14,1
2025-12,-13,1
2025-12,-12,1
2025-12,-10,1
2025-12,-9,1
2025-12,-5,1
2025-12,-4,1
2025-12,-3,1
2025-12,-2,1
2025-12,-1,1
2025-12,1,1
2025-12,3,1
2025-12,5,1
2025-12,6,2
2026-01,-17,2
2026-01,-16,4
2026-01,-15,2
2026-01,-14,3
2026-01,-13,2
2026-01,-11,2
2026-01,-8,2
2026-01,-7,2
2026-01,-6,3
2026-01,-5,1
2026-01,-4,1
2026-01,-3,3
2026-01,-1,1
2026-01,0,1
2026-01,2,2
2026-01,4,2
2026-02,-17,1
2026-02,-16,2
2026-02,-15,2
2026-02,-14,1
2026-02,-13,2
2026-02,-12,1
2026-02,-11,2
2026-02,-10,2
2026-02,-7,1
2026-02,-6,2
2026-02,-5,1
2026-02,-3,2
2026-02,-2,2
2026-02,-1,3
2026-02,0,1
2026-02,1,1
2026-02,3,1
2026-02,4,1
2026-03,-20,1
2026-03,-19,2
2026-03,-18,2
2026-03,-14,1
2026-03,-11,1
2026-03,-3,1
2026-03,-1,1
2026-03,0,1
2026-03,1,1
2026-04,-20,2
2026-04,-18,1
2026-04,-17,1
2026-04,-15,1
2026-04,-14,1
2026-04,-11,1
2026-04,-10,1
2026-04,-8,1
2026-04,-7,1
2026-04,-5,1
2026-04,-2,3
2026-04,-1,2
2026-04,1,1
2026-05,-18,1
2026-05,-16,1
2026-05,-15,2
2026-05,-14,1
2026-05,-13,1
2026-05,-12,1
2026-05,-10,1
2026-05,-9,1
2026-05,-6,1
2026-05,-4,1
2026-05,-3,1
2026-05,-2,2
2026-05,-1,1
2026-05,0,2
2026-06,-22,2
2026-06,-21,2
2026-06,-19,1
2026-06,-18,3
2026-06,-17,3
2026-06,-16,3
2026-06,-14,1
2026-06,-12,2
2026-06,-11,1
2026-06,-10,2
2026-06,-9,2
2026-06,-8,1
2026-06,-7,5
2026-06,-6,3
2026-06,-4,1
2026-06,-3,3
2026-06,-2,2
2026-06,-1,1
2026-06,0,4
2026-07,-22,2
2026-07,-21,1
2026-07,-18,1
2026-07,-17,2
2026-07,-15,1
2026-07,-14,1
2026-07,-10,1
2026-07,-9,1
2026-07,-5,1
2026-07,-4,1
2026-07,-2,1
2026-07,-1,1
2026-07,0,1
