order_id,customer_id,order_date,status,region_code
O000034,C0469,2024-07-29 13:49:17,DELIVERED,WEST
O000035,C0239,2025-07-21 10:48:39,DELIVERED,EAST
O000036,C0263,2024-08-07 18:05:11,CANCELLED,EAST
O000037,C0469,2025-09-14 00:37:44,PLACED,CENTRAL
O000038,C0443,2025-05-07 21:49:37,DELIVERED,CENTRAL
O000039,C0479,2025-09-19 23:26:15,DELIVERED,SOUTH
O000040,C0101,2026-05-09 00:05:00,SHIPPED,WEST
O000041,C0282,2025-08-22 21:29:07,DELIVERED,WEST
O000042,C0495,2025-08-16 23:02:50,CANCELLED,SOUTH
O000043,C0376,2026-07-15 12:25:37,RETURNED,WEST
O000044,C0095,2025-06-25 19:54:14,PLACED,CENTRAL
O000045,C0018,2026-02-02 05:35:24,PLACED,NORTH
O000046,C0212,2025-04-09 04:33:38,PLACED,SOUTH
O000047,C0005,2024-12-26 02:06:32,PLACED,CENTRAL
O000048,C0327,2026-01-31 00:04:36,CANCELLED,WEST
O000049,,2026-01-02 13:47:05,PLACED,NORTH
O000050,C0272,2025-02-13 12:51:42,DELIVERED,NORTH
O000051,C0258,2025-06-20 10:07:17,SHIPPED,NORTH
O000052,C0471,2025-07-23 19:30:08,SHIPPED,CENTRAL
O000053,C0270,2025-05-01 19:27:03,CANCELLED,NORTH
O000054,C0192,2025-07-17 18:57:34,SHIPPED,SOUTH
O000055,C0154,2025-11-12 00:57:55,PLACED,NORTH
O000056,C0208,2026-03-27 09:36:53,PLACED,NORTH
O000057,C0360,2026-02-25 03:04:38,CANCELLED,EAST
O000058,C0290,2025-10-07 12:11:17,RETURNED,NORTH
O000059,C0118,2024-11-14 02:41:37,RETURNED,WEST
O000060,,2025-07-26 12:48:05,DELIVERED,CENTRAL
O000061,C0289,2025-06-06 22:07:36,DELIVERED,NORTH
O000062,C0493,2024-11-23 19:53:29,CANCELLED,NORTH
O000063,C0154,2026-06-08 23:33:52,CANCELLED,CENTRAL
O000064,C0170,2025-11-09 15:43:18,PLACED,CENTRAL
O000065,C0382,2026-06-22 21:04:46,CANCELLED,SOUTH
O000066,C0430,2026-01-04 12:59:49,RETURNED,CENTRAL
O000067,C0204,2025-07-04 03:45:14,DELIVERED,WEST
O000068,C0252,2025-04-04 01:26:07,CANCELLED,WEST
O000069,C0096,2024-12-22 19:26:09,PLACED,CENTRAL
O000070,C0152,2025-07-07 04:18:44,PLACED,EAST
O000071,C0079,2024-08-30 21:15:21,SHIPPED,WEST
O000072,C0163,2025-04-11 19:57:52,DELIVERED,WEST
O000073,C0185,2024-08-16 05:42:04,PLACED,SOUTH
O000074,C0221,2024-12-14 00:16:04,CANCELLED,NORTH
O000075,C0014,2026-05-10 01:01:20,RETURNED,CENTRAL
O000076,C0402,2025-04-05 20:29:22,DELIVERED,WEST
O000077,C0199,2025-06-24 01:18:26,RETURNED,SOUTH
O000078,C0293,2025-06-13 01:47:41,SHIPPED,SOUTH
O000079,C0138,2024-08-18 21:19:24,PLACED,SOUTH
O000080,C0223,2026-07-02 06:26:00,PLACED,EAST
O000081,C0129,2025-03-09 16:39:47,CANCELLED,CENTRAL
O000082,C0316,2025-12-12 00:46:13,DELIVERED,NORTH
O000083,C0486,2025-07-31 19:39:49,CANCELLED,EAST
O000084,C0226,2026-03-14 00:10:47,RETURNED,SOUTH
O000085,C0154,2026-03-17 19:47:02,SHIPPED,WEST
O000086,C0161,2025-01-24 07:32:06,DELIVERED,EAST
O000087,C0377,2025-08-17 14:29:17,RETURNED,SOUTH
O000088,C0167,2024-11-19 23:03:20,CANCELLED,EAST
O000089,C0059,2025-11-05 11:07:33,RETURNED,SOUTH
O000090,C0350,08-04-2025 19:24:42,CANCELLED,SOUTH
O000091,C0225,2025-11-05 05:11:12,PLACED,WEST
O000092,C0345,2026-03-18 06:14:48,SHIPPED,EAST
O000093,C0338,2025-07-28 09:05:24,CANCELLED,NORTH
O000094,C0230,2025-04-16 20:49:10,CANCELLED,CENTRAL
O000095,C0260,2026-05-09 16:32:34,CANCELLED,CENTRAL
O000096,C0019,2025-07-28 03:59:11,RETURNED,CENTRAL
O000097,C0327,2025-03-30 18:02:33,SHIPPED,EAST
O000098,C0086,2026-04-10 19:38:40,CANCELLED,EAST
O000099,C0495,2025-07-06 14:37:38,PLACED,EAST
O000100,C0114,2025-07-03 03:19:36,RETURNED,CENTRAL
O000101,C0114,2025-09-30 07:56:27,RETURNED,CENTRAL
O000102,C0078,17-07-2025 13:10:09,PLACED,EAST
O000103,C0213,2024-10-25 11:31:47,SHIPPED,EAST
O000104,C0160,2024-11-13 22:31:33,RETURNED,WEST
O000105,C0179,2024-09-10 06:40:40,CANCELLED,EAST
O000106,C0035,2025-10-29 00:20:02,PLACED,NORTH
O000107,C0435,2024-12-17 11:25:13,SHIPPED,SOUTH
O000108,C0265,2024-11-29 11:56:41,RETURNED,WEST
O000109,C0491,2025-04-06 13:31:22,SHIPPED,SOUTH
O000110,C0328,2025-12-21 22:36:39,RETURNED,SOUTH
O000111,C0231,2024-10-10 09:42:46,SHIPPED,SOUTH
O000112,C0143,2024-12-31 05:31:31,PLACED,CENTRAL
O000113,C0053,2026-02-28 12:17:36,DELIVERED,EAST
O000114,C0101,2025-12-24 02:22:50,CANCELLED,CENTRAL
O000115,C0495,2025-07-02 16:55:22,RETURNED,WEST
O000116,C0301,2025-06-30 17:33:09,CANCELLED,CENTRAL
O000117,C0089,2024-12-16 21:09:52,DELIVERED,CENTRAL
O000118,C0303,2024-11-10 18:05:46,PLACED,SOUTH
O000119,C0157,2026-03-16 17:21:33,SHIPPED,CENTRAL
O000120,C0199,2024-08-01 08:43:02,CANCELLED,WEST
O000121,C0096,2024-08-16 11:35:23,SHIPPED,CENTRAL
O000122,C0086,2025-09-07 21:17:39,DELIVERED,WEST
O000123,C0318,2024-11-10 16:02:34,PLACED,WEST
O000124,C0070,2025-10-18 20:00:16,RETURNED,CENTRAL
O000125,C0335,2024-08-13 14:16:46,CANCELLED,WEST
O000126,C0251,2025-09-06 23:57:17,SHIPPED,EAST
O000127,C0017,2024-08-25 19:25:35,SHIPPED,WEST
O000128,C0290,2025-01-20 14:53:17,RETURNED,CENTRAL
O000129,C0058,2024-11-24 11:32:09,RETURNED,EAST
O000130,C0278,2026-06-15 22:34:43,CANCELLED,CENTRAL
O000131,C0112,2025-09-26 18:51:09,SHIPPED,EAST
O000132,C0448,2025-08-31 16:03:04,DELIVERED,NORTH
O000133,C0225,2024-07-29 13:38:30,SHIPPED,SOUTH
O000134,C0416,2025-12-23 13:57:43,RETURNED,WEST
O000135,C0085,2025-11-11 08:36:03,SHIPPED,NORTH
O000136,C0292,2025-02-08 00:35:40,RETURNED,SOUTH
O000137,C0166,2024-09-16 14:30:20,RETURNED,EAST
O000138,C0488,2025-06-09 02:25:18,PLACED,SOUTH
O000139,C0493,2026-07-11 04:04:24,PLACED,EAST
O000140,C0444,2026-04-10 12:20:00,SHIPPED,SOUTH
O000141,C0075,2024-11-17 13:29:56,CANCELLED,WEST
O000142,C0073,2026-03-14 12:44:23,CANCELLED,WEST
O000143,C0232,2025-09-27 20:49:12,PLACED,WEST
O000144,C0264,2026-02-16 10:01:54,DELIVERED,WEST
O000145,C0487,2026-03-07 06:59:43,PLACED,WEST
O000146,C0326,2024-11-25 19:54:35,PLACED,CENTRAL
O000147,C0204,2025-11-09 19:50:57,SHIPPED,WEST
O000148,C0138,2025-01-25 04:39:14,RETURNED,CENTRAL
O000149,C0067,2025-12-26 23:17:58,DELIVERED,NORTH
O000150,C0024,2025-03-23 06:45:08,CANCELLED,NORTH
O000151,C0064,2025-06-12 05:13:30,CANCELLED,NORTH
O000152,C0491,2025-09-20 09:14:58,SHIPPED,EAST
O000153,C0082,2024-12-30 20:11:21,PLACED,EAST
O000154,C0129,2025-04-23 12:56:12,SHIPPED,NORTH
O000155,C0203,2024-10-03 06:36:11,SHIPPED,WEST
O000156,C0336,2024-12-10 18:40:54,SHIPPED,WEST
O000157,C0040,2026-04-04 21:09:11,CANCELLED,NORTH
O000158,C0005,2025-07-19 09:23:35,CANCELLED,SOUTH
O000159,C0245,2025-05-18 14:50:55,PLACED,NORTH
O000160,C0161,2024-11-02 05:14:21,CANCELLED,SOUTH
O000161,C0329,2024-09-24 07:27:52,RETURNED,CENTRAL
O000162,C0005,2025-06-28 13:54:51,DELIVERED,SOUTH
O000163,C0322,2025-10-08 00:40:26,RETURNED,WEST
O000164,C0441,2024-08-13 11:34:28,SHIPPED,NORTH
O000165,C0302,2026-02-08 13:36:20,CANCELLED,EAST
O000166,C0406,2025-07-18 15:19:48,PLACED,SOUTH
O000167,C0284,2024-10-09 19:26:43,DELIVERED,NORTH
O000168,C0435,2025-07-03 05:37:14,SHIPPED,CENTRAL
O000169,C0311,2024-10-19 04:04:00,DELIVERED,NORTH
O000170,C0402,2025-09-29 19:01:55,CANCELLED,WEST
O000171,C0058,2026-03-12 10:55:07,PLACED,CENTRAL
O000172,C0456,2026-05-02 04:25:59,DELIVERED,SOUTH
O000173,C0199,2026-02-01 23:51:37,DELIVERED,CENTRAL
O000174,C0350,2025-11-02 05:13:23,PLACED,NORTH
O000175,C0301,2025-08-01 07:25:58,PLACED,NORTH
O000176,C0486,2025-04-12 12:29:01,RETURNED,WEST
O000177,C0217,2024-08-16 16:44:35,RETURNED,CENTRAL
O000178,C0316,2025-08-06 23:41:35,PLACED,CENTRAL
O000179,C0472,2024-12-30 14:26:49,RETURNED,EAST
O000180,C0201,2026-02-22 00:44:45,PLACED,EAST
O000181,C0358,2026-02-12 17:18:49,SHIPPED,NORTH
O000182,C0126,2025-04-20 10:51:33,CANCELLED,CENTRAL
O000183,C0312,2025-09-19 06:06:44,SHIPPED,NORTH
O000184,C0007,2026-01-08 12:58:07,SHIPPED,WEST
O000185,C0488,2026-01-23 06:08:39,DELIVERED,SOUTH
O000186,C0191,2025-12-06 21:32:50,DELIVERED,NORTH
O000187,C0395,2024-09-25 08:19:48,CANCELLED,EAST
O000188,C0269,2024-10-21 18:22:42,RETURNED,NORTH
O000189,C0255,2025-06-29 12:12:55,CANCELLED,CENTRAL
O000190,C0086,2025-01-01 19:30:30,PLACED,CENTRAL
O000191,C0346,2026-04-04 11:42:48,RETURNED,NORTH
O000192,C0023,07-02-2025 21:17:57,PLACED,WEST
O000193,C0187,2026-04-17 10:15:01,PLACED,CENTRAL
O000194,C0412,2025-05-10 11:24:07,CANCELLED,SOUTH
O000195,C0165,2024-12-01 01:01:47,DELIVERED,EAST
O000196,C0423,2025-12-15 23:39:40,RETURNED,NORTH
O000197,C0092,2026-02-12 14:58:48,PLACED,WEST
O000198,C0036,2025-09-11 04:11:50,DELIVERED,EAST
O000199,C0045,10-10-2024 00:55:07,SHIPPED,EAST
O000200,C0289,2024-07-21 05:19:36,SHIPPED,WEST
O000201,C0189,2025-11-06 02:23:33,SHIPPED,CENTRAL
O000202,C0390,2025-11-30 08:48:01,CANCELLED,NORTH
O000203,C0120,2025-03-03 17:26:29,PLACED,EAST
O000204,C0001,2025-04-06 14:20:39,DELIVERED,NORTH
O000205,C0106,2024-11-06 00:42:28,CANCELLED,NORTH
O000206,C0498,2025-11-03 22:19:14,PLACED,NORTH
O000207,C0472,2025-01-17 05:46:16,CANCELLED,EAST
O000208,C0235,2026-04-01 12:14:57,PLACED,CENTRAL
O000209,C0069,2025-05-21 08:52:54,RETURNED,CENTRAL
O000210,C0032,2025-04-09 01:30:03,SHIPPED,EAST
O000211,C0134,2025-02-02 06:11:57,CANCELLED,EAST
O000212,C0163,2025-11-25 03:15:24,SHIPPED,SOUTH
O000213,C0400,2026-01-18 11:00:32,PLACED,SOUTH
O000214,C0231,2025-05-13 19:43:18,RETURNED,EAST
O000215,C0494,2026-02-08 12:12:23,CANCELLED,EAST
O000216,C0437,2025-07-03 09:35:50,DELIVERED,CENTRAL
O000217,C0021,2025-04-12 09:36:00,SHIPPED,NORTH
O000218,C0365,2025-08-25 07:38:37,RETURNED,NORTH
O000219,C0347,2025-01-17 08:18:43,SHIPPED,NORTH
O000220,C0488,2025-02-24 23:17:55,RETURNED,SOUTH
O000221,C0049,2025-03-24 12:17:36,SHIPPED,NORTH
O000222,C0007,2025-12-13 07:35:49,SHIPPED,SOUTH
O000223,C0102,2026-01-04 10:35:18,PLACED,CENTRAL
O000224,C0301,2026-04-01 12:38:05,PLACED,NORTH
O000225,C0102,2025-11-09 13:26:04,SHIPPED,NORTH
O000226,C0464,2026-01-13 05:31:25,PLACED,NORTH
O000227,C0483,2025-06-07 04:41:28,RETURNED,WEST
O000228,C0421,2025-12-08 19:11:48,CANCELLED,WEST
O000229,C0089,2024-11-11 03:43:06,DELIVERED,EAST
O000230,C0229,2024-12-19 14:58:52,RETURNED,CENTRAL
O000231,C0126,2025-05-04 13:38:44,RETURNED,WEST
O000232,C0032,2025-03-20 04:32:02,CANCELLED,SOUTH
O000233,C0330,2025-08-22 03:38:31,RETURNED,NORTH
O000234,C0196,2025-12-07 03:40:48,RETURNED,WEST
O000235,C0177,2025-12-14 06:18:21,CANCELLED,EAST
O000236,,2024-11-10 09:11:08,PLACED,EAST
O000237,C0030,2026-06-20 13:35:12,DELIVERED,CENTRAL
O000238,C0120,2024-07-19 19:57:25,SHIPPED,EAST
O000239,C0274,2024-09-20 12:07:31,PLACED,SOUTH
O000240,C0295,2024-10-30 03:01:57,DELIVERED,SOUTH
O000241,C0091,2026-05-23 06:58:07,DELIVERED,CENTRAL
O000242,C0015,2025-05-30 00:01:56,RETURNED,CENTRAL
O000243,C0073,2024-08-31 18:37:55,CANCELLED,CENTRAL
O000244,C0159,2024-12-24 23:10:25,PLACED,SOUTH
O000245,C0309,2024-09-12 10:25:20,PLACED,EAST
O000246,C0470,2024-08-12 13:06:45,DELIVERED,SOUTH
O000247,C0471,2025-04-22 17:01:23,PLACED,NORTH
O000248,C0076,2026-07-05 02:04:32,PLACED,CENTRAL
O000249,C0441,2025-10-07 10:57:15,CANCELLED,CENTRAL
O000250,C0052,2025-07-31 13:13:23,SHIPPED,WEST
O000251,C0406,2025-12-17 18:44:09,DELIVERED,SOUTH
O000252,C0363,2025-09-25 09:48:22,RETURNED,EAST
O000253,C0115,2026-06-06 19:02:26,CANCELLED,EAST
O000254,C0376,2026-03-07 03:03:38,PLACED,CENTRAL
O000255,C0201,2025-10-26 16:29:02,RETURNED,NORTH
O000256,C0094,2025-06-01 15:03:05,RETURNED,SOUTH
O000257,C0328,2024-12-10 07:26:19,SHIPPED,EAST
O000258,C0382,2025-11-07 19:22:58,DELIVERED,SOUTH
O000259,C0326,2026-02-23 04:58:00,DELIVERED,WEST
O000260,C0006,2025-02-09 21:19:58,PLACED,EAST
O000261,C0132,2024-08-09 12:25:37,PLACED,WEST
O000262,C0225,2025-09-26 21:36:42,CANCELLED,WEST
O000263,C0452,2025-07-27 18:12:04,PLACED,WEST
O000264,C0404,2025-01-01 04:44:54,SHIPPED,SOUTH
O000265,C0232,2024-11-16 18:29:48,DELIVERED,NORTH
O000266,C0164,2024-08-11 07:24:38,DELIVERED,SOUTH
O000267,C0455,2025-01-06 17:44:11,RETURNED,NORTH
O000268,C0174,2024-07-16 04:14:25,CANCELLED,NORTH
O000269,C0221,2024-11-07 23:27:00,CANCELLED,SOUTH
O000270,C0028,2026-07-14 02:55:25,SHIPPED,WEST
O000271,C0357,2026-02-05 12:03:17,RETURNED,EAST
O000272,C0339,2025-03-30 22:04:07,PLACED,WEST
O000273,C0293,2025-04-30 14:39:49,PLACED,EAST
O000274,C0002,2025-09-17 02:04:49,RETURNED,WEST
O000275,C0103,2025-07-29 04:01:14,DELIVERED,NORTH
O000276,C0243,2026-01-05 06:37:44,CANCELLED,WEST
O000277,C0251,2024-09-04 02:10:02,RETURNED,WEST
O000278,C0095,2024-09-19 19:56:55,SHIPPED,WEST
O000279,C0023,2025-02-08 18:48:45,SHIPPED,EAST
O000280,C0289,2026-03-14 02:14:32,PLACED,NORTH
O000281,C0343,2026-05-15 08:42:08,RETURNED,SOUTH
O000282,C0284,2025-03-27 05:50:34,RETURNED,WEST
O000283,C0495,2026-06-19 15:06:04,CANCELLED,CENTRAL
O000284,C0452,2025-02-02 22:48:25,CANCELLED,NORTH
O000285,C0258,2025-10-01 21:40:34,RETURNED,CENTRAL
O000286,C0076,2024-12-05 01:31:35,SHIPPED,SOUTH
O000287,C0498,2026-05-26 02:30:03,PLACED,WEST
O000288,C0041,2025-09-08 22:11:34,SHIPPED,CENTRAL
O000289,C0133,2025-01-22 16:48:56,PLACED,NORTH
O000290,C0199,2025-05-09 08:53:34,DELIVERED,CENTRAL
O000291,C0235,01-10-2024 17:41:48,RETURNED,CENTRAL
O000292,C0268,2024-09-06 20:14:24,SHIPPED,SOUTH
O000293,C0291,2025-02-15 21:53:09,PLACED,NORTH
O000294,C0289,2026-06-07 17:49:29,RETURNED,EAST
O000295,C0450,2026-02-22 12:00:07,CANCELLED,CENTRAL
O000296,C0312,2026-06-14 19:46:23,CANCELLED,SOUTH
O000297,C0317,2026-04-16 22:47:51,PLACED,WEST
O000298,C0456,2026-03-01 22:54:47,PLACED,WEST
O000299,C0472,2025-09-08 21:58:03,DELIVERED,EAST
O000300,C0160,2025-12-05 01:26:33,PLACED,SOUTH
O000301,C0069,2026-06-21 15:37:28,DELIVERED,EAST
O000302,C0374,2025-08-31 08:24:20,SHIPPED,WEST
O000303,C0109,2026-01-29 09:53:57,CANCELLED,CENTRAL
O000304,C0445,2026-01-20 06:51:43,SHIPPED,NORTH
O000305,C0160,2026-06-18 03:10:48,RETURNED,CENTRAL
O000306,C0015,2025-06-16 03:30:52,SHIPPED,NORTH
O000307,,2025-06-17 12:20:01,DELIVERED,SOUTH
O000308,C0141,2025-09-17 15:09:53,CANCELLED,NORTH
O000309,,2024-08-04 22:42:12,RETURNED,WEST
O000310,C0091,2024-10-08 21:33:51,RETURNED,EAST
O000311,C0177,2024-09-03 07:31:58,PLACED,EAST
O000312,C0015,2025-10-21 20:15:31,RETURNED,SOUTH
O000313,C0439,2026-07-12 05:00:24,SHIPPED,EAST
O000314,C0334,22-11-2025 10:31:03,PLACED,WEST
O000315,C0467,2024-12-30 22:13:44,PLACED,SOUTH
O000316,C0130,2025-03-03 14:26:35,DELIVERED,WEST
O000317,C0459,2026-06-13 21:37:09,DELIVERED,SOUTH
O000318,C0239,2025-07-28 06:18:29,RETURNED,WEST
O000319,C0300,2024-07-23 01:39:59,DELIVERED,CENTRAL
O000320,C0332,2026-03-15 20:31:57,PLACED,WEST
O000321,C0033,2025-01-13 07:32:14,DELIVERED,EAST
O000322,C0134,2024-09-21 21:48:03,DELIVERED,SOUTH
O000323,C0077,2025-11-20 02:09:09,PLACED,CENTRAL
O000324,C0207,2026-03-07 17:53:29,PLACED,WEST
O000325,C0152,2024-09-09 12:06:17,CANCELLED,NORTH
O000326,C0299,2026-05-27 07:59:45,SHIPPED,EAST
O000327,C0372,2025-06-29 01:56:44,CANCELLED,EAST
O000328,C0260,2025-03-31 05:15:41,RETURNED,SOUTH
O000329,C0151,2026-04-30 05:55:38,DELIVERED,CENTRAL
O000330,C0391,2025-01-28 12:30:41,DELIVERED,NORTH
O000331,C0114,2026-06-07 19:37:27,DELIVERED,WEST
O000332,C0404,2025-11-26 23:06:48,RETURNED,EAST
O000333,C0238,2026-05-11 15:36:56,RETURNED,CENTRAL
O000334,C0484,2025-07-15 11:25:15,SHIPPED,CENTRAL
O000335,C0062,2024-12-08 19:39:43,DELIVERED,WEST
O000336,C0028,2026-01-04 04:23:36,SHIPPED,EAST
O000337,C0210,2026-04-14 11:42:24,CANCELLED,SOUTH
O000338,C0162,2024-12-14 00:20:52,PLACED,WEST
O000339,C0171,2024-12-11 02:00:36,PLACED,NORTH
O000340,C0232,2025-01-14 08:44:40,SHIPPED,CENTRAL
O000341,C0392,2025-10-10 20:08:53,PLACED,SOUTH
O000342,C0315,2024-11-06 22:02:36,CANCELLED,WEST
O000343,,2024-10-01 21:37:46,DELIVERED,NORTH
O000344,C0457,2026-05-19 03:30:02,SHIPPED,NORTH
O000345,,2025-11-21 15:13:04,SHIPPED,EAST
O000346,C0160,2025-11-12 14:02:11,RETURNED,EAST
O000347,C0086,2025-10-07 08:31:26,DELIVERED,WEST
O000348,C0373,2026-01-25 05:34:00,CANCELLED,SOUTH
O000349,C0176,2025-08-15 12:03:56,SHIPPED,SOUTH
O000350,C0486,2024-08-15 20:08:27,PLACED,SOUTH
O000351,C0115,2025-07-03 06:31:02,PLACED,CENTRAL
O000352,C0259,2025-10-12 08:26:54,PLACED,WEST
O000353,C0449,2025-07-10 14:40:45,RETURNED,NORTH
O000354,C0305,2026-07-05 18:05:09,PLACED,NORTH
O000355,C0354,2026-05-02 04:58:25,PLACED,CENTRAL
O000356,C0130,2026-04-11 14:02:32,PLACED,EAST
O000357,C0216,2025-07-09 11:46:04,DELIVERED,CENTRAL
O000358,C0311,2026-07-05 01:08:21,PLACED,CENTRAL
O000359,C0369,2026-05-16 02:11:46,PLACED,WEST
O000360,C0102,2025-02-05 16:42:14,RETURNED,SOUTH
O000361,C0184,2024-12-25 04:49:41,PLACED,CENTRAL
O000362,C0255,2025-09-10 05:01:17,CANCELLED,EAST
O000363,,2024-08-24 12:30:14,PLACED,CENTRAL
O000364,C0343,2026-02-19 19:37:14,RETURNED,NORTH
O000365,C0371,2025-06-30 08:52:55,SHIPPED,WEST
O000366,C0152,2025-08-14 23:41:17,SHIPPED,NORTH
O000367,C0437,2025-07-18 00:21:30,DELIVERED,WEST
O000368,C0379,2025-04-29 13:39:36,PLACED,NORTH
O000369,C0437,2025-11-29 07:45:49,DELIVERED,EAST
O000370,C0458,2024-11-20 15:43:12,PLACED,EAST
O000371,C0418,2026-06-29 06:51:34,CANCELLED,WEST
O000372,C0140,2025-12-08 00:29:33,CANCELLED,WEST
O000373,C0333,2025-06-17 00:56:27,SHIPPED,NORTH
O000374,C0483,2025-12-01 10:06:45,RETURNED,WEST
O000375,C0411,2024-07-24 14:25:34,RETURNED,WEST
O000376,C0399,16-12-2024 22:00:49,SHIPPED,WEST
O000377,C0472,2025-09-13 09:09:40,CANCELLED,NORTH
O000378,C0033,2025-03-10 16:35:43,RETURNED,CENTRAL
O000379,C0371,2025-10-06 14:08:08,DELIVERED,CENTRAL
O000380,C0268,2025-01-21 16:09:12,CANCELLED,SOUTH
O000381,C0247,2025-08-20 16:21:15,CANCELLED,SOUTH
O000382,C0430,2025-01-05 04:36:50,RETURNED,NORTH
O000383,C0006,2025-06-25 06:36:17,CANCELLED,WEST
O000384,C0446,2025-10-06 19:29:57,DELIVERED,SOUTH
O000385,C0170,2025-04-09 06:24:38,SHIPPED,CENTRAL
O000386,C0330,2025-07-15 07:24:02,PLACED,WEST
O000387,C0228,2024-12-16 18:09:30,CANCELLED,WEST
O000388,C0162,2025-12-09 19:45:41,PLACED,NORTH
O000389,C0207,2025-04-13 22:21:28,PLACED,NORTH
O000390,C0406,2026-04-01 00:50:20,DELIVERED,CENTRAL
O000391,C0288,2025-02-05 05:32:05,DELIVERED,EAST
O000392,C0423,2024-11-24 08:56:08,CANCELLED,EAST
O000393,C0287,2024-10-19 18:16:23,DELIVERED,WEST
O000394,C0059,2025-09-09 15:28:44,PLACED,EAST
O000395,C0182,2024-12-29 22:19:36,DELIVERED,CENTRAL
O000396,C0268,2024-09-26 22:04:21,SHIPPED,WEST
O000397,C0072,2025-01-29 03:49:20,CANCELLED,NORTH
O000398,C0131,2025-01-04 05:13:38,CANCELLED,SOUTH
O000399,C0235,2025-05-27 16:39:21,DELIVERED,NORTH
O000400,C0388,2025-04-20 04:40:07,RETURNED,NORTH
O000401,C0396,2024-10-30 12:03:59,RETURNED,CENTRAL
O000402,C0069,16-06-2026 14:31:30,PLACED,CENTRAL
O000403,C0479,2024-11-02 05:00:32,RETURNED,SOUTH
O000404,C0355,2026-02-24 11:47:42,SHIPPED,NORTH
O000405,C0199,2024-11-21 23:23:53,DELIVERED,CENTRAL
O000406,C0452,2025-07-15 21:54:48,SHIPPED,EAST
O000407,C0204,2026-07-13 04:54:54,CANCELLED,SOUTH
O000408,C0071,2026-03-28 10:18:01,RETURNED,EAST
O000409,C0432,2025-07-28 15:07:20,RETURNED,SOUTH
O000410,C0103,2025-12-24 07:43:19,DELIVERED,SOUTH
O000411,C0364,2026-02-09 15:17:03,RETURNED,CENTRAL
O000412,C0356,2025-02-20 03:15:33,DELIVERED,CENTRAL
O000413,C0246,2025-08-30 14:20:44,CANCELLED,CENTRAL
O000414,C0147,2025-09-03 18:12:23,PLACED,CENTRAL
O000415,,2025-05-02 23:47:42,PLACED,SOUTH
O000416,C0137,2025-12-02 09:28:32,DELIVERED,EAST
O000417,C0075,2024-08-28 19:43:59,DELIVERED,SOUTH
O000418,C0386,2026-03-02 10:40:18,CANCELLED,NORTH
O000419,C0316,2025-06-29 01:39:52,SHIPPED,CENTRAL
O000420,C0200,2025-10-19 01:38:46,DELIVERED,NORTH
O000421,C0475,2025-06-09 13:50:34,DELIVERED,CENTRAL
O000422,,2025-03-17 10:14:31,RETURNED,WEST
O000423,C0425,2025-04-05 15:25:01,DELIVERED,CENTRAL
O000424,C0280,2025-08-29 06:59:31,SHIPPED,EAST
O000425,C0230,2026-05-27 15:51:21,SHIPPED,SOUTH
O000426,C0377,2025-01-20 05:20:12,CANCELLED,EAST
O000427,C0285,2024-07-30 10:56:51,DELIVERED,NORTH
O000428,C0170,2024-10-12 12:40:53,PLACED,SOUTH
O000429,C0476,2026-04-10 13:29:37,RETURNED,EAST
O000430,C0252,2026-06-19 12:06:05,PLACED,EAST
